sa3_code16, new_houses_num, new_oth_resial_building_num, sa3_name16, tot_dwl_num, value_alterations_additions_conversions_resial_building_aud000, value_new_houses_aud000, value_new_oth_resial_building_aud000, value_non_resial_building_aud000, value_tot_building_aud000, value_tot_resial_building_aud000, feature_code, feature_name
20601,94,520,"Brunswick - Coburg",618,63027,38301.7,165970.2,33706.4,301005.3,267298.9,"20601","Brunswick - Coburg"
20602,66,151,"Darebin - South",220,60494.6,38952.6,51955.1,24752.2,176154.5,151402.3,"20602","Darebin - South"
20603,85,523,"Essendon",609,56241.4,64284.1,173701.5,77232.1,371459.2,294227.1,"20603","Essendon"
20604,13,1921,"Melbourne City",1937,74569.9,11957.4,843397.4,3224427.8,4154352.5,929924.7,"20604","Melbourne City"
20605,49,640,"Port Phillip",740,139644.1,45805,312303.3,307320.1,805072.5,497752.4,"20605","Port Phillip"
20606,45,687,"Stonnington - West",734,120939.6,106439.9,320915.3,153605,701899.8,548294.8,"20606","Stonnington - West"
20607,40,615,"Yarra",684,164856.8,36147.6,256615.1,684352.4,1141972,457619.5,"20607","Yarra"
20701,353,826,"Boroondara",1186,226634.8,365093.2,374694.8,202452,1168874.9,966422.8,"20701","Boroondara"
20702,270,1292,"Manningham - West",1562,21212.4,169339.5,456616.5,61709.6,708877.9,647168.4,"20702","Manningham - West"
20703,237,1151,"Whitehorse - West",1388,35507,140322.3,400263.8,90708.5,666801.5,576093.1,"20703","Whitehorse - West"
20801,234,480,"Bayside",717,123521.8,220497,277389.4,105043.7,726451.8,621408.1,"20801","Bayside"
20802,270,1252,"Glen Eira",1527,89458.9,180736.9,456315,116904.7,843415.5,726510.8,"20802","Glen Eira"
20803,247,375,"Kingston",623,44623.1,118070.6,142560.7,216419.2,521673.6,305254.4,"20803","Kingston"
20804,44,612,"Stonnington - East",657,90747.2,50214.6,262495.9,67849.8,471307.5,403457.7,"20804","Stonnington - East"
20901,205,565,"Banyule",774,65801.2,107350.4,178759.2,116398.5,468309.3,351910.8,"20901","Banyule"
20902,173,538,"Darebin - North",713,29866.3,60873.4,147129.4,230651.5,468520.6,237869.1,"20902","Darebin - North"
20903,136,113,"Nillumbik - Kinglake",249,35953,70017.9,35499,20155.9,161625.8,141469.9,"20903","Nillumbik - Kinglake"
20904,2401,679,"Whittlesea - Wallan",3080,21997.4,713960.2,151585,463086,1350628.5,887542.6,"20904","Whittlesea - Wallan"
21001,186,300,"Keilor",486,17633.2,102901,99230.2,108368.2,328132.7,219764.5,"21001","Keilor"
21002,292,29,"Macedon Ranges",322,15614.3,109378.5,6740,17263.2,148996.1,131732.9,"21002","Macedon Ranges"
21003,163,453,"Moreland - North",618,12871.5,52268.7,106903.2,15108.2,187151.6,172043.4,"21003","Moreland - North"
21004,554,25,"Sunbury",579,6314.6,164541.8,5288.1,45911.6,222056.1,176144.5,"21004","Sunbury"
21005,2591,432,"Tullamarine - Broadmeadows",3026,16999.1,747002.5,88824.5,781561.7,1634387.8,852826.1,"21005","Tullamarine - Broadmeadows"
21101,354,493,"Knox",848,33793.7,146055.8,140821.3,203343.8,524014.6,320670.8,"21101","Knox"
21102,59,40,"Manningham - East",100,23545.1,46648.8,15596.4,7835.1,93625.4,85790.3,"21102","Manningham - East"
21103,248,211,"Maroondah",460,35593.6,101737.9,64414.7,159007.8,360754,201746.1,"21103","Maroondah"
21104,140,203,"Whitehorse - East",344,18298.4,72951.5,69932.1,55735.9,216918,161182.1,"21104","Whitehorse - East"
21105,343,189,"Yarra Ranges",535,50179,125376.9,44395.2,151108.8,371060,219951.1,"21105","Yarra Ranges"
21201,1530,352,"Cardinia",1882,21148.2,446810.2,88172,130617,686747.4,556130.5,"21201","Cardinia"
21202,358,208,"Casey - North",567,21391.3,146526.8,48679.2,77001.6,293598.9,216597.3,"21202","Casey - North"
21203,3305,190,"Casey - South",3498,15672,967499.4,43604.1,251390.6,1278166.1,1026775.5,"21203","Casey - South"
21204,424,759,"Dandenong",1184,18522.4,161853,187413.7,369651.9,737440.9,367789,"21204","Dandenong"
21205,557,1771,"Monash",2335,36585.9,325746.8,617368.2,558662.3,1538363.2,979700.8,"21205","Monash"
21301,188,516,"Brimbank",704,20272.2,55844,115731.6,257009.9,448857.8,191847.8,"21301","Brimbank"
21302,184,423,"Hobsons Bay",609,46359.1,74943.2,143147.2,236716.5,501166,264449.4,"21302","Hobsons Bay"
21303,122,1157,"Maribyrnong",1281,46180.5,48209.7,322925.7,135200.1,552516,417315.9,"21303","Maribyrnong"
21304,2644,147,"Melton - Bacchus Marsh",2792,18637.6,757572.1,32869.9,241122.4,1050202,809079.7,"21304","Melton - Bacchus Marsh"
21305,4784,486,"Wyndham",5273,19230.2,1444883.2,119458.5,745678.4,2329250.2,1583571.9,"21305","Wyndham"
21401,274,185,"Frankston",460,32253.8,90705.7,49772.8,191257.9,363990.2,172732.3,"21401","Frankston"
21402,787,345,"Mornington Peninsula",1134,179393.3,461892.7,123420.4,102185.3,866891.7,764706.4,"21402","Mornington Peninsula"
