fin_yr, sa3_code, client_count, sa3_name, feature_code, feature_name
"2018-19","20601",691,"Brunswick - Coburg","20601","Brunswick - Coburg"
"2018-19","20602",346,"Darebin - South","20602","Darebin - South"
"2018-19","20603",732,"Essendon","20603","Essendon"
"2018-19","20604",2938,"Melbourne City","20604","Melbourne City"
"2018-19","20605",2491,"Port Phillip","20605","Port Phillip"
"2018-19","20606",539,"Stonnington - West","20606","Stonnington - West"
"2018-19","20607",1237,"Yarra","20607","Yarra"
"2018-19","20701",1024,"Boroondara","20701","Boroondara"
"2018-19","20702",828,"Manningham - West","20702","Manningham - West"
"2018-19","20703",1158,"Whitehorse - West","20703","Whitehorse - West"
"2018-19","20801",488,"Bayside","20801","Bayside"
"2018-19","20802",838,"Glen Eira","20802","Glen Eira"
"2018-19","20803",1017,"Kingston","20803","Kingston"
"2018-19","20804",110,"Stonnington - East","20804","Stonnington - East"
"2018-19","20901",1264,"Banyule","20901","Banyule"
"2018-19","20902",1691,"Darebin - North","20902","Darebin - North"
"2018-19","20903",183,"Nillumbik - Kinglake","20903","Nillumbik - Kinglake"
"2018-19","20904",2371,"Whittlesea - Wallan","20904","Whittlesea - Wallan"
"2018-19","21001",307,"Keilor","21001","Keilor"
"2018-19","21002",173,"Macedon Ranges","21002","Macedon Ranges"
"2018-19","21003",975,"Moreland - North","21003","Moreland - North"
"2018-19","21004",352,"Sunbury","21004","Sunbury"
"2018-19","21005",2700,"Tullamarine - Broadmeadows","21005","Tullamarine - Broadmeadows"
"2018-19","21101",2514,"Knox","21101","Knox"
"2018-19","21102",165,"Manningham - East","21102","Manningham - East"
"2018-19","21103",2272,"Maroondah","21103","Maroondah"
"2018-19","21104",665,"Whitehorse - East","21104","Whitehorse - East"
"2018-19","21105",2631,"Yarra Ranges","21105","Yarra Ranges"
"2018-19","21201",1330,"Cardinia","21201","Cardinia"
"2018-19","21202",1884,"Casey - North","21202","Casey - North"
"2018-19","21203",2181,"Casey - South","21203","Casey - South"
"2018-19","21204",3245,"Dandenong","21204","Dandenong"
"2018-19","21205",1647,"Monash","21205","Monash"
"2018-19","21301",4963,"Brimbank","21301","Brimbank"
"2018-19","21302",758,"Hobsons Bay","21302","Hobsons Bay"
"2018-19","21303",1628,"Maribyrnong","21303","Maribyrnong"
"2018-19","21304",4293,"Melton - Bacchus Marsh","21304","Melton - Bacchus Marsh"
"2018-19","21305",3816,"Wyndham","21305","Wyndham"
"2018-19","21401",2911,"Frankston","21401","Frankston"
"2018-19","21402",1998,"Mornington Peninsula","21402","Mornington Peninsula"
