yr, sa3_code_2016, equivalised_total_household_income_census_median_weekly, estimates_personal_income_year_ended_30_june_mean_employee, estimates_personal_income_year_ended_30_june_mean_investment, estimates_personal_income_year_ended_30_june_median_employee, estimates_personal_income_year_ended_30_june_median_investment, estimates_personal_income_year_ended_30_june_total_employee_m, estimates_personal_income_year_ended_30_june_total_investment_m, estm_prsnl_incme_yr_end_30_jne_mdn_tl_excl_gvrnmt_pns_alwncs, estm_prsnl_incme_yr_end_30_jne_mn_tl_excl_gvrnmt_pns_alwncs, estm_prsnl_incme_yr_end_30_jne_sprnt_anty_erns_mdn_age_yrs, estm_prsnl_incme_yr_end_30_jne_tl_erns_excl_gvrnmt_pns_alwncs_m, estm_prsnl_incme_yr_end_30_jne_tl_erns_excl_gvrnmt_pns_alwncs_n, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_gni_cf, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_hgst_q, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_lwst_q, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_m, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p105_r, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p205_r, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p802_r, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p805_r, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_scnd_q, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_0, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_1, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_o, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_thrd_q, estm_prsnl_incme_yr_end_30_jne_uncrptd_bsn_erns_mdn_age_yrs, estmts_prsnl_incme_yr_endd_30_jne_emplye_ernrs_mdn_age_yrs, estmts_prsnl_incme_yr_endd_30_jne_emplye_ernrs_nm, estmts_prsnl_incme_yr_endd_30_jne_emplye_mn_srce_of_pc, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_ernrs_mdn_age_yrs, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_ernrs_nm, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_mn_srce_of_pc, estmts_prsnl_incme_yr_endd_30_jne_mdn_sprnntn_annty, estmts_prsnl_incme_yr_endd_30_jne_mdn_unncrprtd_bsnss, estmts_prsnl_incme_yr_endd_30_jne_mn_sprnntn_annty, estmts_prsnl_incme_yr_endd_30_jne_mn_unncrprtd_bsnss, estmts_prsnl_incme_yr_endd_30_jne_sprnntn_annty_ernrs_nm, estmts_prsnl_incme_yr_endd_30_jne_sprnntn_annty_mn_srce_of_pc, estmts_prsnl_incme_yr_endd_30_jne_ttl_sprnntn_annty_m, estmts_prsnl_incme_yr_endd_30_jne_ttl_unncrprtd_bsnss_m, estmts_prsnl_incme_yr_endd_30_jne_unncrprtd_bsnss_ernrs_nm, estmts_prsnl_incme_yr_endd_30_jne_unncrprtd_bsnss_mn_srce_of_pc, exprmntl_hshld_wlth_estmts_mdlld_prvte_dwllngs_mn_nt_wrth, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_amnt_m, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mdn, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mn, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_prsns_nm, sa3_name_2016, slctd_gvrnmnt_pnsns_allwncs_30_jne_age_pnsn_cntrlnk_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_age_pnsn_dva_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_cmmnwlth_rnt_assstnce_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_crr_allwnce_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_crr_pymnt_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_dsblty_spprt_pnsn_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_fmly_tx_bnft_b_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_fmly_tx_bnft_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_incme_spprt_spplmnt_dva_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_nwstrt_allwnce_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_prntng_pymnt_prtnrd_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_prntng_pymnt_sngle_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_srvce_pnsn_dva_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_yth_allwnce_nm, slctd_gvrnmt_pns_alwncs_30_jne_yth_alwnce_fl_tme_stdnprc_nm, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_1000_1999_pr_wk_pc, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_2000_2999_pr_wk_pc, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_500_999_pr_wk_pc, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_indqtly_dscrb_std_pc, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_1_499_pr_wk_pc, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_3000_pr_wk_pc, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_nl_pc, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ngtve_pc, feature_code, feature_name
2019,"20601",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Brunswick - Coburg",7197,null,4018,2313,787,2261,1808,2257,40,1878,104,268,85,111,1577,null,null,null,null,null,null,null,null,"20601","Brunswick - Coburg"
2019,"20602",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Darebin - South",4364,null,2041,1137,340,1309,991,1244,29,991,22,160,59,53,727,null,null,null,null,null,null,null,null,"20602","Darebin - South"
2019,"20603",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Essendon",4839,null,2186,1329,436,1522,1662,2002,69,1430,122,345,96,102,776,null,null,null,null,null,null,null,null,"20603","Essendon"
2019,"20604",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Melbourne City",3378,null,4125,788,355,1943,1976,2221,27,2205,144,354,86,120,2354,null,null,null,null,null,null,null,null,"20604","Melbourne City"
2019,"20605",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Port Phillip",5566,null,4315,1160,413,3057,1865,2125,39,2166,72,327,87,97,730,null,null,null,null,null,null,null,null,"20605","Port Phillip"
2019,"20606",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Stonnington - West",3184,null,1704,614,202,1112,702,836,19,768,18,112,52,35,606,null,null,null,null,null,null,null,null,"20606","Stonnington - West"
2019,"20607",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Yarra",4826,null,3020,1167,527,2527,1854,2096,32,2256,157,436,152,124,1275,null,null,null,null,null,null,null,null,"20607","Yarra"
2019,"20701",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Boroondara",8734,null,3839,1899,371,2005,2196,2955,150,1233,54,206,195,73,1931,null,null,null,null,null,null,null,null,"20701","Boroondara"
2019,"20702",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Manningham - West",10656,null,2513,2226,611,1384,2644,3601,105,1204,122,247,190,41,866,null,null,null,null,null,null,null,null,"20702","Manningham - West"
2019,"20703",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Whitehorse - West",9403,6,3511,1763,473,1993,2513,3319,137,1323,118,272,234,107,1319,null,null,null,null,null,null,null,null,"20703","Whitehorse - West"
2019,"20801",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Bayside",6998,null,1737,1283,311,1511,1490,1861,204,861,40,221,176,51,541,null,null,null,null,null,null,null,null,"20801","Bayside"
2019,"20802",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Glen Eira",11836,null,4934,2641,674,2731,3241,4234,160,1778,151,326,207,102,1294,null,null,null,null,null,null,null,null,"20802","Glen Eira"
2019,"20803",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Kingston",12543,10,4374,2392,723,2806,3446,4463,258,1916,96,521,333,153,742,null,null,null,null,null,null,null,null,"20803","Kingston"
2019,"20804",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Stonnington - East",2431,null,1028,488,98,483,518,642,25,352,10,82,33,26,358,null,null,null,null,null,null,null,null,"20804","Stonnington - East"
2019,"20901",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Banyule",12083,13,4458,2930,900,3241,3840,4773,226,2261,178,574,386,168,1388,null,null,null,null,null,null,null,null,"20901","Banyule"
2019,"20902",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Darebin - North",10500,5,5564,3149,1231,3690,3692,4630,146,2929,244,564,181,200,1552,null,null,null,null,null,null,null,null,"20902","Darebin - North"
