datemonth, dateyear, propertycategorisation, sa32016code, auction_activity_auctionclearancerate, auction_activity_auctionlistedcount, auction_activity_auctionnotsoldcount, auction_activity_auctionpostponedcount, auction_activity_auctionsoldaftercount, auction_activity_auctionsoldpriorcount, auction_activity_auctionsoldunderhammercount, auction_activity_auctiontotalreported, auction_activity_auctiontotalsold, auction_activity_auctionwithdrawncount, enddate, for_rent_home_lease_averageprice, for_rent_home_lease_detailedposition05price, for_rent_home_lease_detailedposition10price, for_rent_home_lease_detailedposition15price, for_rent_home_lease_detailedposition20price, for_rent_home_lease_detailedposition25price, for_rent_home_lease_detailedposition30price, for_rent_home_lease_detailedposition35price, for_rent_home_lease_detailedposition40price, for_rent_home_lease_detailedposition45price, for_rent_home_lease_detailedposition50price, for_rent_home_lease_detailedposition55price, for_rent_home_lease_detailedposition60price, for_rent_home_lease_detailedposition65price, for_rent_home_lease_detailedposition70price, for_rent_home_lease_detailedposition75price, for_rent_home_lease_detailedposition80price, for_rent_home_lease_detailedposition85price, for_rent_home_lease_detailedposition90price, for_rent_home_lease_detailedposition95price, for_rent_home_lease_detailedpricecalcreccount, for_rent_home_lease_eventcount, for_rent_home_lease_geometricmeanprice, for_rent_home_lease_maximumprice, for_rent_home_lease_medianprice, for_rent_home_lease_minimumprice, for_rent_home_lease_position25price, for_rent_home_lease_position75price, for_rent_home_lease_pricecalcreccount, for_rent_home_lease_standarddeviationprice, for_rent_home_lease_totalprice, for_sale_both_auction_private_treaty_averageprice, for_sale_both_auction_private_treaty_detailedposition05price, for_sale_both_auction_private_treaty_detailedposition10price, for_sale_both_auction_private_treaty_detailedposition15price, for_sale_both_auction_private_treaty_detailedposition20price, for_sale_both_auction_private_treaty_detailedposition25price, for_sale_both_auction_private_treaty_detailedposition30price, for_sale_both_auction_private_treaty_detailedposition35price, for_sale_both_auction_private_treaty_detailedposition40price, for_sale_both_auction_private_treaty_detailedposition45price, for_sale_both_auction_private_treaty_detailedposition50price, for_sale_both_auction_private_treaty_detailedposition55price, for_sale_both_auction_private_treaty_detailedposition60price, for_sale_both_auction_private_treaty_detailedposition65price, for_sale_both_auction_private_treaty_detailedposition70price, for_sale_both_auction_private_treaty_detailedposition75price, for_sale_both_auction_private_treaty_detailedposition80price, for_sale_both_auction_private_treaty_detailedposition85price, for_sale_both_auction_private_treaty_detailedposition90price, for_sale_both_auction_private_treaty_detailedposition95price, for_sale_both_auction_private_treaty_detailedpricecalcreccount, for_sale_both_auction_private_treaty_eventcount, for_sale_both_auction_private_treaty_geometricmeanprice, for_sale_both_auction_private_treaty_maximumprice, for_sale_both_auction_private_treaty_medianprice, for_sale_both_auction_private_treaty_minimumprice, for_sale_both_auction_private_treaty_position25price, for_sale_both_auction_private_treaty_position75price, for_sale_both_auction_private_treaty_pricecalcreccount, for_sale_both_auction_private_treaty_standarddeviationprice, for_sale_both_auction_private_treaty_totalprice, gid, gross_rental_yield, sa32016id, sa32016name, sa32016pid, sold_both_auction_private_treaty_averageprice, sold_both_auction_private_treaty_detailedposition05price, sold_both_auction_private_treaty_detailedposition10price, sold_both_auction_private_treaty_detailedposition15price, sold_both_auction_private_treaty_detailedposition20price, sold_both_auction_private_treaty_detailedposition25price, sold_both_auction_private_treaty_detailedposition30price, sold_both_auction_private_treaty_detailedposition35price, sold_both_auction_private_treaty_detailedposition40price, sold_both_auction_private_treaty_detailedposition45price, sold_both_auction_private_treaty_detailedposition50price, sold_both_auction_private_treaty_detailedposition55price, sold_both_auction_private_treaty_detailedposition60price, sold_both_auction_private_treaty_detailedposition65price, sold_both_auction_private_treaty_detailedposition70price, sold_both_auction_private_treaty_detailedposition75price, sold_both_auction_private_treaty_detailedposition80price, sold_both_auction_private_treaty_detailedposition85price, sold_both_auction_private_treaty_detailedposition90price, sold_both_auction_private_treaty_detailedposition95price, sold_both_auction_private_treaty_detailedpricecalcreccount, sold_both_auction_private_treaty_eventcount, sold_both_auction_private_treaty_geometricmeanprice, sold_both_auction_private_treaty_maximumprice, sold_both_auction_private_treaty_medianprice, sold_both_auction_private_treaty_minimumprice, sold_both_auction_private_treaty_position25price, sold_both_auction_private_treaty_position75price, sold_both_auction_private_treaty_pricecalcreccount, sold_both_auction_private_treaty_standarddeviationprice, sold_both_auction_private_treaty_totalprice, sold_private_treaty_averagedaysonmarket, sold_private_treaty_averagediscount, sold_private_treaty_daysonmarketrecordcount, sold_private_treaty_discountrecordcount, state, feature_code, feature_name
2,2019,"House",20601,0.5811456,840,325,16,21,111,376,838,487,35,"28/02/2019",573.6584,380,405,435,450,470,490,500,520,535,550,560,580,600,620,650,680,720,760,850,2026,2026,553.6978,4250,550,10,470,650,2026,170.39810000000006,1162232,951709.4,500000,580000,660000,700000,750000,795000,820000,850000,885000,900000,950000,960000,1000000,1075000,1100000,1189000,1250000,1350000,1500000,873,1151,892813.6,2929500,900000,20000,750000,1100000,873,333617.4,831000000,null,0.03010526,266,"Brunswick - Coburg","SA3_1620601",1000889,565000,626800,691000,733000,782500,826500,865000,890000,915000,950000,975000,1020000,1085000,1130000,1180000,1250000,1321000,1400000,1552500,953,955,952003.7,3125000,950000,265000,782500,1180000,953,326304.6,9.539999999999999E8,49,0.06213873,448,102,"VIC","20601","Brunswick - Coburg"
2,2019,"House",20602,0.5973534999999998,527,213,18,11,64,252,529,316,15,"28/02/2019",616.0829,360,430,470,500,520,540,550,570,580,600,620,635,650,670,695,725,760,825,895,1170,1170,594.9483,1700,600,250,520,695,1170,165.5206,720817,1191902,530000,650000,720000,790000,820000,875000,950000,1000000,1050000,1100000,1150000,1200000,1280000,1349000,1400000,1500000,1650000,1800000,2100000,551,733,1081799,6900000,1100000,102000,820000,1400000,551,596396.1,657000000,null,0.02713043,267,"Darebin - South","SA3_1620602",1242830,562000,671000,750000,805000,860000,920000,995000,1065000,1105000,1150000,1205000,1290000,1342500,1425000,1506000,1600000,1750000,1912000,2240000,599,600,1144589,4000000,1150000,305000,860000,1506000,599,515840.4,744000000,47,0.07275119999999999,274,54,"VIC","20602","Darebin - South"
2,2019,"House",20603,0.5501672,596,248,15,9,67,262,598,329,35,"28/02/2019",564.9005999999998,360,395,415,440,450,475,490,500,515,530,550,575,600,620,650,680,720,775,850,1278,1278,543.9654999999998,1400,530,250,450,650,1278,162.80630000000005,721943,1305564,440000,599000,720000,780000,820000,880000,940000,990000,1000000,1085000,1160000,1260000,1350000,1450000,1550000,1680000,1800000,2069000,2690000,666,888,1122105,12000000,1085000,165000,820000,1550000,666,906126.9,8.699999999999999E8,null,0.02315966,268,"Essendon","SA3_1620603",1312579,516000,640500,745000,813000,865000,920000,975000,1025000,1114000,1190000,1242000,1330000,1405000,1500000,1572500,1725000,1850000,2046000,2360000,689,691,1165528,8000000,1190000,193000,865000,1572500,689,749247.8,9.039999999999999E8,55,0.06825682000000002,340,77,"VIC","20603","Essendon"
2,2019,"House",20604,0.6219511999999999,333,119,12,6,40,164,328,204,9,"28/02/2019",670.2279,390,425,450,480,495,515,535,550,575,600,620,650,680,725,760,830,900,1000,1200,1448,1448,616.9811,4500,600,40,495,760,1448,304.3854,970490,1272877,330000,410000,460000,520000,575000,700000,785000,850000,900000,975000,1050000,1150000,1250000,1345000,1450000,1675000,2000000,2550000,3500000,448,618,961811.5,9000000,975000,26000,575000,1450000,448,1103010,570000000,null,0.03115327,269,"Melbourne City","SA3_1620604",1307521,470000,530000,580000,640000,725000,775000,845000,888000,940000,1000000,1073000,1164500,1250000,1325000,1430000,1606000,1910000,2400000,3300000,452,454,1069745,13000000,1001500,245000,725000,1430000,452,1095511,591000000,53,0.06618062000000002,215,69,"VIC","20604","Melbourne City"
2,2019,"House",20605,0.5608010999999999,684,284,17,17,69,323,699,392,24,"28/02/2019",725.4301999999998,365,420,450,490,520,550,580,600,645,670,700,725,760,800,850,900,990,1100,1300,1906,1906,672.8281999999998,3000,670,138,520,850,1906,305.9674,1382670,1530312,375000,435000,520000,599000,703500,850000,975000,1099500,1190000,1250000,1350000,1475000,1650000,1777800,1950000,2150000,2415000,2750000,3350000,695,1037,1187910,14000000,1250000,10000,703500,1950000,695,1291428,1060000000,null,0.026097380000000007,270,"Port Phillip","SA3_1620605",1547643,475000,551000,625000,692500,860000,955000,1070000,1180000,1250000,1335000,1440000,1560000,1678000,1805000,2000000,2150000,2411600,2726000,3220000,887,894,1290113,7500000,1335000,185000,860000,2000000,887,996113.8,1370000000,49,0.0841703,412,110,"VIC","20605","Port Phillip"
2,2019,"House",20606,0.5637066000000002,527,204,12,15,64,228,518,292,18,"28/02/2019",818.0160999999998,385,430,475,510,550,590,615,650,665,700,725,750,810,870,940,1000,1145,1300,1700,1372,1372,733.4254999999998,4606,700,230,550,940,1372,452.6415,1122318,2692596,385000,472500,569999,650000,850000,1095000,1200000,1395000,1500000,1700000,1895000,2150000,2500000,2795000,3300000,4050000,5000000,6250000,8400000,624,892,1725994,2.8299999999999996E7,1700000,249000,850000,3300000,624,2966794,1.6800000000000002E9,null,0.02275,271,"Stonnington - West","SA3_1620606",2366151,495000,570000,666600,835000,1025000,1175000,1300000,1402000,1465000,1600000,1730000,1888000,2165000,2500000,2900000,3200000,4000000,4950000,6690000,679,697,1693815,38800000,1600000,320000,1025000,2900000,679,2551510,1610000000,70,0.07216038000000002,354,81,"VIC","20606","Stonnington - West"
2,2019,"House",20607,0.5805626999999995,797,303,16,12,69,385,782,454,33,"28/02/2019",709.6424999999998,450,500,525,550,575,595,600,630,650,670,695,700,750,770,800,850,900,970,1100,2277,2277,682.4339,3000,670,250,575,800,2277,214.82730000000006,1615856,1349819,550000,710000,839000,895000,950000,1000000,1050000,1100000,1190000,1240000,1300000,1350000,1450000,1525000,1645875,1725000,1890000,2100000,2495000,739,1053,1217581,6000000,1240000,92000,950000,1645875,739,640060.4,998000000,null,0.027871999999999997,272,"Yarra","SA3_1620607",1347035,610000,725000,821000,886000,947500,1000000,1060000,1125000,1195000,1250000,1300000,1366000,1430000,1500000,1605000,1720000,1875000,2100000,2425000,896,898,1233936,5000000,1250000,335000,947500,1605000,896,601888.3,1210000000,54,0.06322640000000003,398,95,"VIC","20607","Yarra"
2,2019,"House",20701,0.5162064999999998,1683,761,48,32,182,678,1666,860,75,"28/02/2019",779.0864,400,445,480,500,540,560,595,630,660,700,750,780,805,850,900,975,1100,1200,1470,2570,2570,715.9463999999998,3911,700,210,540,900,2570,362.2545,2002252,2199746,550000,840000,1150000,1300000,1439000,1500000,1600000,1700000,1795000,1895000,2000000,2100000,2250000,2400000,2550000,2800000,3100000,3795000,4600000,1757,2548,1825812,40000000,1895000,30000,1439000,2550000,1757,1679858,3860000000,null,0.019675680000000008,273,"Boroondara","SA3_1620701",2117137,700000,970000,1200000,1322000,1410000,1500000,1585000,1680000,1759000,1850000,1948000,2080000,2190000,2312000,2466000,2700000,3010000,3542500,4330000,1834,1849,1850261,1.6300000000000002E7,1850000,353000,1410000,2466000,1834,1236092,3880000000,57,0.09984587,1027,221,"VIC","20701","Boroondara"
2,2019,"House",20702,0.4346701000000001,752,411,19,21,76,260,773,336,35,"28/02/2019",574.6644,390,410,430,450,460,480,500,510,530,550,570,590,600,630,650,690,720,750,840,1809,1809,554.9915,2477,550,50,460,650,1809,166.38110000000006,1039568,1294091,700000,830000,900000,947398,980000,1020000,1095000,1100000,1150000,1200000,1240000,1280000,1300000,1350000,1417500,1500000,1585000,1750000,2205000,1380,1725,1198710,14500000,1200000,122900,980000,1417500,1380,674007.4,1.7900000000000002E9,null,0.02422702,274,"Manningham - West","SA3_1620702",1264569,757888,860000,915000,960000,1000000,1049000,1079000,1105000,1150000,1180000,1220000,1250000,1280000,1320000,1376000,1450000,1550000,1710000,2125000,984,988,1200542,5700000,1180500,332500,1000000,1376000,984,472840.9,1240000000,75,0.10961310000000003,635,184,"VIC","20702","Manningham - West"
2,2019,"House",20703,0.5193424,1033,453,21,23,89,448,1034,537,54,"28/02/2019",525.3848,350,380,400,415,430,440,450,460,480,495,510,530,550,580,600,640,680,720,800,1819,1819,503.8706,1600,495,96,430,600,1819,153.4476,955675,1264913,607500,750000,800000,870000,900000,950000,995000,1029000,1080000,1150000,1200000,1250000,1300000,1390000,1480000,1600000,1750000,1950000,2350000,1175,1665,1151673,7800000,1150000,45000,900000,1480000,1175,607609.6,1490000000,null,0.022760879999999994,275,"Whitehorse - West","SA3_1620703",1245763,685000,767500,831000,876000,921500,955000,1000000,1040000,1090000,1130888,1188500,1241000,1291000,1370000,1440000,1550000,1680000,1827000,2150000,1145,1150,1161304,6800000,1130888,125000,921500,1440000,1145,537796.4,1430000000,53,0.09192295,699,134,"VIC","20703","Whitehorse - West"
