datemonth, dateyear, propertycategorisation, sa32016code, auction_activity_auctionclearancerate, auction_activity_auctionlistedcount, auction_activity_auctionnotsoldcount, auction_activity_auctionpostponedcount, auction_activity_auctionsoldaftercount, auction_activity_auctionsoldpriorcount, auction_activity_auctionsoldunderhammercount, auction_activity_auctiontotalreported, auction_activity_auctiontotalsold, auction_activity_auctionwithdrawncount, enddate, for_rent_home_lease_averageprice, for_rent_home_lease_detailedposition05price, for_rent_home_lease_detailedposition10price, for_rent_home_lease_detailedposition15price, for_rent_home_lease_detailedposition20price, for_rent_home_lease_detailedposition25price, for_rent_home_lease_detailedposition30price, for_rent_home_lease_detailedposition35price, for_rent_home_lease_detailedposition40price, for_rent_home_lease_detailedposition45price, for_rent_home_lease_detailedposition50price, for_rent_home_lease_detailedposition55price, for_rent_home_lease_detailedposition60price, for_rent_home_lease_detailedposition65price, for_rent_home_lease_detailedposition70price, for_rent_home_lease_detailedposition75price, for_rent_home_lease_detailedposition80price, for_rent_home_lease_detailedposition85price, for_rent_home_lease_detailedposition90price, for_rent_home_lease_detailedposition95price, for_rent_home_lease_detailedpricecalcreccount, for_rent_home_lease_eventcount, for_rent_home_lease_geometricmeanprice, for_rent_home_lease_maximumprice, for_rent_home_lease_medianprice, for_rent_home_lease_minimumprice, for_rent_home_lease_position25price, for_rent_home_lease_position75price, for_rent_home_lease_pricecalcreccount, for_rent_home_lease_standarddeviationprice, for_rent_home_lease_totalprice, for_sale_both_auction_private_treaty_averageprice, for_sale_both_auction_private_treaty_detailedposition05price, for_sale_both_auction_private_treaty_detailedposition10price, for_sale_both_auction_private_treaty_detailedposition15price, for_sale_both_auction_private_treaty_detailedposition20price, for_sale_both_auction_private_treaty_detailedposition25price, for_sale_both_auction_private_treaty_detailedposition30price, for_sale_both_auction_private_treaty_detailedposition35price, for_sale_both_auction_private_treaty_detailedposition40price, for_sale_both_auction_private_treaty_detailedposition45price, for_sale_both_auction_private_treaty_detailedposition50price, for_sale_both_auction_private_treaty_detailedposition55price, for_sale_both_auction_private_treaty_detailedposition60price, for_sale_both_auction_private_treaty_detailedposition65price, for_sale_both_auction_private_treaty_detailedposition70price, for_sale_both_auction_private_treaty_detailedposition75price, for_sale_both_auction_private_treaty_detailedposition80price, for_sale_both_auction_private_treaty_detailedposition85price, for_sale_both_auction_private_treaty_detailedposition90price, for_sale_both_auction_private_treaty_detailedposition95price, for_sale_both_auction_private_treaty_detailedpricecalcreccount, for_sale_both_auction_private_treaty_eventcount, for_sale_both_auction_private_treaty_geometricmeanprice, for_sale_both_auction_private_treaty_maximumprice, for_sale_both_auction_private_treaty_medianprice, for_sale_both_auction_private_treaty_minimumprice, for_sale_both_auction_private_treaty_position25price, for_sale_both_auction_private_treaty_position75price, for_sale_both_auction_private_treaty_pricecalcreccount, for_sale_both_auction_private_treaty_standarddeviationprice, for_sale_both_auction_private_treaty_totalprice, gid, gross_rental_yield, sa32016id, sa32016name, sa32016pid, sold_both_auction_private_treaty_averageprice, sold_both_auction_private_treaty_detailedposition05price, sold_both_auction_private_treaty_detailedposition10price, sold_both_auction_private_treaty_detailedposition15price, sold_both_auction_private_treaty_detailedposition20price, sold_both_auction_private_treaty_detailedposition25price, sold_both_auction_private_treaty_detailedposition30price, sold_both_auction_private_treaty_detailedposition35price, sold_both_auction_private_treaty_detailedposition40price, sold_both_auction_private_treaty_detailedposition45price, sold_both_auction_private_treaty_detailedposition50price, sold_both_auction_private_treaty_detailedposition55price, sold_both_auction_private_treaty_detailedposition60price, sold_both_auction_private_treaty_detailedposition65price, sold_both_auction_private_treaty_detailedposition70price, sold_both_auction_private_treaty_detailedposition75price, sold_both_auction_private_treaty_detailedposition80price, sold_both_auction_private_treaty_detailedposition85price, sold_both_auction_private_treaty_detailedposition90price, sold_both_auction_private_treaty_detailedposition95price, sold_both_auction_private_treaty_detailedpricecalcreccount, sold_both_auction_private_treaty_eventcount, sold_both_auction_private_treaty_geometricmeanprice, sold_both_auction_private_treaty_maximumprice, sold_both_auction_private_treaty_medianprice, sold_both_auction_private_treaty_minimumprice, sold_both_auction_private_treaty_position25price, sold_both_auction_private_treaty_position75price, sold_both_auction_private_treaty_pricecalcreccount, sold_both_auction_private_treaty_standarddeviationprice, sold_both_auction_private_treaty_totalprice, sold_private_treaty_averagedaysonmarket, sold_private_treaty_averagediscount, sold_private_treaty_daysonmarketrecordcount, sold_private_treaty_discountrecordcount, state, feature_code, feature_name
6,2019,"House",20601,0.5493151,726,309,13,18,93,308,730,401,30,"30/06/2019",576.8933000000002,380,410,440,450,480,495,500,520,540,550,570,590,600,620,650,680,720,760,850,2015,2015,556.8587,4250,550,10,480,650,2015,179.19949999999997,1162440,955496.2,475000,575000,650000,699500,750000,780000,820000,850000,885000,900000,950000,970000,1000000,1060000,1100000,1190000,1275000,1350000,1600000,732,1047,890698.3,3200000,900000,20000,750000,1100000,732,352931.3,699000000,null,0.0310532,266,"Brunswick - Coburg","SA3_1620601",963472.4,565000,623000,678000,712000,760000,801800,830000,860000,887500,921000,950000,972500,1010000,1075000,1121000,1190000,1250000,1342500,1487500,861,865,918055.3,3025000,921000,265000,760000,1121000,861,311038.8,8.300000000000001E8,56,0.06723081,408,98,"VIC","20601","Brunswick - Coburg"
6,2019,"House",20602,0.5569358000000002,474,213,15,9,53,216,483,269,21,"30/06/2019",620.5993000000002,360,440,480,500,520,545,550,575,595,600,620,640,650,675,700,745,770,830,900,1173,1173,599.8923,1700,600,250,520,700,1173,163.5843,727963,1205185,595000,700000,775000,800000,859000,909000,958000,1000000,1050000,1100000,1150000,1199000,1250000,1295000,1379000,1450000,1600000,1750000,2200000,490,682,1101810,6900000,1100000,290000,859000,1379000,490,614083,591000000,null,0.02804494,267,"Darebin - South","SA3_1620602",1206498,615000,700000,790000,830000,865000,935000,988000,1050000,1085000,1110000,1160000,1230000,1290000,1336000,1404000,1500000,1610000,1800000,2120000,558,561,1125651,4465000,1112500,390000,865000,1404000,558,476924.4,673000000,49,0.05851207000000001,263,46,"VIC","20602","Darebin - South"
6,2019,"House",20603,0.5130435,568,265,14,10,58,237,575,295,35,"30/06/2019",562.0931,360,395,415,440,450,470,490,500,515,530,550,570,595,620,650,680,705,750,850,1311,1311,541.9614999999998,1869,530,195,450,650,1311,160.2419,736904,1332671,480000,650000,735000,800000,850000,895000,950000,995000,1050000,1150000,1250000,1325000,1400000,1485000,1560000,1690000,1900000,2194500,2690000,592,845,1157158,12000000,1150000,260000,850000,1560000,592,883989.6,789000000,null,0.02345532000000001,268,"Essendon","SA3_1620603",1270232,525000,650000,748000,815000,860000,920000,975000,1020000,1100000,1175000,1231000,1300000,1362500,1430000,1520000,1610000,1750000,1950000,2223500,642,644,1146400,7270000,1175000,193000,860000,1520000,642,659194.3,815000000,54,0.07424019000000003,335,72,"VIC","20603","Essendon"
6,2019,"House",20604,0.5972221999999995,290,106,11,9,31,141,288,172,13,"30/06/2019",669.618,390,430,450,480,500,520,540,550,575,600,620,650,680,725,760,820,900,995,1150,1411,1412,617.9805,4500,600,45,500,760,1411,300.1525000000001,944831,1330430,340000,420000,475000,530000,585000,680000,780000,850000,900000,985000,1075000,1195000,1295000,1350000,1450000,1685000,2100000,2595000,3700000,371,541,980260.6,11000000,985000,25000,585000,1450000,371,1258399,4.9400000000000006E8,null,0.03292876,269,"Melbourne City","SA3_1620604",1266888,480000,530000,571000,645000,716000,751000,810000,841000,895000,945000,1020000,1080000,1182000,1275000,1410000,1515000,1868000,2300000,3300000,386,388,1037710,8500000,947500,265000,716000,1410000,386,1031029,4.889999999999999E8,55,0.07084447,193,59,"VIC","20604","Melbourne City"
6,2019,"House",20605,0.5474338999999998,626,263,23,18,55,297,643,352,40,"30/06/2019",735.6610999999998,370,420,460,495,525,550,590,620,650,680,700,750,775,800,850,920,995,1100,1300,1903,1903,681.7068,3000,680,138,525,850,1903,312.0832999999999,1399963,1577764,355000,420000,500000,615000,739500,868000,985000,1095000,1200000,1295000,1400000,1510000,1695000,1800000,1995000,2300000,2600000,2850000,3595000,659,989,1211008,13000000,1295000,10000,739500,1995000,659,1308683,1040000000,null,0.028119279999999993,270,"Port Phillip","SA3_1620605",1463088,462500,550000,624000,678999,820000,902000,990000,1081000,1185000,1255000,1350000,1470000,1600000,1700000,1805000,2000000,2325000,2650000,3150000,824,828,1226605,7500000,1257500,185000,820000,1805000,824,933499.1,1210000000,55,0.08531572000000003,388,110,"VIC","20605","Port Phillip"
6,2019,"House",20606,0.5492958000000002,420,177,11,10,41,193,426,234,15,"30/06/2019",817.8172999999997,390,440,480,520,550,595,615,650,670,700,725,750,800,850,900,995,1100,1300,1700,1368,1368,732.6455,6000,700,230,550,900,1368,472.1271,1118774,2781012,385000,470000,559000,640000,865000,1055000,1257500,1450000,1600000,1795000,2000000,2300000,2600000,2900000,3350000,4200000,5000000,6500000,9000000,588,824,1761346,2.8299999999999996E7,1795000,30000,865000,3350000,588,3021300,1.6400000000000002E9,null,0.02348387,271,"Stonnington - West","SA3_1620606",2274507,525000,600000,700000,846000,1002000,1157500,1282500,1381000,1456000,1550000,1680000,1850000,2000000,2280000,2600000,3025000,3480000,4685000,6370000,645,656,1652605,2.3899999999999996E7,1550000,320000,1002000,2600000,645,2371543,1470000000,78,0.08376118000000003,331,95,"VIC","20606","Stonnington - West"
6,2019,"House",20607,0.5722891999999997,667,269,12,15,59,321,664,380,29,"30/06/2019",712.5355999999998,450,500,530,550,580,600,615,630,650,670,695,710,750,765,800,850,900,970,1100,2384,2384,685.6918000000002,2600,672.5,250,580,800,2384,214.2518,1698685,1352463,492000,665000,800000,870000,910000,955000,1000000,1099000,1150000,1200000,1275000,1346625,1417500,1500000,1600000,1690763,1890000,2025000,2500000,580,926,1193712,15000000,1203488,115000,910000,1600000,580,881004.3,784000000,null,0.02854694,272,"Yarra","SA3_1620607",1298812,590500,710000,795000,870000,925000,970000,1035000,1085000,1165000,1225000,1282500,1330000,1397000,1450000,1530000,1630000,1750000,1980000,2280000,771,774,1196004,4476000,1225000,335000,925000,1530000,771,563893.8,1000000000,62,0.08268539999999998,344,83,"VIC","20607","Yarra"
6,2019,"House",20701,0.5212076999999998,1392,610,38,33,145,580,1391,725,73,"30/06/2019",780.0702,400,450,480,500,540,560,600,630,670,700,750,780,815,850,900,980,1080,1200,1500,2564,2564,716.4307,4000,700,215,540,900,2564,360.7382999999998,2000100,2285774,550000,885282,1150000,1300000,1400000,1500000,1595000,1680000,1785000,1890000,2000000,2100000,2300000,2400000,2600000,2890000,3250000,3950000,4925000,1595,2324,1845615,40000000,1890000,30000,1400000,2600000,1595,2060553,3650000000,null,0.0208,273,"Boroondara","SA3_1620701",2049653,687500,955000,1155000,1272000,1362500,1430000,1508000,1595000,1675000,1750000,1850000,1950000,2065000,2205000,2400000,2622000,2950000,3520000,4300000,1676,1692,1786343,14000000,1750000,292000,1362500,2400000,1676,1215409,3440000000,62,0.11376850000000002,984,207,"VIC","20701","Boroondara"
6,2019,"House",20702,0.45427290000000015,631,334,15,20,66,237,667,303,41,"30/06/2019",573.0927,390,415,430,450,460,480,500,515,530,550,570,585,600,625,650,685,700,750,830,1846,1846,554.3589,2200,550,50,460,650,1846,158.9727,1057929,1270776,729000,820000,885000,900000,950000,990000,1039900,1085031,1100000,1150000,1200000,1250000,1280000,1335000,1385000,1459000,1564500,1750000,2200000,1306,1620,1175634,14500000,1150000,122900,950000,1385000,1306,678751.6,1.6600000000000002E9,null,0.025765770000000007,274,"Manningham - West","SA3_1620702",1189234,732000,825000,882500,916000,950000,980000,1015128,1050000,1082500,1110000,1150000,1195000,1221000,1254000,1300000,1365220,1451000,1610000,1940000,974,982,1136136,4000000,1110000,406000,950000,1300000,974,401770.2,1.1600000000000002E9,80,0.12233300000000003,655,197,"VIC","20702","Manningham - West"
6,2019,"House",20703,0.5503597,823,350,19,16,80,379,834,459,48,"30/06/2019",529.2635,355,385,400,420,430,445,450,470,480,500,515,530,550,587,600,645,680,720,800,1753,1753,508.4086999999999,1695,500,133,430,600,1753,154.7074,927799,1243107,645000,750000,800000,858000,899000,930000,960000,1000000,1050000,1098000,1150000,1200000,1250000,1325000,1420000,1575000,1699000,1890000,2300000,1029,1473,1134017,6725000,1098000,45000,899000,1420000,1029,601013,1280000000,null,0.02476190000000001,275,"Whitehorse - West","SA3_1620703",1169101,680000,750000,810000,851552,885000,920000,950000,975000,1010577,1050000,1100000,1148000,1195500,1256000,1330000,1420000,1560000,1700000,1980000,1044,1053,1098011,6800000,1050000,305000,885000,1330000,1044,480320.8,1220000000,66,0.100619,632,147,"VIC","20703","Whitehorse - West"
