datemonth, dateyear, propertycategorisation, sa32016code, auction_activity_auctionclearancerate, auction_activity_auctionlistedcount, auction_activity_auctionnotsoldcount, auction_activity_auctionpostponedcount, auction_activity_auctionsoldaftercount, auction_activity_auctionsoldpriorcount, auction_activity_auctionsoldunderhammercount, auction_activity_auctiontotalreported, auction_activity_auctiontotalsold, auction_activity_auctionwithdrawncount, enddate, for_rent_home_lease_averageprice, for_rent_home_lease_detailedposition05price, for_rent_home_lease_detailedposition10price, for_rent_home_lease_detailedposition15price, for_rent_home_lease_detailedposition20price, for_rent_home_lease_detailedposition25price, for_rent_home_lease_detailedposition30price, for_rent_home_lease_detailedposition35price, for_rent_home_lease_detailedposition40price, for_rent_home_lease_detailedposition45price, for_rent_home_lease_detailedposition50price, for_rent_home_lease_detailedposition55price, for_rent_home_lease_detailedposition60price, for_rent_home_lease_detailedposition65price, for_rent_home_lease_detailedposition70price, for_rent_home_lease_detailedposition75price, for_rent_home_lease_detailedposition80price, for_rent_home_lease_detailedposition85price, for_rent_home_lease_detailedposition90price, for_rent_home_lease_detailedposition95price, for_rent_home_lease_detailedpricecalcreccount, for_rent_home_lease_eventcount, for_rent_home_lease_geometricmeanprice, for_rent_home_lease_maximumprice, for_rent_home_lease_medianprice, for_rent_home_lease_minimumprice, for_rent_home_lease_position25price, for_rent_home_lease_position75price, for_rent_home_lease_pricecalcreccount, for_rent_home_lease_standarddeviationprice, for_rent_home_lease_totalprice, for_sale_both_auction_private_treaty_averageprice, for_sale_both_auction_private_treaty_detailedposition05price, for_sale_both_auction_private_treaty_detailedposition10price, for_sale_both_auction_private_treaty_detailedposition15price, for_sale_both_auction_private_treaty_detailedposition20price, for_sale_both_auction_private_treaty_detailedposition25price, for_sale_both_auction_private_treaty_detailedposition30price, for_sale_both_auction_private_treaty_detailedposition35price, for_sale_both_auction_private_treaty_detailedposition40price, for_sale_both_auction_private_treaty_detailedposition45price, for_sale_both_auction_private_treaty_detailedposition50price, for_sale_both_auction_private_treaty_detailedposition55price, for_sale_both_auction_private_treaty_detailedposition60price, for_sale_both_auction_private_treaty_detailedposition65price, for_sale_both_auction_private_treaty_detailedposition70price, for_sale_both_auction_private_treaty_detailedposition75price, for_sale_both_auction_private_treaty_detailedposition80price, for_sale_both_auction_private_treaty_detailedposition85price, for_sale_both_auction_private_treaty_detailedposition90price, for_sale_both_auction_private_treaty_detailedposition95price, for_sale_both_auction_private_treaty_detailedpricecalcreccount, for_sale_both_auction_private_treaty_eventcount, for_sale_both_auction_private_treaty_geometricmeanprice, for_sale_both_auction_private_treaty_maximumprice, for_sale_both_auction_private_treaty_medianprice, for_sale_both_auction_private_treaty_minimumprice, for_sale_both_auction_private_treaty_position25price, for_sale_both_auction_private_treaty_position75price, for_sale_both_auction_private_treaty_pricecalcreccount, for_sale_both_auction_private_treaty_standarddeviationprice, for_sale_both_auction_private_treaty_totalprice, gid, gross_rental_yield, sa32016id, sa32016name, sa32016pid, sold_both_auction_private_treaty_averageprice, sold_both_auction_private_treaty_detailedposition05price, sold_both_auction_private_treaty_detailedposition10price, sold_both_auction_private_treaty_detailedposition15price, sold_both_auction_private_treaty_detailedposition20price, sold_both_auction_private_treaty_detailedposition25price, sold_both_auction_private_treaty_detailedposition30price, sold_both_auction_private_treaty_detailedposition35price, sold_both_auction_private_treaty_detailedposition40price, sold_both_auction_private_treaty_detailedposition45price, sold_both_auction_private_treaty_detailedposition50price, sold_both_auction_private_treaty_detailedposition55price, sold_both_auction_private_treaty_detailedposition60price, sold_both_auction_private_treaty_detailedposition65price, sold_both_auction_private_treaty_detailedposition70price, sold_both_auction_private_treaty_detailedposition75price, sold_both_auction_private_treaty_detailedposition80price, sold_both_auction_private_treaty_detailedposition85price, sold_both_auction_private_treaty_detailedposition90price, sold_both_auction_private_treaty_detailedposition95price, sold_both_auction_private_treaty_detailedpricecalcreccount, sold_both_auction_private_treaty_eventcount, sold_both_auction_private_treaty_geometricmeanprice, sold_both_auction_private_treaty_maximumprice, sold_both_auction_private_treaty_medianprice, sold_both_auction_private_treaty_minimumprice, sold_both_auction_private_treaty_position25price, sold_both_auction_private_treaty_position75price, sold_both_auction_private_treaty_pricecalcreccount, sold_both_auction_private_treaty_standarddeviationprice, sold_both_auction_private_treaty_totalprice, sold_private_treaty_averagedaysonmarket, sold_private_treaty_averagediscount, sold_private_treaty_daysonmarketrecordcount, sold_private_treaty_discountrecordcount, state, feature_code, feature_name
3,2019,"House",20601,0.5596555999999999,811,337,14,17,103,352,813,455,33,"31/03/2019",575.0035,380,410,440,450,470,490,500,520,540,550,570,590,600,620,650,690,720,770,850,2019,2019,555.548,4250,550,10,470,650,2019,168.85490000000001,1160932,948247.4,490000,578000,650000,700000,750000,789000,820000,850000,885000,900000,949000,958000,1000000,1075000,1100000,1180000,1250000,1350000,1500000,854,1142,888786.5,2800000,900000,20000,750000,1100000,854,333317.1,810000000,null,0.030457930000000008,266,"Brunswick - Coburg","SA3_1620601",988132.9,565000,623000,680000,719900,765000,810000,855000,880000,911000,939000,965000,1005000,1070000,1115000,1170000,1220200,1300000,1379000,1535000,921,921,939939.4,3125000,939000,265000,765000,1170000,921,322225.5,910000000,52,0.06752375000000004,418,101,"VIC","20601","Brunswick - Coburg"
3,2019,"House",20602,0.5780347,516,222,18,10,61,239,519,300,18,"31/03/2019",616.6374,360,440,475,500,520,540,550,570,590,600,620,640,650,670,700,740,760,820,895,1183,1183,596.0015,1700,600,250,520,700,1183,162.8065,729482,1199488,529000,650000,749000,799000,825000,895000,949000,1000000,1050000,1100000,1150000,1200000,1275000,1325000,1400000,1500000,1650000,1820000,2150000,557,738,1087971,6900000,1100000,102000,825000,1400000,557,604009.1,668000000,null,0.027525360000000006,267,"Darebin - South","SA3_1620602",1226709,566000,675500,750000,800000,860000,915000,985000,1055000,1100000,1132000,1190000,1266000,1320000,1380000,1485000,1585000,1715000,1860000,2200000,590,591,1133103,4000000,1133500,307000,860000,1485000,590,505304.8,724000000,48,0.07006454000000004,267,51,"VIC","20602","Darebin - South"
3,2019,"House",20603,0.5308219000000002,582,251,16,10,59,251,584,310,37,"31/03/2019",564.7123,360,395,415,440,450,475,490,500,520,535,550,580,600,625,650,680,720,770,850,1293,1293,544.6328,1400,535,195,450,650,1293,157.2617,730173,1304443,440000,599000,700000,772500,820000,875000,930000,980000,1000000,1089000,1180000,1275000,1350000,1450000,1550000,1690000,1800000,2100000,2690000,654,884,1122080,12000000,1092000,165000,820000,1550000,654,899404.5,8.529999999999999E8,null,0.023427370000000006,268,"Essendon","SA3_1620603",1299530,516000,640500,745000,815000,870000,920000,976700,1035000,1115000,1185000,1242000,1320000,1400000,1466000,1530000,1650000,1810000,2000000,2360000,648,652,1157404,8000000,1187500,193000,870000,1530000,648,737196.5,842000000,57,0.07086682000000002,327,76,"VIC","20603","Essendon"
3,2019,"House",20604,0.6134970000000003,332,123,11,7,35,165,326,200,10,"31/03/2019",669.4174999999998,390,425,450,475,495,510,530,550,570,600,620,650,680,720,760,830,900,1000,1200,1430,1431,614.8894,4500,600,45,495,760,1430,307.49899999999985,957267,1272084,330000,415000,460000,520000,575000,699000,790000,850000,925000,985000,1075000,1195000,1250000,1350000,1450000,1675000,1990000,2450000,3500000,451,620,952033.6,9000000,985000,25000,575000,1450000,451,1098080,574000000,null,0.03213182000000002,269,"Melbourne City","SA3_1620604",1250836,465000,515000,554500,630000,715000,765000,820000,870000,925000,970000,1050000,1150000,1200000,1300000,1420000,1570000,1811000,2270000,3200000,446,448,1039470,6665000,971000,245000,715000,1420000,446,935128.4,558000000,53,0.06849197000000003,219,70,"VIC","20604","Melbourne City"
3,2019,"House",20605,0.5569986000000002,673,285,19,19,62,324,693,386,27,"31/03/2019",732.7740000000001,370,420,450,490,520,550,585,610,650,675,700,740,770,800,850,920,995,1100,1300,1907,1907,678.4813,3000,675,138,520,850,1907,312.73139999999984,1397400,1546056,369650,440000,518700,600000,725000,861000,975000,1095000,1195000,1275000,1390000,1500000,1650000,1785000,1950000,2130000,2450000,2800000,3500000,718,1046,1198114,14000000,1275000,10000,725000,1950000,718,1298314,1110000000,null,0.026590910000000013,270,"Port Phillip","SA3_1620605",1508737,450000,540000,615000,665000,817500,917500,1010000,1140000,1205000,1320000,1410000,1520000,1625000,1750000,1941000,2100000,2403000,2710000,3215000,890,898,1254637,7500000,1320000,185000,817500,1941000,890,972954.3,1340000000,52,0.0824328,414,117,"VIC","20605","Port Phillip"
3,2019,"House",20606,0.5535353,501,201,13,12,57,217,495,274,19,"31/03/2019",815.5285,385,430,480,510,550,585,600,635,660,700,725,750,800,850,910,995,1100,1300,1700,1385,1385,730.8263999999998,4606,700,230,550,910,1385,455.8463,1129507,2646093,379000,459000,550000,630000,800000,997500,1150000,1300000,1500000,1700000,1890000,2150000,2500000,2750000,3250000,4000000,4975000,6000000,8400000,639,893,1683163,2.8299999999999996E7,1700000,157500,800000,3250000,639,2942985,1.6900000000000002E9,null,0.02369792,271,"Stonnington - West","SA3_1620606",2274733,500000,575000,655000,795000,950000,1097500,1255000,1360000,1425800,1536000,1680000,1850000,2017500,2320000,2680000,3050000,3605000,4685000,6370000,671,686,1624847,38800000,1536000,320000,950000,2680000,671,2551456,1530000000,75,0.07932133000000002,343,85,"VIC","20606","Stonnington - West"
3,2019,"House",20607,0.5696720999999999,744,296,14,13,65,352,732,417,32,"31/03/2019",711.8315999999998,450,500,530,550,575,595,610,630,650,670,690,700,750,770,800,850,900,975,1100,2304,2304,684.2157000000002,2800,670,250,575,800,2304,217.593,1640060,1335598,520000,678300,800000,880000,929000,985000,1035000,1100000,1175000,1218000,1300000,1350000,1450000,1500000,1625000,1725000,1850000,2100000,2490000,710,1013,1195116,6000000,1219000,92000,929000,1625000,710,652240.1,948000000,null,0.027871999999999997,272,"Yarra","SA3_1620607",1319887,585000,702000,790000,873000,930000,975000,1050000,1110000,1185000,1250000,1300000,1350000,1420000,1480000,1560000,1680000,1825000,2050000,2325888,865,870,1211071,4476000,1250000,290000,930000,1560000,865,573912.1,1.1400000000000002E9,54,0.06712856,377,92,"VIC","20607","Yarra"
3,2019,"House",20701,0.5072099999999998,1604,735,46,34,169,640,1595,809,76,"31/03/2019",783.3275999999996,400,450,480,500,540,565,595,630,660,700,750,780,815,850,900,980,1100,1200,1480,2582,2582,718.7031000000002,4000,700,210,540,900,2582,372.4599,2022552,2176715,550000,840000,1125000,1300000,1400000,1495000,1550000,1675000,1750000,1850000,1990000,2100000,2200000,2355000,2500000,2800000,3097500,3700000,4500000,1769,2524,1803187,40000000,1850000,30000,1400000,2500000,1769,1666246,3.8499999999999995E9,null,0.020222219999999992,273,"Boroondara","SA3_1620701",2081732,680000,950000,1175000,1300000,1400000,1465000,1550000,1630000,1712000,1800000,1900000,2002000,2130000,2280000,2438888,2685000,2975000,3550000,4210000,1776,1796,1815726,12500000,1800000,353000,1400000,2438888,1776,1218231,3700000000,57,0.10407330000000002,1017,220,"VIC","20701","Boroondara"
3,2019,"House",20702,0.4210526000000001,695,391,18,23,65,239,722,304,34,"31/03/2019",577.1432,390,415,430,450,465,480,500,515,530,550,570,595,600,630,650,690,720,750,850,1830,1830,557.6049,2200,550,50,465,650,1830,163.8306,1056172,1282880,700000,820000,893125,930000,959000,1000000,1050000,1100000,1150000,1195000,1200000,1260000,1300000,1350000,1400000,1490000,1568000,1750000,2200000,1360,1693,1187412,14500000,1195000,122900,959000,1400000,1360,675721.9,1.7400000000000002E9,null,0.024655170000000007,274,"Manningham - West","SA3_1620702",1241611,745000,850000,900000,940518,981000,1020000,1055000,1090000,1125000,1160000,1200000,1230000,1260000,1300000,1350000,1428880,1515500,1685000,2080000,953,961,1179843,5700000,1160000,332500,981000,1350000,953,456971,1.1800000000000002E9,75,0.11069220000000003,626,190,"VIC","20702","Manningham - West"
3,2019,"House",20703,0.5309828999999998,933,404,18,22,86,411,936,497,51,"31/03/2019",526.4253,350,385,400,415,430,440,450,460,480,495,510,530,550,580,600,640,675,720,800,1787,1787,504.69300000000004,1600,495,96,430,600,1787,155.17659999999998,940722,1268110,640000,756000,820000,880000,900000,950000,990000,1015000,1070000,1125000,1185000,1230000,1299000,1380000,1485000,1600000,1750000,1950000,2350000,1134,1604,1156226,7800000,1125000,45000,900000,1485000,1134,616847.3,1440000000,null,0.023378750000000007,275,"Whitehorse - West","SA3_1620703",1215118,686000,766000,830000,870000,920000,950000,990000,1020000,1057500,1101000,1160000,1210000,1260000,1323000,1405000,1500000,1625000,1798000,2080000,1109,1117,1140661,6800000,1101000,125000,920000,1405000,1109,480169.3,1350000000,57,0.09447443,666,144,"VIC","20703","Whitehorse - West"
3,2019,"House",20801,0.47854480000000016,1066,509,17,35,105,408,1072,513,63,"31/03/2019",912.2769000000002,450,495,530,560,600,649,680,725,760,795,850,890,945,995,1095,1195,1300,1450,1800,1766,1766,827.0247,3900,795,280,600,1095,1766,454.1418000000001,1611081,2047438,799000,920000,1050000,1150000,1250000,1330000,1410000,1500000,1600000,1690000,1760000,1850000,1950000,2100000,2300000,2500000,2900000,3500000,4500000,1229,1697,1732097,27000000,1690000,172500,1250000,2300000,1229,1628641,2520000000,null,0.024903610000000007,276,"Bayside","SA3_1620801",1930651,815000,950000,1050000,1175000,1255000,1325000,1400000,1500000,1582000,1660000,1750000,1843000,1940000,2050000,2225000,2360000,2730000,3150000,4000000,1257,1274,1697519,14800000,1660000,320000,1255000,2225000,1257,1206623,2.4299999999999995E9,59,0.09217787,692,178,"VIC","20801","Bayside"
3,2019,"House",20802,0.511955,1409,638,32,41,135,593,1422,728,103,"31/03/2019",673.3892,400,440,460,490,500,530,550,575,600,635,670,695,725,760,799,849,885,950,1080,2477,2477,639.1706,2400,635,135,500,799,2477,230.14369999999994,1667985,1337262,680000,800000,880000,949000,999999,1050000,1100000,1150000,1200000,1250000,1295000,1340000,1395000,1450000,1550000,1650000,1795000,1950000,2300000,1210,1852,1235879,7000000,1250000,30000,999999,1550000,1210,576252.4,1620000000,null,0.02589804,277,"Glen Eira","SA3_1620802",1370414,735000,837000,900000,977500,1038000,1085000,1150000,1190000,1230000,1275000,1320000,1360000,1421000,1480000,1555000,1655000,1780000,1992500,2400000,1410,1431,1280265,9500000,1275000,280000,1038000,1555000,1410,568528.4,1930000000,41,0.08258722,677,104,"VIC","20802","Glen Eira"
3,2019,"House",20803,0.4892624000000001,1068,471,33,38,138,386,1071,524,85,"31/03/2019",551.7144000000002,350,380,400,420,440,450,465,480,495,515,530,550,575,595,620,650,695,750,850,2006,2007,527.0467,3042,515,167,440,620,2006,204.7294,1106739,963988.4,520000,600000,649000,690000,720000,760000,790000,829950,850000,890000,910000,950000,995000,1040000,1100000,1150000,1250000,1375000,1700000,1704,2068,894058.6,5650000,890000,54900,720000,1100000,1704,418727.8,1.6400000000000002E9,null,0.029921790000000007,278,"Kingston","SA3_1620803",966235.2,550000,615000,651500,691500,732800,770000,807500,840000,870000,895000,926000,955000,990000,1040000,1100000,1160000,1230000,1330000,1600000,1475,1481,907594.6,6305000,895000,190000,732800,1100000,1475,405058.3,1430000000,51,0.07284850999999998,862,225,"VIC","20803","Kingston"
3,2019,"House",20804,0.5951742999999998,376,144,4,8,28,194,373,222,12,"31/03/2019",784.2025,380,440,470,500,530,580,600,630,650,695,730,760,800,870,900,980,1100,1295,1500,652,652,713.8695999999998,3500,695,150,530,900,652,375.4178,511300,1966396,350000,600000,910000,1055000,1150000,1260000,1300000,1475000,1580000,1650000,1800000,1900000,2000000,2200000,2300000,2625000,3000000,3500000,5000000,319,523,1543144,9500000,1650000,30000,1150000,2300000,319,1378327,627000000,null,0.02053409,279,"Stonnington - East","SA3_1620804",2053246,660000,806000,945000,1090000,1200000,1300000,1410000,1550000,1650000,1760000,1900000,2000000,2115000,2301000,2525000,2750000,3031000,3650000,4660000,389,394,1735830,8900000,1760000,273000,1200000,2525000,389,1296621,799000000,52,0.10250719999999998,162,26,"VIC","20804","Stonnington - East"
3,2019,"House",20901,0.5228938000000002,1081,498,19,19,116,455,1092,571,36,"31/03/2019",483.24800000000005,340,360,370,380,395,400,420,430,445,450,470,485,500,520,540,555,595,645,730,2000,2000,466.4672999999999,1850,450,127,395,540,2000,140.91140000000001,966496,990839.1,550000,600000,647500,670000,690000,710000,740000,760000,785000,810000,850000,875000,900000,980000,1050000,1150000,1275000,1600000,2100000,1558,1922,892266.2,6100000,812500,10025,690000,1050000,1558,580128.6,1540000000,null,0.028363640000000006,280,"Banyule","SA3_1620901",978304.1,571000,633000,665550,693500,712500,730500,750000,780000,800000,825000,860000,899000,925000,980000,1055000,1140000,1260000,1480000,1910000,1515,1520,901539.1,6880000,825000,350000,712500,1055000,1515,499321.2,1480000000,52,0.06434640999999998,935,227,"VIC","20901","Banyule"
3,2019,"House",20902,0.5443038,870,382,21,24,99,374,869,473,33,"31/03/2019",441.9738,320,340,350,360,380,390,400,400,420,430,440,450,460,480,495,510,550,565,620,2057,2058,430.9702,1999,430,130,380,495,2057,103.9725,909140,817733.5,485000,540000,580000,600000,623900,650000,675000,690000,720000,748000,765000,800000,830000,870000,900000,959900,1028000,1160000,1300000,1094,1446,764130.6,9000000,748062.5,20000,623900,900000,1094,450368.5,8.950000000000001E8,null,0.029421050000000008,281,"Darebin - North","SA3_1620902",811835.6,505000,555000,590000,611000,640000,661000,691000,715000,735000,760000,790000,820000,855000,885000,930000,980000,1050000,1150000,1262500,1001,1003,778769.6,2450000,760000,298000,640000,930000,1001,246846.6,8.129999999999999E8,64,0.09478467000000003,492,87,"VIC","20902","Darebin - North"
3,2019,"House",20903,0.5202019999999998,202,86,3,2,31,72,198,103,11,"31/03/2019",516.0532,340,370,380,400,420,430,450,450,475,490,510,530,550,570,600,620,650,695,780,432,432,496.7128,1400,492.5,51,420,600,432,144.76469999999998,222935,934460.6,545000,590000,650000,680000,700000,740000,750000,780000,800000,849999,860000,890000,947625,980000,1045000,1150000,1250000,1400000,1650000,856,922,870104.1,4496232,849999.5,39000,700000,1045000,856,401021.6,800000000,null,0.02977907,282,"Nillumbik - Kinglake","SA3_1620903",962364.3,559002,611500,652000,700000,731000,760000,782500,805000,840000,860000,890000,937500,965000,1011800,1055000,1165000,1275000,1435000,1670000,719,721,903703.7,4225000,860000,330000,731000,1055000,719,393488.1,692000000,52,0.06670625000000004,562,179,"VIC","20903","Nillumbik - Kinglake"
3,2019,"House",20904,0.5216374,1779,731,50,50,178,714,1710,892,103,"31/03/2019",395.0143,330,340,350,350,360,360,370,375,380,380,390,395,400,400,415,420,435,450,495,4113,4113,389.0598000000001,7475,380,140,360,415,4113,131.63459999999998,1624694,579533.4,396360,439000,460000,480000,495000,501662,519000,530000,545000,552100,565195,580000,592500,604206,625150,650000,680000,720000,816999,6718,7818,558995.6,6150000,552106.5,55000,495000,625150,6718,205740.5,3.8899999999999995E9,null,0.032661160000000015,283,"Whittlesea - Wallan","SA3_1620904",640923.4,450000,480000,500000,520000,536000,551500,570000,580000,595000,605000,620000,630000,645200,662000,685000,710000,745000,801000,920000,2694,2697,618080.9,6600000,605000,52000,536000,685000,2694,239272.5,1.7300000000000002E9,48,0.05797736000000001,1661,386,"VIC","20904","Whittlesea - Wallan"
3,2019,"House",21001,0.5434783000000001,635,275,12,18,97,253,644,350,39,"31/03/2019",478.8241,330,360,375,385,395,400,410,420,440,450,450,470,495,505,530,550,595,630,700,1114,1114,463.3844,2586,450,106,395,530,1114,145.7807,533410,964430,570000,630000,670000,700000,734000,759000,780000,800000,830419,865000,900000,935000,978000,1015000,1100000,1150000,1280000,1435000,1650000,700,920,908133.8,3910000,867000,425000,734000,1100000,700,386163.1,675000000,null,0.027392450000000006,284,"Keilor","SA3_1621001",950385.3,587000,640000,668000,710000,735000,750000,775000,798000,820000,853500,897500,932500,980000,1016000,1080000,1145000,1236000,1357500,1550000,686,692,902205.5,3500000,854250,438000,735000,1080000,686,348360.3,652000000,61,0.07810398000000003,343,109,"VIC","21001","Keilor"
3,2019,"House",21002,0.4361702000000001,99,44,8,3,13,28,94,41,8,"31/03/2019",485.0934999999999,320,345,370,380,400,410,420,430,440,450,475,490,500,535,550,580,600,650,730,278,278,469.6438000000001,1075,450,220,400,550,278,129.961,134856,834761.9,420000,461700,495000,535000,570000,595000,622591,645000,672983,695000,720000,750000,790000,830000,890000,960000,1075000,1250000,1735000,682,714,735980.9,7500000,695000,61000,570000,890000,682,579217.8,569000000,null,0.03300889000000001,285,"MacEdon Ranges","SA3_1621002",794394.8,420000,455000,502000,535000,556000,575000,605000,630000,670000,707800,745000,790000,823500,855000,900000,950000,1075000,1217500,1370000,396,397,730335.6,3810000,708900,280000,556000,900000,396,384070,315000000,69,0.053624220000000014,301,129,"VIC","21002","Macedon Ranges"
3,2019,"House",21003,0.5398773,822,331,20,14,108,332,815,440,62,"31/03/2019",435.6020000000001,335,350,365,375,380,390,400,400,410,420,425,440,450,455,475,495,510,550,585,1927,1927,428.2790999999999,2370,420,160,380,475,1927,92.71339,839405,712840.6,450000,490000,500000,540000,565000,589000,607000,640000,650000,680000,699000,715000,740000,755000,790000,810000,850000,925000,1090000,1117,1383,678406.4,6900000,680000,270000,565000,790000,1117,314807.9,796000000,null,0.0312,286,"Moreland - North","SA3_1621003",723712.4,480000,521150,550000,580000,600000,620000,640000,660000,680000,700000,720000,737000,750000,775000,805000,830000,880000,945000,1080000,971,976,701390,2400000,700000,325000,600000,805000,971,195268.8,703000000,60,0.06008635,529,158,"VIC","21003","Moreland - North"
3,2019,"House",21004,0.5392157,108,39,1,7,25,30,102,55,5,"31/03/2019",394.0484,320,330,340,350,350,360,360,370,380,380,390,395,400,410,430,440,450,475,500,806,806,389.7062999999999,790,380,260,350,430,806,61.480380000000004,317603,575772.3,390000,415400,430000,450000,465000,475000,485000,495000,507950,522695,537400,549765,562000,580000,598340,625535,661000,739000,850000,1200,1256,540133.4,10000000,523246.5,22500,465000,598340,1200,370973.3,691000000,null,0.03625688,287,"Sunbury","SA3_1621004",582186.4,410000,435000,452500,465000,480000,491000,505000,516000,530000,545000,555000,571000,590000,610000,630000,660000,700000,780000,900000,649,649,563279.8,2400000,545000,341000,480000,630000,649,173688,378000000,41,0.05294323,544,117,"VIC","21004","Sunbury"
