datemonth, dateyear, propertycategorisation, sa32016code, auction_activity_auctionclearancerate, auction_activity_auctionlistedcount, auction_activity_auctionnotsoldcount, auction_activity_auctionpostponedcount, auction_activity_auctionsoldaftercount, auction_activity_auctionsoldpriorcount, auction_activity_auctionsoldunderhammercount, auction_activity_auctiontotalreported, auction_activity_auctiontotalsold, auction_activity_auctionwithdrawncount, enddate, for_rent_home_lease_averageprice, for_rent_home_lease_detailedposition05price, for_rent_home_lease_detailedposition10price, for_rent_home_lease_detailedposition15price, for_rent_home_lease_detailedposition20price, for_rent_home_lease_detailedposition25price, for_rent_home_lease_detailedposition30price, for_rent_home_lease_detailedposition35price, for_rent_home_lease_detailedposition40price, for_rent_home_lease_detailedposition45price, for_rent_home_lease_detailedposition50price, for_rent_home_lease_detailedposition55price, for_rent_home_lease_detailedposition60price, for_rent_home_lease_detailedposition65price, for_rent_home_lease_detailedposition70price, for_rent_home_lease_detailedposition75price, for_rent_home_lease_detailedposition80price, for_rent_home_lease_detailedposition85price, for_rent_home_lease_detailedposition90price, for_rent_home_lease_detailedposition95price, for_rent_home_lease_detailedpricecalcreccount, for_rent_home_lease_eventcount, for_rent_home_lease_geometricmeanprice, for_rent_home_lease_maximumprice, for_rent_home_lease_medianprice, for_rent_home_lease_minimumprice, for_rent_home_lease_position25price, for_rent_home_lease_position75price, for_rent_home_lease_pricecalcreccount, for_rent_home_lease_standarddeviationprice, for_rent_home_lease_totalprice, for_sale_both_auction_private_treaty_averageprice, for_sale_both_auction_private_treaty_detailedposition05price, for_sale_both_auction_private_treaty_detailedposition10price, for_sale_both_auction_private_treaty_detailedposition15price, for_sale_both_auction_private_treaty_detailedposition20price, for_sale_both_auction_private_treaty_detailedposition25price, for_sale_both_auction_private_treaty_detailedposition30price, for_sale_both_auction_private_treaty_detailedposition35price, for_sale_both_auction_private_treaty_detailedposition40price, for_sale_both_auction_private_treaty_detailedposition45price, for_sale_both_auction_private_treaty_detailedposition50price, for_sale_both_auction_private_treaty_detailedposition55price, for_sale_both_auction_private_treaty_detailedposition60price, for_sale_both_auction_private_treaty_detailedposition65price, for_sale_both_auction_private_treaty_detailedposition70price, for_sale_both_auction_private_treaty_detailedposition75price, for_sale_both_auction_private_treaty_detailedposition80price, for_sale_both_auction_private_treaty_detailedposition85price, for_sale_both_auction_private_treaty_detailedposition90price, for_sale_both_auction_private_treaty_detailedposition95price, for_sale_both_auction_private_treaty_detailedpricecalcreccount, for_sale_both_auction_private_treaty_eventcount, for_sale_both_auction_private_treaty_geometricmeanprice, for_sale_both_auction_private_treaty_maximumprice, for_sale_both_auction_private_treaty_medianprice, for_sale_both_auction_private_treaty_minimumprice, for_sale_both_auction_private_treaty_position25price, for_sale_both_auction_private_treaty_position75price, for_sale_both_auction_private_treaty_pricecalcreccount, for_sale_both_auction_private_treaty_standarddeviationprice, for_sale_both_auction_private_treaty_totalprice, gid, gross_rental_yield, sa32016id, sa32016name, sa32016pid, sold_both_auction_private_treaty_averageprice, sold_both_auction_private_treaty_detailedposition05price, sold_both_auction_private_treaty_detailedposition10price, sold_both_auction_private_treaty_detailedposition15price, sold_both_auction_private_treaty_detailedposition20price, sold_both_auction_private_treaty_detailedposition25price, sold_both_auction_private_treaty_detailedposition30price, sold_both_auction_private_treaty_detailedposition35price, sold_both_auction_private_treaty_detailedposition40price, sold_both_auction_private_treaty_detailedposition45price, sold_both_auction_private_treaty_detailedposition50price, sold_both_auction_private_treaty_detailedposition55price, sold_both_auction_private_treaty_detailedposition60price, sold_both_auction_private_treaty_detailedposition65price, sold_both_auction_private_treaty_detailedposition70price, sold_both_auction_private_treaty_detailedposition75price, sold_both_auction_private_treaty_detailedposition80price, sold_both_auction_private_treaty_detailedposition85price, sold_both_auction_private_treaty_detailedposition90price, sold_both_auction_private_treaty_detailedposition95price, sold_both_auction_private_treaty_detailedpricecalcreccount, sold_both_auction_private_treaty_eventcount, sold_both_auction_private_treaty_geometricmeanprice, sold_both_auction_private_treaty_maximumprice, sold_both_auction_private_treaty_medianprice, sold_both_auction_private_treaty_minimumprice, sold_both_auction_private_treaty_position25price, sold_both_auction_private_treaty_position75price, sold_both_auction_private_treaty_pricecalcreccount, sold_both_auction_private_treaty_standarddeviationprice, sold_both_auction_private_treaty_totalprice, sold_private_treaty_averagedaysonmarket, sold_private_treaty_averagediscount, sold_private_treaty_daysonmarketrecordcount, sold_private_treaty_discountrecordcount, state, feature_code, feature_name
5,2019,"House",20601,0.5396826,754,325,12,20,99,309,756,408,31,"31/05/2019",576.3554999999998,380,410,440,450,480,495,500,520,540,550,570,590,600,620,650,680,720,760,850,1989,1989,556.8255999999998,4250,550,10,480,650,1989,172.99140000000006,1146371,952761.2,460000,570000,650000,699300,750000,785000,815000,850000,880000,900000,940000,960000,995000,1050000,1100000,1180000,1265000,1350000,1575000,786,1100,886605.8,4000000,900000,20000,750000,1100000,786,365494.2,749000000,null,0.0310532,266,"Brunswick - Coburg","SA3_1620601",967484.8,555000,615000,670000,710000,760000,805000,840000,870000,890000,921000,950000,980000,1025000,1090000,1131000,1200000,1267000,1351800,1500000,881,884,920744.9,3125000,921000,265000,760000,1131000,881,314088.8,852000000,55,0.07122488000000003,433,111,"VIC","20601","Brunswick - Coburg"
5,2019,"House",20602,0.5515789000000001,474,218,14,8,52,210,475,262,18,"31/05/2019",619.2491,365,440,480,500,520,550,550,575,590,600,620,640,650,670,695,740,770,825,895,1168,1168,598.9028,1700,600,250,520,695,1168,162.0341,723283,1186672,540000,680000,750000,800000,850000,899000,950000,999000,1050000,1095000,1125000,1180000,1249000,1295000,1350000,1449500,1600000,1790000,2100000,511,699,1080714,6900000,1095000,300000,850000,1350000,511,610175.3,606000000,null,0.028171560000000005,267,"Darebin - South","SA3_1620602",1206688,610000,700000,770000,820000,863000,915000,980000,1035000,1080000,1105000,1150000,1225000,1297500,1340000,1421000,1510000,1650000,1825000,2200000,550,551,1124653,3050000,1107500,390000,863000,1421000,550,471497.5,664000000,47,0.06630995999999997,264,49,"VIC","20602","Darebin - South"
5,2019,"House",20603,0.5162393,576,268,14,9,60,242,585,302,35,"31/05/2019",565.6154,360,395,415,440,450,475,490,500,520,540,550,580,600,620,650,680,715,760,850,1282,1282,545.3801,1869,540,195,450,650,1282,160.1645,725119,1321416,470000,600000,720000,798000,835000,880000,950000,995000,1050000,1100000,1200000,1300000,1390000,1450000,1575000,1699000,1895250,2150000,2680000,611,861,1143640,12000000,1100000,165000,835000,1575000,611,880198.1,807000000,null,0.02379661,268,"Essendon","SA3_1620603",1278041,525000,645000,739000,815000,860000,920000,975000,1025000,1102000,1180000,1244000,1310000,1380000,1450000,1520000,1610000,1770000,1975000,2350000,653,656,1149137,7270000,1180000,193000,860000,1520000,653,671832,8.350000000000001E8,55,0.07171936,337,75,"VIC","20603","Essendon"
5,2019,"House",20604,0.6052632,306,111,10,9,34,150,304,184,13,"31/05/2019",669.5686,390,430,450,480,495,520,535,550,575,600,620,650,680,725,760,825,900,1000,1195,1428,1429,615.9067,4500,600,45,495,760,1428,307.175,956144,1272005,340000,415000,472500,529000,585000,680000,799000,850000,900000,985000,1075000,1195000,1285000,1350000,1437500,1550000,1900000,2450000,3600000,405,579,963607.2,9000000,985000,25000,585000,1437500,405,1112133,5.149999999999999E8,null,0.032755900000000004,269,"Melbourne City","SA3_1620604",1245645,473000,520000,570900,640000,720000,762000,820000,860000,910000,952500,1035700,1100000,1200000,1300000,1430000,1565000,1823000,2300000,3200000,421,423,1035628,6665000,952500,245000,720000,1430000,421,925687.6,524000000,61,0.07416252000000004,214,70,"VIC","20604","Melbourne City"
5,2019,"House",20605,0.5496183000000001,644,269,24,18,59,301,655,360,37,"31/05/2019",734.5249,370,420,460,495,525,550,590,620,650,675,700,745,770,800,850,920,995,1100,1300,1886,1886,680.9842,3000,675,138,525,850,1886,311.4392999999999,1385314,1532478,355000,415000,498750,590000,700000,829000,955000,1090000,1175000,1275000,1370000,1495000,1650000,1775000,1950000,2100000,2495000,2800000,3400000,687,1018,1180558,13000000,1275000,10000,700000,1950000,687,1277258,1050000000,null,0.02752941,270,"Port Phillip","SA3_1620605",1457989,450000,540000,617500,665000,817500,900000,995000,1087500,1195000,1275000,1370000,1475000,1600000,1690164,1810000,2005000,2250000,2625000,3150000,855,861,1222645,7500000,1275000,185000,817500,1810000,855,920653.4,1250000000,55,0.08822667000000003,400,121,"VIC","20605","Port Phillip"
5,2019,"House",20606,0.5472528,456,188,10,11,45,204,455,249,19,"31/05/2019",816.1991,390,430,475,515,550,590,610,640,660,700,730,750,800,860,910,995,1150,1300,1700,1366,1366,732.0005,4606,700,230,550,910,1366,453.2754,1114928,2765974,385000,480000,560000,650000,850000,1050000,1200000,1450000,1575000,1750000,1995000,2290000,2595000,2895000,3350000,4100000,5000000,6400000,9000000,617,869,1750715,2.8299999999999996E7,1750000,30000,850000,3350000,617,3048927,1.7100000000000002E9,null,0.02348387,271,"Stonnington - West","SA3_1620606",2270349,510000,590000,680000,830100,975000,1110000,1265000,1375000,1435000,1550000,1682000,1850000,2017500,2311865,2660000,3065000,3585000,4600000,6350000,668,682,1643037,2.3899999999999996E7,1550000,320000,975000,2660000,668,2372119,1520000000,80,0.08203558000000002,346,98,"VIC","20606","Stonnington - West"
5,2019,"House",20607,0.5669065,703,282,13,14,60,334,695,394,32,"31/05/2019",713.3318999999998,450,500,530,550,580,595,610,630,650,670,695,715,750,770,800,850,900,975,1100,2332,2332,685.8984,2600,670,250,580,800,2332,216.61599999999999,1663490,1327005,499000,678300,810000,880000,925000,969000,1020000,1100000,1175000,1216950,1295000,1350000,1450000,1500000,1600000,1695000,1850000,2000000,2467500,627,974,1188700,6000000,1216950,92000,925000,1600000,627,650292,832000000,null,0.02844082,272,"Yarra","SA3_1620607",1310934,590000,705000,790000,861500,910000,967000,1030000,1087000,1167000,1225000,1282500,1330000,1400000,1457000,1532500,1635000,1760000,2010000,2250000,821,824,1195773,13300000,1225000,290000,910000,1532500,821,699692.3,1080000000,61,0.08156183,363,96,"VIC","20607","Yarra"
5,2019,"House",20701,0.5051975000000001,1445,654,38,34,146,583,1443,729,73,"31/05/2019",780.6292,400,450,480,500,540,570,600,630,665,700,750,780,815,850,900,980,1095,1200,1480,2578,2578,718.2321,4000,700,215,540,900,2578,358.5725,2012462,2223704,550000,840000,1140000,1300000,1400000,1500000,1590000,1680000,1775000,1856000,1995000,2100000,2250000,2400000,2595000,2850000,3200000,3850000,4725000,1692,2420,1815851,40000000,1857500,30000,1400000,2595000,1692,1774653,3760000000,null,0.020740739999999994,273,"Boroondara","SA3_1620701",2051665,660000,905500,1130000,1260000,1360000,1425000,1500000,1590000,1675000,1755000,1850000,1970000,2090000,2230000,2400000,2625000,2950000,3542500,4350000,1698,1717,1779769,14000000,1755000,292000,1360000,2400000,1698,1235774,3480000000,62,0.11385619999999998,1013,225,"VIC","20701","Boroondara"
5,2019,"House",20702,0.4273256000000001,659,360,18,22,62,232,688,294,41,"31/05/2019",575.3339,390,415,430,450,465,480,500,520,530,550,570,590,600,630,650,690,720,750,850,1818,1818,556.4014,2200,550,50,465,650,1818,159.99030000000005,1045957,1277308,720000,820000,890000,910000,950000,998000,1050000,1099900,1100000,1180000,1200000,1250000,1297500,1350000,1400000,1475847,1550000,1750000,2200000,1362,1688,1180422,14500000,1180000,122900,950000,1400000,1362,683600.3,1.7400000000000002E9,null,0.025309730000000006,274,"Manningham - West","SA3_1620702",1206006,730000,825000,887500,920000,955000,995000,1030000,1065000,1093000,1130000,1170000,1200000,1235000,1275000,1320000,1388000,1488000,1620000,1940000,958,966,1148160,5700000,1130000,332500,955000,1320000,958,436921.1,1.1600000000000002E9,77,0.12265160000000004,626,186,"VIC","20702","Manningham - West"
5,2019,"House",20703,0.5399768,857,371,17,17,88,378,863,466,47,"31/05/2019",527.2258,350,385,400,415,430,440,450,460,480,495,510,530,550,580,600,640,680,720,800,1749,1749,506.0868,1600,495,133,430,600,1749,154.564,922118,1244160,640000,750000,800000,860000,899999,930000,960000,1000000,1050000,1100000,1150000,1200000,1250000,1349000,1450000,1574000,1699000,1890000,2300000,1071,1515,1132460,7800000,1100000,45000,899999,1450000,1071,617877,1330000000,null,0.02444444,275,"Whitehorse - West","SA3_1620703",1187053,680000,750000,815000,853000,891000,923000,950000,985000,1018100,1053000,1100000,1160000,1215000,1280000,1365000,1450000,1600000,1750000,2020000,1053,1062,1110871,6800000,1053000,302000,891000,1365000,1053,498627.1,1250000000,64,0.09965784999999998,653,148,"VIC","20703","Whitehorse - West"
