datemonth, dateyear, propertycategorisation, sa32016code, auction_activity_auctionclearancerate, auction_activity_auctionlistedcount, auction_activity_auctionnotsoldcount, auction_activity_auctionpostponedcount, auction_activity_auctionsoldaftercount, auction_activity_auctionsoldpriorcount, auction_activity_auctionsoldunderhammercount, auction_activity_auctiontotalreported, auction_activity_auctiontotalsold, auction_activity_auctionwithdrawncount, enddate, for_rent_home_lease_averageprice, for_rent_home_lease_detailedposition05price, for_rent_home_lease_detailedposition10price, for_rent_home_lease_detailedposition15price, for_rent_home_lease_detailedposition20price, for_rent_home_lease_detailedposition25price, for_rent_home_lease_detailedposition30price, for_rent_home_lease_detailedposition35price, for_rent_home_lease_detailedposition40price, for_rent_home_lease_detailedposition45price, for_rent_home_lease_detailedposition50price, for_rent_home_lease_detailedposition55price, for_rent_home_lease_detailedposition60price, for_rent_home_lease_detailedposition65price, for_rent_home_lease_detailedposition70price, for_rent_home_lease_detailedposition75price, for_rent_home_lease_detailedposition80price, for_rent_home_lease_detailedposition85price, for_rent_home_lease_detailedposition90price, for_rent_home_lease_detailedposition95price, for_rent_home_lease_detailedpricecalcreccount, for_rent_home_lease_eventcount, for_rent_home_lease_geometricmeanprice, for_rent_home_lease_maximumprice, for_rent_home_lease_medianprice, for_rent_home_lease_minimumprice, for_rent_home_lease_position25price, for_rent_home_lease_position75price, for_rent_home_lease_pricecalcreccount, for_rent_home_lease_standarddeviationprice, for_rent_home_lease_totalprice, for_sale_both_auction_private_treaty_averageprice, for_sale_both_auction_private_treaty_detailedposition05price, for_sale_both_auction_private_treaty_detailedposition10price, for_sale_both_auction_private_treaty_detailedposition15price, for_sale_both_auction_private_treaty_detailedposition20price, for_sale_both_auction_private_treaty_detailedposition25price, for_sale_both_auction_private_treaty_detailedposition30price, for_sale_both_auction_private_treaty_detailedposition35price, for_sale_both_auction_private_treaty_detailedposition40price, for_sale_both_auction_private_treaty_detailedposition45price, for_sale_both_auction_private_treaty_detailedposition50price, for_sale_both_auction_private_treaty_detailedposition55price, for_sale_both_auction_private_treaty_detailedposition60price, for_sale_both_auction_private_treaty_detailedposition65price, for_sale_both_auction_private_treaty_detailedposition70price, for_sale_both_auction_private_treaty_detailedposition75price, for_sale_both_auction_private_treaty_detailedposition80price, for_sale_both_auction_private_treaty_detailedposition85price, for_sale_both_auction_private_treaty_detailedposition90price, for_sale_both_auction_private_treaty_detailedposition95price, for_sale_both_auction_private_treaty_detailedpricecalcreccount, for_sale_both_auction_private_treaty_eventcount, for_sale_both_auction_private_treaty_geometricmeanprice, for_sale_both_auction_private_treaty_maximumprice, for_sale_both_auction_private_treaty_medianprice, for_sale_both_auction_private_treaty_minimumprice, for_sale_both_auction_private_treaty_position25price, for_sale_both_auction_private_treaty_position75price, for_sale_both_auction_private_treaty_pricecalcreccount, for_sale_both_auction_private_treaty_standarddeviationprice, for_sale_both_auction_private_treaty_totalprice, gid, gross_rental_yield, sa32016id, sa32016name, sa32016pid, sold_both_auction_private_treaty_averageprice, sold_both_auction_private_treaty_detailedposition05price, sold_both_auction_private_treaty_detailedposition10price, sold_both_auction_private_treaty_detailedposition15price, sold_both_auction_private_treaty_detailedposition20price, sold_both_auction_private_treaty_detailedposition25price, sold_both_auction_private_treaty_detailedposition30price, sold_both_auction_private_treaty_detailedposition35price, sold_both_auction_private_treaty_detailedposition40price, sold_both_auction_private_treaty_detailedposition45price, sold_both_auction_private_treaty_detailedposition50price, sold_both_auction_private_treaty_detailedposition55price, sold_both_auction_private_treaty_detailedposition60price, sold_both_auction_private_treaty_detailedposition65price, sold_both_auction_private_treaty_detailedposition70price, sold_both_auction_private_treaty_detailedposition75price, sold_both_auction_private_treaty_detailedposition80price, sold_both_auction_private_treaty_detailedposition85price, sold_both_auction_private_treaty_detailedposition90price, sold_both_auction_private_treaty_detailedposition95price, sold_both_auction_private_treaty_detailedpricecalcreccount, sold_both_auction_private_treaty_eventcount, sold_both_auction_private_treaty_geometricmeanprice, sold_both_auction_private_treaty_maximumprice, sold_both_auction_private_treaty_medianprice, sold_both_auction_private_treaty_minimumprice, sold_both_auction_private_treaty_position25price, sold_both_auction_private_treaty_position75price, sold_both_auction_private_treaty_pricecalcreccount, sold_both_auction_private_treaty_standarddeviationprice, sold_both_auction_private_treaty_totalprice, sold_private_treaty_averagedaysonmarket, sold_private_treaty_averagediscount, sold_private_treaty_daysonmarketrecordcount, sold_private_treaty_discountrecordcount, state, feature_code, feature_name
11,2019,"House",20601,0.6360809000000003,644,217,14,11,89,320,643,409,29,"30/11/2019",579.0092,380,420,450,460,480,500,510,525,540,550,565,590,600,620,650,680,720,750,850,1971,1971,560.5649,4250,550,250,480,650,1971,172.87959999999998,1141227,966548.2,500000,589000,670000,700000,755000,780000,820000,850000,875000,899000,950000,975000,1000000,1090000,1120000,1195000,1280000,1370000,1595000,623,966,907712.8,3200000,899000,100000,755000,1120000,623,358218.2,602000000,null,0.03026455,266,"Brunswick - Coburg","SA3_1620601",1005187,589000,670000,715000,765000,800000,825000,850000,880000,918000,945000,975000,1010000,1050000,1105000,1170000,1240000,1303000,1390000,1595000,787,791,958846.8,3150000,945000,278000,800000,1170000,787,329298.6,791000000,69,0.0699809,354,86,"VIC","20601","Brunswick - Coburg"
11,2019,"House",20602,0.6441859999999999,423,151,13,4,59,218,430,277,17,"30/11/2019",623.2279,365,440,480,500,520,550,550,570,590,600,620,645,650,675,700,750,780,850,900,1097,1097,601.8667999999998,1500,600,250,520,700,1097,165.86830000000006,683681,1226556,650000,750000,820000,875000,900000,950000,995000,1049000,1100000,1125000,1150000,1200000,1250000,1300000,1400000,1546125,1665000,1850000,2200000,448,648,1140410,4000000,1127500,290000,900000,1400000,448,500220.3,549000000,null,0.02644068,267,"Darebin - South","SA3_1620602",1276803,712000,799000,845000,910000,975000,1020000,1061500,1100000,1150000,1180000,1241000,1300000,1338600,1403000,1477000,1570000,1680000,1840000,2150000,547,547,1201866,4465000,1180000,305000,975000,1477000,547,472664,698000000,87,0.07197843,251,65,"VIC","20602","Darebin - South"
11,2019,"House",20603,0.6222222000000002,493,177,8,6,80,228,495,308,30,"30/11/2019",563.9734000000002,355,395,415,435,450,470,490,500,520,545,550,580,600,620,650,680,710,750,850,1315,1315,543.4621999999996,1600,545,195,450,650,1315,160.7954,741625,1342774,509250,650000,750000,825000,880000,935000,970000,1000000,1100000,1160000,1225000,1300000,1400000,1450000,1572500,1695000,1850000,2200000,2690000,498,768,1175838,7000000,1160000,260000,880000,1572500,498,819399.1,669000000,null,0.024431030000000006,268,"Essendon","SA3_1620603",1257360,590000,711000,794800,850500,905000,960000,995000,1050000,1100000,1160000,1200000,1280000,1340000,1400000,1485000,1560000,1665000,1800000,2150000,607,609,1153364,6500000,1160000,292000,905000,1485000,607,608586.3,763000000,74,0.06978453000000003,300,68,"VIC","20603","Essendon"
11,2019,"House",20604,0.6352941000000002,255,84,8,8,28,134,255,162,16,"30/11/2019",672.2206,380,430,460,480,500,520,550,560,580,600,620,650,680,720,750,820,900,995,1200,1387,1388,616.8322999999997,4500,600,40,500,750,1387,315.3015,932370,1344652,310000,419000,495000,537000,630000,750000,820000,900000,990000,1025000,1150000,1270000,1345000,1370000,1500000,1699000,2062500,2595000,3650000,327,488,997108.6,11000000,1025000,25000,630000,1500000,327,1218565,4.4000000000000006E8,null,0.028755760000000005,269,"Melbourne City","SA3_1620604",1497125,515000,610000,722500,756000,816750,850000,895000,945000,1013000,1085000,1182000,1275000,1317000,1405000,1518000,1786000,2030000,2775000,3700000,349,351,1180644,36000000,1085000,254888,816750,1518000,349,2108400,522000000,59,0.08266356000000002,161,44,"VIC","20604","Melbourne City"
11,2019,"House",20605,0.5706984000000004,580,222,23,21,53,282,587,335,36,"30/11/2019",754.7116,370,420,460,500,535,565,600,635,650,695,725,750,795,830,880,950,1025,1175,1370,1862,1862,696.0211999999998,3000,695,173,535,880,1862,331.1485,1405273,1743443,365000,459000,620000,799000,945000,1044750,1150000,1275000,1350000,1450000,1550000,1690000,1800000,1950000,2195000,2490000,2775000,3050000,3800000,590,917,1361026,13000000,1450000,10000,945000,2195000,590,1356336,1030000000,null,0.025361400000000013,270,"Port Phillip","SA3_1620605",1672798,539000,651500,807000,900000,1000000,1100000,1200000,1258000,1325000,1425000,1540000,1625000,1725000,1820000,2000000,2240000,2550000,2810000,3400000,763,771,1412447,12500000,1425000,191000,1000000,2000000,763,1125656,1280000000,64,0.08677531000000002,359,96,"VIC","20605","Port Phillip"
11,2019,"House",20606,0.5931232,347,129,10,13,30,177,349,207,13,"30/11/2019",823.615,400,450,490,520,555,595,620,650,680,700,750,775,800,875,920,1000,1150,1300,1600,1361,1361,740.563,6000,700,230,555,920,1361,466.0832,1120940,3467792,407500,580000,715000,1050000,1200000,1450000,1600000,1800000,2100000,2365000,2550000,2875000,3230000,3820000,4500000,5000000,6300000,7950000,11000000,511,737,2250332,27000000,2365000,30000,1200000,4500000,511,3522673,1.7700000000000002E9,null,0.021586360000000006,271,"Stonnington - West","SA3_1620606",2395713,620000,810000,960000,1125000,1210000,1295000,1368000,1465000,1550000,1682500,1825000,1968000,2210000,2500000,2810000,3250000,3800000,4700000,6460000,534,544,1841964,19000000,1686250,335000,1210000,2810000,534,2167646,1280000000,74,0.09252089999999998,274,74,"VIC","20606","Stonnington - West"
11,2019,"House",20607,0.6634769,623,196,10,12,60,356,627,416,26,"30/11/2019",709.7473,450,500,530,550,575,595,615,630,650,670,690,700,750,760,800,850,895,950,1100,2370,2370,682.2714000000002,2600,670,182,575,800,2370,217.5928,1682101,1370628,520000,770000,850000,899000,950000,995000,1050000,1120000,1190000,1239000,1300000,1350000,1450000,1500000,1600000,1700000,1900000,2100000,2600000,478,853,1219950,7750000,1239500,100000,950000,1600000,478,731010.1,655000000,null,0.02706019,272,"Yarra","SA3_1620607",1383987,750000,850000,910000,955000,1000000,1070000,1110000,1175000,1228000,1287500,1333000,1395000,1450000,1524400,1610000,1720000,1866000,2100000,2400000,731,735,1292263,4625000,1287500,335000,1000000,1610000,731,551308.8,1010000000,70,0.09092915,326,70,"VIC","20607","Yarra"
11,2019,"House",20701,0.6551180999999999,1267,391,23,31,167,665,1270,832,52,"30/11/2019",780.6874,400,450,485,510,550,575,600,640,670,700,750,780,800,850,900,980,1099,1200,1495,2454,2455,717.6531,4500,700,200,550,900,2454,362.2292,1915807,2435789,800000,1132500,1300000,1400000,1500000,1595000,1695000,1790000,1890000,1995000,2100000,2280000,2400000,2540000,2790000,3000000,3500000,4100000,5250000,1428,2297,2011142,40000000,1995000,1325,1500000,2790000,1428,1923768,3480000000,null,0.01976113000000001,273,"Boroondara","SA3_1620701",2138158,855000,1125000,1255000,1370000,1460000,1525000,1604000,1675000,1750000,1842000,1950000,2030000,2175000,2350000,2500000,2700000,3000000,3500000,4355000,1757,1779,1901524,10200000,1842000,252000,1460000,2500000,1757,1165890,3760000000,73,0.10717950000000002,942,182,"VIC","20701","Boroondara"
11,2019,"House",20702,0.6389685,679,210,20,24,113,333,698,446,40,"30/11/2019",576.09,395,420,440,450,470,490,500,520,540,550,570,590,600,630,650,690,700,750,830,1767,1767,559.0524999999998,2200,550,98,470,650,1767,150.20979999999994,1017951,1266846,745800,825000,880000,900000,950000,980000,1000000,1080000,1100000,1150000,1193750,1218000,1280000,1300000,1380000,1465000,1550000,1750000,2200000,1235,1708,1175397,14500000,1150000,345000,950000,1380000,1235,674988.9,1560000000,null,0.024978170000000008,274,"Manningham - West","SA3_1620702",1195954,750000,846000,895000,931000,960000,1000000,1041000,1075000,1100000,1145000,1180000,1200000,1232000,1280000,1320000,1380000,1440000,1600000,1880000,1122,1131,1148991,3400000,1145000,406000,960000,1320000,1122,369375.8,1340000000,97,0.10938650000000003,664,203,"VIC","20702","Manningham - West"
11,2019,"House",20703,0.7058126,833,227,25,18,94,501,843,595,36,"30/11/2019",533.2034000000002,360,390,400,420,430,450,450,470,485,500,520,540,560,590,600,650,680,720,795,1814,1814,512.5674999999998,1800,500,140,430,600,1814,156.5759,967231,1246475,670000,775000,820000,870000,900000,950000,980000,1010000,1070000,1102500,1175000,1200000,1250000,1320000,1400000,1580000,1699000,1850000,2300000,893,1499,1143541,5000000,1102500,100000,900000,1400000,893,567963,1110000000,null,0.02350814,275,"Whitehorse - West","SA3_1620703",1212826,720100,804000,860000,900000,931000,965000,999500,1030000,1071000,1106000,1155000,1202000,1269000,1315000,1389000,1500000,1615000,1750000,1980000,1138,1143,1149843,3860000,1106000,285000,931000,1389000,1138,426133.8,1380000000,74,0.09895179,570,127,"VIC","20703","Whitehorse - West"
