datemonth, dateyear, propertycategorisation, sa32016code, auction_activity_auctionclearancerate, auction_activity_auctionlistedcount, auction_activity_auctionnotsoldcount, auction_activity_auctionpostponedcount, auction_activity_auctionsoldaftercount, auction_activity_auctionsoldpriorcount, auction_activity_auctionsoldunderhammercount, auction_activity_auctiontotalreported, auction_activity_auctiontotalsold, auction_activity_auctionwithdrawncount, enddate, for_rent_home_lease_averageprice, for_rent_home_lease_detailedposition05price, for_rent_home_lease_detailedposition10price, for_rent_home_lease_detailedposition15price, for_rent_home_lease_detailedposition20price, for_rent_home_lease_detailedposition25price, for_rent_home_lease_detailedposition30price, for_rent_home_lease_detailedposition35price, for_rent_home_lease_detailedposition40price, for_rent_home_lease_detailedposition45price, for_rent_home_lease_detailedposition50price, for_rent_home_lease_detailedposition55price, for_rent_home_lease_detailedposition60price, for_rent_home_lease_detailedposition65price, for_rent_home_lease_detailedposition70price, for_rent_home_lease_detailedposition75price, for_rent_home_lease_detailedposition80price, for_rent_home_lease_detailedposition85price, for_rent_home_lease_detailedposition90price, for_rent_home_lease_detailedposition95price, for_rent_home_lease_detailedpricecalcreccount, for_rent_home_lease_eventcount, for_rent_home_lease_geometricmeanprice, for_rent_home_lease_maximumprice, for_rent_home_lease_medianprice, for_rent_home_lease_minimumprice, for_rent_home_lease_position25price, for_rent_home_lease_position75price, for_rent_home_lease_pricecalcreccount, for_rent_home_lease_standarddeviationprice, for_rent_home_lease_totalprice, for_sale_both_auction_private_treaty_averageprice, for_sale_both_auction_private_treaty_detailedposition05price, for_sale_both_auction_private_treaty_detailedposition10price, for_sale_both_auction_private_treaty_detailedposition15price, for_sale_both_auction_private_treaty_detailedposition20price, for_sale_both_auction_private_treaty_detailedposition25price, for_sale_both_auction_private_treaty_detailedposition30price, for_sale_both_auction_private_treaty_detailedposition35price, for_sale_both_auction_private_treaty_detailedposition40price, for_sale_both_auction_private_treaty_detailedposition45price, for_sale_both_auction_private_treaty_detailedposition50price, for_sale_both_auction_private_treaty_detailedposition55price, for_sale_both_auction_private_treaty_detailedposition60price, for_sale_both_auction_private_treaty_detailedposition65price, for_sale_both_auction_private_treaty_detailedposition70price, for_sale_both_auction_private_treaty_detailedposition75price, for_sale_both_auction_private_treaty_detailedposition80price, for_sale_both_auction_private_treaty_detailedposition85price, for_sale_both_auction_private_treaty_detailedposition90price, for_sale_both_auction_private_treaty_detailedposition95price, for_sale_both_auction_private_treaty_detailedpricecalcreccount, for_sale_both_auction_private_treaty_eventcount, for_sale_both_auction_private_treaty_geometricmeanprice, for_sale_both_auction_private_treaty_maximumprice, for_sale_both_auction_private_treaty_medianprice, for_sale_both_auction_private_treaty_minimumprice, for_sale_both_auction_private_treaty_position25price, for_sale_both_auction_private_treaty_position75price, for_sale_both_auction_private_treaty_pricecalcreccount, for_sale_both_auction_private_treaty_standarddeviationprice, for_sale_both_auction_private_treaty_totalprice, gid, gross_rental_yield, sa32016id, sa32016name, sa32016pid, sold_both_auction_private_treaty_averageprice, sold_both_auction_private_treaty_detailedposition05price, sold_both_auction_private_treaty_detailedposition10price, sold_both_auction_private_treaty_detailedposition15price, sold_both_auction_private_treaty_detailedposition20price, sold_both_auction_private_treaty_detailedposition25price, sold_both_auction_private_treaty_detailedposition30price, sold_both_auction_private_treaty_detailedposition35price, sold_both_auction_private_treaty_detailedposition40price, sold_both_auction_private_treaty_detailedposition45price, sold_both_auction_private_treaty_detailedposition50price, sold_both_auction_private_treaty_detailedposition55price, sold_both_auction_private_treaty_detailedposition60price, sold_both_auction_private_treaty_detailedposition65price, sold_both_auction_private_treaty_detailedposition70price, sold_both_auction_private_treaty_detailedposition75price, sold_both_auction_private_treaty_detailedposition80price, sold_both_auction_private_treaty_detailedposition85price, sold_both_auction_private_treaty_detailedposition90price, sold_both_auction_private_treaty_detailedposition95price, sold_both_auction_private_treaty_detailedpricecalcreccount, sold_both_auction_private_treaty_eventcount, sold_both_auction_private_treaty_geometricmeanprice, sold_both_auction_private_treaty_maximumprice, sold_both_auction_private_treaty_medianprice, sold_both_auction_private_treaty_minimumprice, sold_both_auction_private_treaty_position25price, sold_both_auction_private_treaty_position75price, sold_both_auction_private_treaty_pricecalcreccount, sold_both_auction_private_treaty_standarddeviationprice, sold_both_auction_private_treaty_totalprice, sold_private_treaty_averagedaysonmarket, sold_private_treaty_averagediscount, sold_private_treaty_daysonmarketrecordcount, sold_private_treaty_discountrecordcount, state, feature_code, feature_name
9,2019,"House",20601,0.5817378999999998,675,263,16,13,85,310,679,395,33,"30/09/2019",576.5424999999998,380,420,440,460,480,500,510,520,540,550,560,590,600,620,650,680,710,750,850,1974,1974,558.2509,4250,550,250,480,650,1974,171.43140000000005,1138095,965496.8,500000,589000,660000,700000,750000,780000,810000,850000,879000,899000,950000,975000,1000000,1065000,1110000,1200000,1290000,1370000,1600000,667,991,901139.6,4000000,899000,100000,750000,1110000,667,375093.2,644000000,null,0.03075269,266,"Brunswick - Coburg","SA3_1620601",976413.7,581000,643000,692500,740000,780000,810000,830000,860000,890000,930000,950123,985000,1020000,1080000,1130000,1200000,1261000,1350000,1475000,810,813,932604,3025000,930000,265000,780000,1130000,810,310603.4,791000000,64,0.06847934,373,99,"VIC","20601","Brunswick - Coburg"
9,2019,"House",20602,0.5733634,432,190,14,7,51,203,443,254,17,"30/09/2019",621.0961,365,430,480,500,520,545,550,570,590,600,620,640,650,675,700,745,770,850,900,1114,1114,600.0043000000002,1500,600,250,520,700,1114,164.49230000000006,691901,1225947,600000,720000,795000,829000,880000,939000,960000,1020000,1080000,1100000,1150000,1200000,1250000,1300000,1390000,1500000,1650000,1850000,2200000,480,649,1122824,6900000,1100000,290000,880000,1390000,480,614852.6,588000000,null,0.02713043,267,"Darebin - South","SA3_1620602",1237512,640000,750000,810000,860000,910000,967500,1020000,1075000,1100000,1150000,1200000,1270000,1305000,1351000,1450000,1550000,1670000,1828000,2150000,553,555,1158399,4465000,1150000,323000,910000,1450000,553,476383.9,684000000,72,0.06433515000000002,271,65,"VIC","20602","Darebin - South"
9,2019,"House",20603,0.5239043999999997,498,227,12,8,66,197,502,263,31,"30/09/2019",561.6265,360,395,415,430,450,470,490,500,510,530,550,570,595,610,650,675,710,760,850,1285,1285,541.5156,1600,530,195,450,650,1285,159.87,721690,1350999,472500,625000,730000,800000,869000,910000,966000,1000000,1090000,1169000,1250000,1350000,1400000,1486000,1572500,1690000,1870000,2200000,2690000,542,773,1168780,12000000,1169500,260000,869000,1572500,542,923567.4,7.319999999999999E8,null,0.023355930000000014,268,"Essendon","SA3_1620603",1280122,568000,688000,778000,835000,880000,946000,990000,1050000,1120000,1180000,1230000,1300000,1350000,1410000,1490000,1580000,1725000,1880000,2210000,589,591,1160149,6850000,1180000,292000,880000,1490000,589,680914.4,754000000,65,0.06972422000000006,327,72,"VIC","20603","Essendon"
9,2019,"House",20604,0.6037037000000002,269,97,9,10,29,134,270,163,13,"30/09/2019",669.9060000000001,390,440,465,485,500,520,550,560,580,600,625,650,680,720,750,810,890,990,1150,1383,1383,617.6024,4500,600,40,500,750,1383,307.9799999999999,926480,1355936,280000,410000,475000,530000,600000,699995,795000,865000,945000,1000000,1095000,1250000,1300000,1370000,1485000,1775000,2062500,2650000,3700000,336,495,983918.4,11000000,1000000,25000,600000,1485000,336,1319104,4.559999999999999E8,null,0.031699260000000014,269,"Melbourne City","SA3_1620604",1398282,500000,535000,635000,720000,760000,815000,841000,870000,930000,983500,1070000,1170000,1260000,1325000,1415000,1620000,1905000,2300000,3500000,358,362,1092426,36000000,984250,265000,760000,1415000,358,2088071,501000000,59,0.07287352000000002,171,50,"VIC","20604","Melbourne City"
9,2019,"House",20605,0.5645695,588,237,21,18,50,291,604,341,38,"30/09/2019",732.0135,365,410,450,495,525,550,590,615,650,675,700,750,780,810,850,920,995,1100,1300,1848,1848,678.7108000000002,3000,675,138,525,850,1848,305.7974,1352761,1617622,350000,430000,549000,680000,825000,950000,1022438,1139000,1250000,1330000,1450000,1565000,1700000,1850000,2000000,2365000,2679000,2900000,3595000,625,937,1252384,13000000,1330000,10000,825000,2000000,625,1292955,1010000000,null,0.027209300000000002,270,"Port Phillip","SA3_1620605",1520305,467000,585000,650000,750000,865000,945000,1030000,1150000,1210000,1290000,1375000,1488000,1610000,1701000,1825000,2000000,2375000,2670000,3250000,799,804,1269613,12500000,1290000,185000,865000,1825000,799,1046148,1210000000,60,0.08735834999999997,376,109,"VIC","20605","Port Phillip"
9,2019,"House",20606,0.5771276000000002,370,147,7,11,36,181,376,217,15,"30/09/2019",814.2552,400,450,490,520,560,595,620,650,670,700,730,750,800,860,900,995,1100,1300,1600,1348,1348,734.3355999999998,6000,700,230,560,900,1348,452.7521,1097616,3083707,389000,495000,599000,839000,1075000,1235000,1450000,1595000,1837500,2100000,2395000,2600000,2875000,3230000,4000000,4800000,5995000,7000000,9200000,554,785,1988596,27000000,2100000,30000,1075000,4000000,554,3208499,1.7100000000000002E9,null,0.022496910000000005,271,"Stonnington - West","SA3_1620606",2370986,540500,655000,835000,980800,1134000,1240000,1350000,1420000,1510000,1618000,1800000,1930000,2150000,2445000,2750000,3120000,3750000,4700000,6560000,595,604,1756840,2.3899999999999996E7,1618000,320000,1134000,2750000,595,2372985,1410000000,78,0.09397658,309,87,"VIC","20606","Stonnington - West"
9,2019,"House",20607,0.6137071999999999,642,231,12,17,54,340,642,394,25,"30/09/2019",713.0013,450,500,530,550,580,600,620,635,650,670,695,700,750,760,800,850,900,975,1100,2338,2338,685.581,2600,670,250,580,800,2338,219.0634,1666997,1344824,535000,718000,825000,885000,940000,970000,1020000,1100000,1159000,1215000,1290000,1329000,1400000,1495000,1550000,1650000,1820000,2000000,2495000,539,887,1194189,15000000,1215000,115000,940000,1550000,539,864841.8,725000000,null,0.027871999999999997,272,"Yarra","SA3_1620607",1339167,670000,795000,860000,915000,965000,1010000,1070000,1120000,1190000,1250000,1300000,1350000,1410000,1470000,1550000,1650000,1785000,2050000,2375000,754,755,1241213,4625000,1250000,335000,965000,1550000,754,567485.3,1010000000,66,0.08948302999999998,343,76,"VIC","20607","Yarra"
9,2019,"House",20701,0.5747218000000005,1253,479,30,34,150,573,1258,723,62,"30/09/2019",782.1893000000002,400,450,485,510,550,575,600,640,675,700,750,785,820,850,900,980,1100,1200,1490,2477,2477,719.3375999999996,4000,700,200,550,900,2477,356.7175,1937483,2356829,700000,1050000,1250000,1350000,1450000,1545990,1600000,1700000,1800000,1900000,2049000,2200000,2310000,2495000,2700000,2950000,3400000,4000000,5250000,1488,2235,1933037,40000000,1900000,4400,1450000,2700000,1488,1893686,3510000000,null,0.02062323,273,"Boroondara","SA3_1620701",2080229,752500,1020000,1210000,1300000,1400000,1470000,1535000,1620000,1700000,1765000,1875000,1975000,2100000,2250000,2400000,2588000,2900000,3500000,4355000,1663,1680,1822705,14000000,1765000,252000,1400000,2400000,1663,1234850,3460000000,67,0.10969680000000007,956,194,"VIC","20701","Boroondara"
9,2019,"House",20702,0.5371776,628,272,16,20,83,271,659,354,42,"30/09/2019",574.5305,390,420,430,450,470,490,500,520,540,550,570,590,600,630,650,680,700,750,840,1772,1772,557.2940000000002,2200,550,98,470,650,1772,152.12730000000005,1018068,1279146,750000,829500,885000,900000,950000,988000,1000000,1080000,1100000,1150000,1200000,1250000,1290000,1330000,1400000,1480000,1575750,1750000,2250000,1256,1633,1184469,14500000,1150000,345000,950000,1400000,1256,692301.1,1610000000,null,0.025789,274,"Manningham - West","SA3_1620702",1184279,740000,838000,883000,920000,950000,978000,1011000,1050000,1080000,1108000,1150000,1183000,1220000,1260000,1305000,1366500,1430000,1575000,1870000,1050,1058,1134209,4000000,1109000,406000,950000,1305000,1050,389600.6,1240000000,85,0.11660110000000003,676,207,"VIC","20702","Manningham - West"
9,2019,"House",20703,0.6093144,757,289,20,16,80,391,773,471,37,"30/09/2019",530.2364,355,390,400,420,430,450,450,470,485,500,520,535,550,580,600,640,680,720,795,1764,1764,509.6591,1650,500,133,430,600,1764,154.2703,935337,1264345,640000,750000,800000,850000,899500,940000,977000,1000000,1050000,1100000,1180000,1200000,1280000,1350000,1450000,1590000,1725000,1900000,2350000,947,1405,1140497,13000000,1100000,45000,899500,1450000,947,711087.4,1200000000,null,0.024528300000000006,275,"Whitehorse - West","SA3_1620703",1174522,685000,755000,825000,868000,900000,930000,956128,995000,1028000,1060000,1108880,1160000,1215000,1280888,1350500,1438000,1560000,1695000,1950000,1013,1020,1110156,3700000,1060000,305000,900000,1350500,1013,428661,1.1900000000000002E9,71,0.09757232,560,135,"VIC","20703","Whitehorse - West"
