datemonth, dateyear, propertycategorisation, sa32016code, auction_activity_auctionclearancerate, auction_activity_auctionlistedcount, auction_activity_auctionnotsoldcount, auction_activity_auctionpostponedcount, auction_activity_auctionsoldaftercount, auction_activity_auctionsoldpriorcount, auction_activity_auctionsoldunderhammercount, auction_activity_auctiontotalreported, auction_activity_auctiontotalsold, auction_activity_auctionwithdrawncount, enddate, for_rent_home_lease_averageprice, for_rent_home_lease_detailedposition05price, for_rent_home_lease_detailedposition10price, for_rent_home_lease_detailedposition15price, for_rent_home_lease_detailedposition20price, for_rent_home_lease_detailedposition25price, for_rent_home_lease_detailedposition30price, for_rent_home_lease_detailedposition35price, for_rent_home_lease_detailedposition40price, for_rent_home_lease_detailedposition45price, for_rent_home_lease_detailedposition50price, for_rent_home_lease_detailedposition55price, for_rent_home_lease_detailedposition60price, for_rent_home_lease_detailedposition65price, for_rent_home_lease_detailedposition70price, for_rent_home_lease_detailedposition75price, for_rent_home_lease_detailedposition80price, for_rent_home_lease_detailedposition85price, for_rent_home_lease_detailedposition90price, for_rent_home_lease_detailedposition95price, for_rent_home_lease_detailedpricecalcreccount, for_rent_home_lease_eventcount, for_rent_home_lease_geometricmeanprice, for_rent_home_lease_maximumprice, for_rent_home_lease_medianprice, for_rent_home_lease_minimumprice, for_rent_home_lease_position25price, for_rent_home_lease_position75price, for_rent_home_lease_pricecalcreccount, for_rent_home_lease_standarddeviationprice, for_rent_home_lease_totalprice, for_sale_both_auction_private_treaty_averageprice, for_sale_both_auction_private_treaty_detailedposition05price, for_sale_both_auction_private_treaty_detailedposition10price, for_sale_both_auction_private_treaty_detailedposition15price, for_sale_both_auction_private_treaty_detailedposition20price, for_sale_both_auction_private_treaty_detailedposition25price, for_sale_both_auction_private_treaty_detailedposition30price, for_sale_both_auction_private_treaty_detailedposition35price, for_sale_both_auction_private_treaty_detailedposition40price, for_sale_both_auction_private_treaty_detailedposition45price, for_sale_both_auction_private_treaty_detailedposition50price, for_sale_both_auction_private_treaty_detailedposition55price, for_sale_both_auction_private_treaty_detailedposition60price, for_sale_both_auction_private_treaty_detailedposition65price, for_sale_both_auction_private_treaty_detailedposition70price, for_sale_both_auction_private_treaty_detailedposition75price, for_sale_both_auction_private_treaty_detailedposition80price, for_sale_both_auction_private_treaty_detailedposition85price, for_sale_both_auction_private_treaty_detailedposition90price, for_sale_both_auction_private_treaty_detailedposition95price, for_sale_both_auction_private_treaty_detailedpricecalcreccount, for_sale_both_auction_private_treaty_eventcount, for_sale_both_auction_private_treaty_geometricmeanprice, for_sale_both_auction_private_treaty_maximumprice, for_sale_both_auction_private_treaty_medianprice, for_sale_both_auction_private_treaty_minimumprice, for_sale_both_auction_private_treaty_position25price, for_sale_both_auction_private_treaty_position75price, for_sale_both_auction_private_treaty_pricecalcreccount, for_sale_both_auction_private_treaty_standarddeviationprice, for_sale_both_auction_private_treaty_totalprice, gid, gross_rental_yield, sa32016id, sa32016name, sa32016pid, sold_both_auction_private_treaty_averageprice, sold_both_auction_private_treaty_detailedposition05price, sold_both_auction_private_treaty_detailedposition10price, sold_both_auction_private_treaty_detailedposition15price, sold_both_auction_private_treaty_detailedposition20price, sold_both_auction_private_treaty_detailedposition25price, sold_both_auction_private_treaty_detailedposition30price, sold_both_auction_private_treaty_detailedposition35price, sold_both_auction_private_treaty_detailedposition40price, sold_both_auction_private_treaty_detailedposition45price, sold_both_auction_private_treaty_detailedposition50price, sold_both_auction_private_treaty_detailedposition55price, sold_both_auction_private_treaty_detailedposition60price, sold_both_auction_private_treaty_detailedposition65price, sold_both_auction_private_treaty_detailedposition70price, sold_both_auction_private_treaty_detailedposition75price, sold_both_auction_private_treaty_detailedposition80price, sold_both_auction_private_treaty_detailedposition85price, sold_both_auction_private_treaty_detailedposition90price, sold_both_auction_private_treaty_detailedposition95price, sold_both_auction_private_treaty_detailedpricecalcreccount, sold_both_auction_private_treaty_eventcount, sold_both_auction_private_treaty_geometricmeanprice, sold_both_auction_private_treaty_maximumprice, sold_both_auction_private_treaty_medianprice, sold_both_auction_private_treaty_minimumprice, sold_both_auction_private_treaty_position25price, sold_both_auction_private_treaty_position75price, sold_both_auction_private_treaty_pricecalcreccount, sold_both_auction_private_treaty_standarddeviationprice, sold_both_auction_private_treaty_totalprice, sold_private_treaty_averagedaysonmarket, sold_private_treaty_averagediscount, sold_private_treaty_daysonmarketrecordcount, sold_private_treaty_discountrecordcount, state, feature_code, feature_name
4,2020,"House",20601,0.6893688,609,125,13,11,108,307,602,415,66,"30/04/2020",580.9320999999998,385,420,450,460,480,500,510,525,545,550,570,595,600,630,650,690,730,750,840,2046,2046,562.5755,5000,550,250,480,650,2046,178.32520000000005,1188587,1019959,520000,650000,700000,755000,790000,825000,850000,875000,900000,950000,995000,1000000,1085000,1100000,1155000,1250000,1300000,1470000,1695000,638,978,955415.1,3500000,950000,278000,790000,1155000,638,398888.5,651000000,null,0.0286,266,"Brunswick - Coburg","SA3_1620601",1064799,650000,720000,765000,805000,830000,857000,896000,926000,961000,1000000,1040000,1085000,1130100,1180350,1240000,1300000,1365000,1450000,1625000,773,777,1016794,3170000,1000000,278000,830000,1240000,773,346271.2,8.229999999999999E8,61,0.06188068,312,61,"VIC","20601","Brunswick - Coburg"
4,2020,"House",20602,0.7132866999999997,422,88,15,6,68,238,429,306,41,"30/04/2020",627.592,355,430,485,500,530,550,560,580,595,610,630,650,660,680,700,750,795,850,920,1125,1125,605.7142,1400,610,240,530,700,1125,167.1485,706041,1274480,720000,799000,860000,900000,949000,970000,1020000,1099000,1125000,1150000,1200000,1250000,1329000,1400000,1500000,1600000,1700000,1800000,2200000,463,674,1195295,4000000,1150000,290000,949000,1500000,463,495859,590000000,null,0.025376000000000006,267,"Darebin - South","SA3_1620602",1315128,730000,825000,890000,955000,1000000,1054000,1100000,1151000,1180000,1250000,1300000,1340000,1400000,1460000,1530000,1598000,1695000,1850000,2130000,554,558,1243672,4465000,1250000,323000,1000000,1530000,554,468545,729000000,100,0.07712273000000006,222,57,"VIC","20602","Darebin - South"
4,2020,"House",20603,0.6474103,499,125,7,8,102,223,502,325,58,"30/04/2020",574.5819,370,395,420,440,450,475,490,500,525,550,560,580,600,640,660,695,735,790,880,1337,1337,552.2388000000002,1600,550,225,450,660,1337,170.6784,768216,1441197,578550,700000,790000,840000,900000,960000,1000000,1100000,1170000,1250000,1300000,1350000,1400000,1500000,1580000,1680000,1950000,2260000,2850000,515,799,1227425,20000000,1250000,28750,900000,1580000,515,1225080,742000000,null,0.02363636,268,"Essendon","SA3_1620603",1326060,699000,785000,840000,895000,942000,975000,1014500,1080000,1160000,1210000,1275000,1330000,1390000,1456000,1520000,1615000,1705000,1920000,2305000,595,596,1218048,9020000,1210000,292000,942000,1520000,595,681419.9,789000000,77,0.06229086,267,56,"VIC","20603","Essendon"
4,2020,"House",20604,0.6359833,239,56,6,4,35,117,239,152,36,"30/04/2020",671.7280000000003,370,420,450,480,500,520,550,560,590,600,630,650,690,725,770,825,900,1000,1200,1452,1452,612.5378,4000,600,40,500,770,1452,303.7618,975349,1536376,359000,460000,540000,690000,790000,880000,959000,1000000,1050000,1150000,1250000,1329000,1385000,1500000,1680000,1950000,2190000,2782500,3700000,314,472,1125319,22000000,1162500,15000,790000,1680000,314,1733848,4.819999999999999E8,null,0.02537032000000001,269,"Melbourne City","SA3_1620604",1497987,550000,728000,780000,841000,895000,950000,1015000,1090000,1150000,1225000,1300000,1335000,1425000,1510000,1680000,1905000,2165000,2750000,3525000,322,324,1276289,8000000,1229784,350000,895000,1680000,322,1022920,4.819999999999999E8,57,0.07874694000000006,146,35,"VIC","20604","Melbourne City"
4,2020,"House",20605,0.5794391999999997,542,155,12,14,61,249,535,310,73,"30/04/2020",759.3710000000001,370,415,460,500,540,570,600,640,660,695,730,750,795,835,890,950,1050,1200,1400,1992,1992,698.2563,2700,695,50,540,890,1992,338.3823,1512667,2018269,460000,729000,930000,1050000,1197000,1295000,1395000,1496250,1550000,1675000,1850000,1995000,2100000,2350000,2550000,2750000,2950000,3400000,4463813,559,871,1646471,13000000,1675000,30000,1197000,2550000,559,1425865,1130000000,null,0.022343119999999994,270,"Port Phillip","SA3_1620605",1932969,835000,975000,1075000,1185000,1250000,1305000,1387500,1457000,1552000,1616000,1715000,1795000,1915000,2100000,2300000,2532500,2820000,3205100,3800000,674,684,1696591,12500000,1617500,282000,1250000,2300000,674,1195861,1300000000,55,0.07988947,314,62,"VIC","20605","Port Phillip"
4,2020,"House",20606,0.6134970000000003,328,96,10,7,34,166,326,200,36,"30/04/2020",820.3761999999998,390,450,490,520,550,595,620,650,675,700,750,775,800,865,900,1000,1150,1300,1600,1417,1417,736.717,6000,700,36,550,900,1417,466.0964999999999,1162473,3490534,520000,935000,1150000,1360000,1520000,1649000,1750000,1999900,2200000,2400000,2600000,2915000,3200000,3600000,4200000,5000000,6300000,7800000,10000000,469,678,2463466,25600000,2400000,30000,1520000,4200000,469,3319594,1.6400000000000002E9,null,0.019361700000000016,271,"Stonnington - West","SA3_1620606",2681888,980000,1168000,1230000,1315000,1410000,1500000,1570000,1650000,1745000,1880000,2035000,2250000,2550000,2767500,3005000,3480000,4350000,5400000,7050000,475,480,2160670,1.7300000000000004E7,1880000,360000,1410000,3005000,475,2200776,1270000000,70,0.09428559,233,46,"VIC","20606","Stonnington - West"
4,2020,"House",20607,0.6823160999999998,632,149,9,9,69,367,639,436,70,"30/04/2020",713.1354,450,500,530,550,575,595,610,635,650,670,695,710,750,760,800,850,900,980,1150,2444,2444,683.9598,3000,670,182,575,800,2444,224.97740000000005,1742903,1462558,700000,840000,899000,950000,995000,1050000,1100000,1159000,1228500,1300000,1350000,1420000,1500000,1600000,1700000,1800000,2000000,2300000,2700000,515,906,1307762,10500000,1300000,100000,995000,1700000,515,824956.6,753000000,null,0.025807410000000006,272,"Yarra","SA3_1620607",1462173,845000,915000,980000,1026000,1080000,1145000,1200000,1245000,1300000,1350000,1400000,1450000,1515000,1600000,1680000,1810000,1920000,2150000,2510000,772,774,1377265,4625000,1350000,510000,1080000,1680000,772,550527.6,1130000000,59,0.08888712999999997,302,59,"VIC","20607","Yarra"
4,2020,"House",20701,0.6502311000000002,1292,333,27,25,200,644,1298,844,134,"30/04/2020",783.5577999999998,400,450,490,520,550,580,610,650,680,700,750,790,805,850,900,980,1099,1200,1400,2560,2560,723.1746,4200,700,200,550,900,2560,353.2272,2005908,2544806,945000,1250000,1375000,1495000,1580000,1650000,1750000,1800000,1900000,2000000,2199999,2300000,2475000,2635000,2900000,3200000,3600000,4300000,5400000,1333,2208,2117276,42000000,2000000,1325,1580000,2900000,1333,2220512,3.3899999999999995E9,null,0.018291460000000006,273,"Boroondara","SA3_1620701",2287400,1115000,1290000,1420000,1508000,1595000,1650000,1730000,1800000,1900000,1990000,2100000,2250000,2368000,2500000,2650000,2875000,3150000,3610000,4460000,1691,1703,2076212,10200000,1990000,252000,1595000,2650000,1691,1134744,3.8699999999999995E9,62,0.10067689999999999,898,140,"VIC","20701","Boroondara"
4,2020,"House",20702,0.6387500000000004,783,200,25,29,148,363,800,511,94,"30/04/2020",578.7248000000002,400,420,445,450,470,490,500,520,540,550,570,590,600,625,650,680,700,760,850,1617,1617,560.6423,2200,550,98,470,650,1617,157.2544,935798,1318277,756800,850000,900000,950000,990000,1020000,1080000,1100000,1150000,1188000,1200000,1260000,1300000,1350000,1400000,1495000,1589000,1800000,2350000,1284,1797,1214731,14500000,1188500,2500,990000,1400000,1284,717395.1,1.6900000000000002E9,null,0.0237246,274,"Manningham - West","SA3_1620702",1255733,808000,895000,940000,985000,1030000,1075000,1105000,1150000,1182500,1205000,1236000,1265000,1300000,1330888,1380000,1425000,1500000,1650000,1905000,1148,1151,1209549,5030000,1205500,510000,1030000,1380000,1148,386465,1440000000,88,0.08639263000000003,648,162,"VIC","20702","Manningham - West"
4,2020,"House",20703,0.7274655,932,175,16,18,132,554,943,686,96,"30/04/2020",538.6148000000002,370,395,410,425,440,450,460,480,490,500,530,550,570,595,610,650,690,725,780,1838,1838,519.9567,1800,500,145,440,610,1838,150.3367,989974,1290356,700000,799950,850000,900000,930000,989000,1000000,1070000,1100000,1150000,1200000,1233000,1296750,1350000,1430000,1550000,1680000,1860000,2400000,852,1519,1181990,8700000,1150000,100000,930000,1430000,852,661723.8,1100000000,null,0.021987320000000008,275,"Whitehorse - West","SA3_1620703",1275752,762000,880000,927500,956128,990000,1033000,1080000,1106000,1150000,1182000,1223000,1270000,1311000,1369000,1435000,1551500,1655000,1795000,2090000,1094,1103,1216556,4250000,1182500,285000,990000,1435000,1094,426585,1400000000,61,0.08696248000000002,502,76,"VIC","20703","Whitehorse - West"
