datemonth, dateyear, propertycategorisation, sa32016code, auction_activity_auctionclearancerate, auction_activity_auctionlistedcount, auction_activity_auctionnotsoldcount, auction_activity_auctionpostponedcount, auction_activity_auctionsoldaftercount, auction_activity_auctionsoldpriorcount, auction_activity_auctionsoldunderhammercount, auction_activity_auctiontotalreported, auction_activity_auctiontotalsold, auction_activity_auctionwithdrawncount, enddate, for_rent_home_lease_averageprice, for_rent_home_lease_detailedposition05price, for_rent_home_lease_detailedposition10price, for_rent_home_lease_detailedposition15price, for_rent_home_lease_detailedposition20price, for_rent_home_lease_detailedposition25price, for_rent_home_lease_detailedposition30price, for_rent_home_lease_detailedposition35price, for_rent_home_lease_detailedposition40price, for_rent_home_lease_detailedposition45price, for_rent_home_lease_detailedposition50price, for_rent_home_lease_detailedposition55price, for_rent_home_lease_detailedposition60price, for_rent_home_lease_detailedposition65price, for_rent_home_lease_detailedposition70price, for_rent_home_lease_detailedposition75price, for_rent_home_lease_detailedposition80price, for_rent_home_lease_detailedposition85price, for_rent_home_lease_detailedposition90price, for_rent_home_lease_detailedposition95price, for_rent_home_lease_detailedpricecalcreccount, for_rent_home_lease_eventcount, for_rent_home_lease_geometricmeanprice, for_rent_home_lease_maximumprice, for_rent_home_lease_medianprice, for_rent_home_lease_minimumprice, for_rent_home_lease_position25price, for_rent_home_lease_position75price, for_rent_home_lease_pricecalcreccount, for_rent_home_lease_standarddeviationprice, for_rent_home_lease_totalprice, for_sale_both_auction_private_treaty_averageprice, for_sale_both_auction_private_treaty_detailedposition05price, for_sale_both_auction_private_treaty_detailedposition10price, for_sale_both_auction_private_treaty_detailedposition15price, for_sale_both_auction_private_treaty_detailedposition20price, for_sale_both_auction_private_treaty_detailedposition25price, for_sale_both_auction_private_treaty_detailedposition30price, for_sale_both_auction_private_treaty_detailedposition35price, for_sale_both_auction_private_treaty_detailedposition40price, for_sale_both_auction_private_treaty_detailedposition45price, for_sale_both_auction_private_treaty_detailedposition50price, for_sale_both_auction_private_treaty_detailedposition55price, for_sale_both_auction_private_treaty_detailedposition60price, for_sale_both_auction_private_treaty_detailedposition65price, for_sale_both_auction_private_treaty_detailedposition70price, for_sale_both_auction_private_treaty_detailedposition75price, for_sale_both_auction_private_treaty_detailedposition80price, for_sale_both_auction_private_treaty_detailedposition85price, for_sale_both_auction_private_treaty_detailedposition90price, for_sale_both_auction_private_treaty_detailedposition95price, for_sale_both_auction_private_treaty_detailedpricecalcreccount, for_sale_both_auction_private_treaty_eventcount, for_sale_both_auction_private_treaty_geometricmeanprice, for_sale_both_auction_private_treaty_maximumprice, for_sale_both_auction_private_treaty_medianprice, for_sale_both_auction_private_treaty_minimumprice, for_sale_both_auction_private_treaty_position25price, for_sale_both_auction_private_treaty_position75price, for_sale_both_auction_private_treaty_pricecalcreccount, for_sale_both_auction_private_treaty_standarddeviationprice, for_sale_both_auction_private_treaty_totalprice, gid, gross_rental_yield, sa32016id, sa32016name, sa32016pid, sold_both_auction_private_treaty_averageprice, sold_both_auction_private_treaty_detailedposition05price, sold_both_auction_private_treaty_detailedposition10price, sold_both_auction_private_treaty_detailedposition15price, sold_both_auction_private_treaty_detailedposition20price, sold_both_auction_private_treaty_detailedposition25price, sold_both_auction_private_treaty_detailedposition30price, sold_both_auction_private_treaty_detailedposition35price, sold_both_auction_private_treaty_detailedposition40price, sold_both_auction_private_treaty_detailedposition45price, sold_both_auction_private_treaty_detailedposition50price, sold_both_auction_private_treaty_detailedposition55price, sold_both_auction_private_treaty_detailedposition60price, sold_both_auction_private_treaty_detailedposition65price, sold_both_auction_private_treaty_detailedposition70price, sold_both_auction_private_treaty_detailedposition75price, sold_both_auction_private_treaty_detailedposition80price, sold_both_auction_private_treaty_detailedposition85price, sold_both_auction_private_treaty_detailedposition90price, sold_both_auction_private_treaty_detailedposition95price, sold_both_auction_private_treaty_detailedpricecalcreccount, sold_both_auction_private_treaty_eventcount, sold_both_auction_private_treaty_geometricmeanprice, sold_both_auction_private_treaty_maximumprice, sold_both_auction_private_treaty_medianprice, sold_both_auction_private_treaty_minimumprice, sold_both_auction_private_treaty_position25price, sold_both_auction_private_treaty_position75price, sold_both_auction_private_treaty_pricecalcreccount, sold_both_auction_private_treaty_standarddeviationprice, sold_both_auction_private_treaty_totalprice, sold_private_treaty_averagedaysonmarket, sold_private_treaty_averagediscount, sold_private_treaty_daysonmarketrecordcount, sold_private_treaty_discountrecordcount, state, feature_code, feature_name
8,2020,"House",20601,0.6889313,530,96,9,11,124,237,524,361,71,"31/08/2020",582.6357,385,420,445,460,480,500,500,530,545,550,570,595,605,640,650,700,740,760,850,1974,1974,563.4381,6000,550,250,480,650,1974,189.9367,1150123,1012973,520000,630000,695000,750000,790000,830000,850000,880000,900000,950000,990000,1000000,1050000,1100000,1155000,1250000,1300000,1450000,1680000,639,946,952336.1,3100000,950000,280000,790000,1155000,639,376220.8,6.470000000000001E8,null,0.027342259999999993,266,"Brunswick - Coburg","SA3_1620601",1084411,645000,720000,770000,820000,850000,897650,920000,960000,993000,1046000,1085000,1120000,1162000,1201000,1255000,1320000,1400000,1486000,1625000,721,723,1036817,3170000,1046000,385000,850000,1255000,721,342624,7.819999999999999E8,53,0.05976997,311,68,"VIC","20601","Brunswick - Coburg"
8,2020,"House",20602,0.7174515,361,60,15,11,66,193,361,259,53,"31/08/2020",627.4304,350,420,480,500,530,550,560,580,600,610,630,650,660,680,700,750,795,850,950,1113,1113,604.7884000000003,1500,610,240,530,700,1113,170.3616,698330,1295191,700000,800000,879000,900000,950000,980000,1020000,1100000,1150000,1199000,1250000,1300000,1400000,1480000,1550000,1627500,1725000,1820000,2200000,440,641,1217409,3850000,1199000,320000,950000,1550000,440,483831.8,570000000,null,0.02458915,267,"Darebin - South","SA3_1620602",1376670,780000,852000,950000,1000000,1050000,1100000,1151000,1180000,1240000,1290000,1340000,1400000,1466000,1530000,1588000,1669000,1780000,1970000,2308000,490,493,1303950,4000000,1290000,520000,1050000,1588000,490,485672.7,675000000,87,0.07194708,197,46,"VIC","20602","Darebin - South"
8,2020,"House",20603,0.6503198000000002,466,100,13,7,110,195,469,305,80,"31/08/2020",568.9788000000002,370,398,420,440,450,475,490,500,520,550,560,580,600,630,650,690,720,770,850,1322,1322,548.5351999999998,1600,550,225,450,650,1322,161.405,752190,1451176,600000,700000,800000,850000,900000,960000,1025000,1100000,1150000,1250000,1299000,1350000,1400000,1500000,1600000,1760000,1950000,2250000,2900000,555,814,1234022,20000000,1250000,28750,900000,1600000,555,1273112,8.050000000000001E8,null,0.022879999999999994,268,"Essendon","SA3_1620603",1352387,700000,780000,835000,896000,950000,1000000,1050000,1100000,1190000,1250000,1300000,1365000,1410000,1480000,1565000,1660000,1750000,1961000,2350000,594,597,1237228,10500000,1250000,326000,950000,1565000,594,740675.6,8.029999999999999E8,71,0.06899891,286,63,"VIC","20603","Essendon"
8,2020,"House",20604,0.5920398,199,47,4,1,33,86,201,119,41,"31/08/2020",658.7256,350,400,435,460,490,500,530,550,580,600,620,650,680,720,750,800,900,1000,1200,1494,1494,597.6378,4000,600,40,490,750,1494,305.7799,984136,1530766,360000,495000,580000,700000,800000,900000,975000,1025000,1100000,1190000,1250000,1320000,1375000,1485000,1650000,1850000,2100000,2600000,3700000,343,474,1143199,19000000,1190000,15000,800000,1650000,343,1600775,525000000,null,0.026218490000000007,269,"Melbourne City","SA3_1620604",1444305,525000,660000,755000,830000,887000,942500,980000,1055000,1130000,1190000,1267500,1317000,1370000,1475000,1588000,1800000,2000000,2750000,3327000,309,309,1215403,8000000,1190000,16000,887000,1588000,309,1026663,446000000,78,0.06673875000000003,164,51,"VIC","20604","Melbourne City"
8,2020,"House",20605,0.5701944000000002,464,125,11,12,67,197,463,264,82,"31/08/2020",747.9816,350,400,450,495,525,550,595,625,650,680,720,750,790,830,870,940,1000,1150,1400,1958,1958,684.227,3000,680,14,525,870,1958,339.5929,1464548,2037984,495000,800000,985000,1100000,1200000,1300000,1400000,1500000,1590000,1695000,1850000,2000000,2150000,2350000,2550000,2750000,2975000,3410000,4500000,634,895,1681038,13000000,1695000,30000,1200000,2550000,634,1386370,1290000000,null,0.021078990000000013,270,"Port Phillip","SA3_1620605",1996681,900000,1010000,1150000,1230000,1286000,1350000,1417500,1520000,1605000,1670000,1750000,1858000,2010000,2190000,2385000,2550000,2850000,3236000,4025000,650,658,1766605,1.1700000000000002E7,1677500,440000,1286000,2385000,650,1180625,1300000000,51,0.07667615000000005,345,74,"VIC","20605","Port Phillip"
8,2020,"House",20606,0.5821428000000001,280,77,9,4,32,131,280,163,46,"31/08/2020",802.7299,380,430,480,510,550,585,600,640,655,695,730,750,795,850,900,995,1100,1300,1600,1440,1440,722.7075,4606,695,36,550,900,1440,435.0277,1155931,3314026,495000,949950,1175000,1350000,1495000,1550000,1690000,1890000,2000000,2250000,2500000,2790000,3150000,3500000,4100000,4900000,6000000,7250000,9300000,517,696,2368574,24000000,2250000,30000,1495000,4100000,517,3042937,1.7100000000000002E9,null,0.019430110000000007,271,"Stonnington - West","SA3_1620606",2718703,980000,1168000,1225000,1295000,1385000,1465000,1566000,1635500,1700000,1860000,2000000,2210000,2485000,2700000,3000000,3500000,4202500,5400000,7300000,469,471,2151013,19000000,1860000,360000,1385000,3000000,469,2440577,1280000000,61,0.08155444,271,54,"VIC","20606","Stonnington - West"
8,2020,"House",20607,0.6623135,533,110,6,11,79,276,536,355,86,"31/08/2020",710.4583,440,490,525,550,570,590,600,625,650,670,695,700,750,760,800,850,900,980,1150,2363,2363,679.6807000000002,2800,670,182,570,800,2363,230.96400000000003,1678813,1474384,685000,839000,899000,950000,1000000,1050000,1100000,1170000,1220000,1300000,1350000,1425000,1500000,1600000,1700000,1850000,2000000,2350000,2750000,558,890,1316259,10500000,1300000,100000,1000000,1700000,558,832463.6,8.229999999999999E8,null,0.02579785,272,"Yarra","SA3_1620607",1492488,855750,931500,990000,1050000,1090000,1142500,1192500,1250000,1301000,1350500,1410000,1480000,1553000,1622000,1715000,1850000,1975000,2250000,2590000,735,738,1398835,4700000,1350500,510000,1090000,1715000,735,592616.6,1100000000,57,0.06238913,317,68,"VIC","20607","Yarra"
8,2020,"House",20701,0.6157095000000002,1171,315,26,23,206,523,1184,729,163,"31/08/2020",776.3924999999998,400,450,485,520,550,580,600,650,670,700,750,775,800,850,900,950,1075,1200,1400,2507,2507,715.8323999999998,4200,700,180,550,900,2507,355.1412,1946416,2495353,945000,1250000,1395000,1495000,1580000,1660000,1750000,1800000,1900000,2000000,2180000,2300000,2450000,2600000,2850000,3092250,3500000,4000000,5000000,1481,2223,2112358,42000000,2000000,1325,1580000,2850000,1481,2133606,3700000000,null,0.01819909,273,"Boroondara","SA3_1620701",2316801,1155000,1345000,1460000,1550000,1608000,1680000,1760000,1810000,1915000,2000100,2125000,2260000,2381000,2510000,2700000,2900000,3170000,3605000,4460000,1627,1631,2108611,10200000,2000100,430000,1608000,2700000,1627,1144335,3770000000,54,0.08691216,972,148,"VIC","20701","Boroondara"
8,2020,"House",20702,0.5833332999999996,644,171,24,21,116,269,660,385,112,"31/08/2020",582.0234,400,420,450,450,470,490,500,520,540,550,570,595,600,630,650,680,720,775,850,1497,1497,563.374,1995,550,150,470,650,1497,160.6553,871289,1307251,756800,860000,900000,950000,999000,1050000,1098000,1100000,1150000,1198000,1200000,1260000,1300000,1350000,1400000,1480000,1575000,1750000,2244375,1344,1761,1207606,14500000,1198000,2500,999000,1400000,1344,681700.8,1.7600000000000002E9,null,0.02325203,274,"Manningham - West","SA3_1620702",1277353,830000,930000,976000,1022000,1060000,1100000,1150000,1184000,1205000,1230000,1260000,1298000,1322000,1360000,1400000,1450000,1547000,1650000,1880000,990,990,1235984,5030000,1230000,510000,1060000,1400000,990,367866.6,1260000000,75,0.0709409,592,165,"VIC","20702","Manningham - West"
8,2020,"House",20703,0.7082818000000003,798,141,12,18,120,453,809,573,114,"31/08/2020",530.5563,360,390,400,420,430,445,450,470,485,500,520,550,560,590,610,650,675,700,780,1803,1803,511.38800000000003,1800,500,44,430,610,1803,149.5841,956593,1299715,700000,800000,860000,900000,950000,995000,1020000,1075000,1100000,1150000,1200000,1250000,1300000,1365000,1450000,1550000,1680000,1850000,2400000,920,1480,1189798,15100000,1150000,120000,950000,1450000,920,746677.6,1200000000,null,0.021666670000000006,275,"Whitehorse - West","SA3_1620703",1292254,820000,895000,932000,976000,1010000,1055000,1098888,1135000,1170000,1200000,1241000,1300000,1335000,1391000,1450000,1562000,1656000,1800000,2065000,975,981,1235301,4025000,1200000,285000,1010000,1450000,975,418802.3,1260000000,52,0.06605155,500,76,"VIC","20703","Whitehorse - West"
