datemonth, dateyear, propertycategorisation, sa32016code, auction_activity_auctionclearancerate, auction_activity_auctionlistedcount, auction_activity_auctionnotsoldcount, auction_activity_auctionpostponedcount, auction_activity_auctionsoldaftercount, auction_activity_auctionsoldpriorcount, auction_activity_auctionsoldunderhammercount, auction_activity_auctiontotalreported, auction_activity_auctiontotalsold, auction_activity_auctionwithdrawncount, enddate, for_rent_home_lease_averageprice, for_rent_home_lease_detailedposition05price, for_rent_home_lease_detailedposition10price, for_rent_home_lease_detailedposition15price, for_rent_home_lease_detailedposition20price, for_rent_home_lease_detailedposition25price, for_rent_home_lease_detailedposition30price, for_rent_home_lease_detailedposition35price, for_rent_home_lease_detailedposition40price, for_rent_home_lease_detailedposition45price, for_rent_home_lease_detailedposition50price, for_rent_home_lease_detailedposition55price, for_rent_home_lease_detailedposition60price, for_rent_home_lease_detailedposition65price, for_rent_home_lease_detailedposition70price, for_rent_home_lease_detailedposition75price, for_rent_home_lease_detailedposition80price, for_rent_home_lease_detailedposition85price, for_rent_home_lease_detailedposition90price, for_rent_home_lease_detailedposition95price, for_rent_home_lease_detailedpricecalcreccount, for_rent_home_lease_eventcount, for_rent_home_lease_geometricmeanprice, for_rent_home_lease_maximumprice, for_rent_home_lease_medianprice, for_rent_home_lease_minimumprice, for_rent_home_lease_position25price, for_rent_home_lease_position75price, for_rent_home_lease_pricecalcreccount, for_rent_home_lease_standarddeviationprice, for_rent_home_lease_totalprice, for_sale_both_auction_private_treaty_averageprice, for_sale_both_auction_private_treaty_detailedposition05price, for_sale_both_auction_private_treaty_detailedposition10price, for_sale_both_auction_private_treaty_detailedposition15price, for_sale_both_auction_private_treaty_detailedposition20price, for_sale_both_auction_private_treaty_detailedposition25price, for_sale_both_auction_private_treaty_detailedposition30price, for_sale_both_auction_private_treaty_detailedposition35price, for_sale_both_auction_private_treaty_detailedposition40price, for_sale_both_auction_private_treaty_detailedposition45price, for_sale_both_auction_private_treaty_detailedposition50price, for_sale_both_auction_private_treaty_detailedposition55price, for_sale_both_auction_private_treaty_detailedposition60price, for_sale_both_auction_private_treaty_detailedposition65price, for_sale_both_auction_private_treaty_detailedposition70price, for_sale_both_auction_private_treaty_detailedposition75price, for_sale_both_auction_private_treaty_detailedposition80price, for_sale_both_auction_private_treaty_detailedposition85price, for_sale_both_auction_private_treaty_detailedposition90price, for_sale_both_auction_private_treaty_detailedposition95price, for_sale_both_auction_private_treaty_detailedpricecalcreccount, for_sale_both_auction_private_treaty_eventcount, for_sale_both_auction_private_treaty_geometricmeanprice, for_sale_both_auction_private_treaty_maximumprice, for_sale_both_auction_private_treaty_medianprice, for_sale_both_auction_private_treaty_minimumprice, for_sale_both_auction_private_treaty_position25price, for_sale_both_auction_private_treaty_position75price, for_sale_both_auction_private_treaty_pricecalcreccount, for_sale_both_auction_private_treaty_standarddeviationprice, for_sale_both_auction_private_treaty_totalprice, gid, gross_rental_yield, sa32016id, sa32016name, sa32016pid, sold_both_auction_private_treaty_averageprice, sold_both_auction_private_treaty_detailedposition05price, sold_both_auction_private_treaty_detailedposition10price, sold_both_auction_private_treaty_detailedposition15price, sold_both_auction_private_treaty_detailedposition20price, sold_both_auction_private_treaty_detailedposition25price, sold_both_auction_private_treaty_detailedposition30price, sold_both_auction_private_treaty_detailedposition35price, sold_both_auction_private_treaty_detailedposition40price, sold_both_auction_private_treaty_detailedposition45price, sold_both_auction_private_treaty_detailedposition50price, sold_both_auction_private_treaty_detailedposition55price, sold_both_auction_private_treaty_detailedposition60price, sold_both_auction_private_treaty_detailedposition65price, sold_both_auction_private_treaty_detailedposition70price, sold_both_auction_private_treaty_detailedposition75price, sold_both_auction_private_treaty_detailedposition80price, sold_both_auction_private_treaty_detailedposition85price, sold_both_auction_private_treaty_detailedposition90price, sold_both_auction_private_treaty_detailedposition95price, sold_both_auction_private_treaty_detailedpricecalcreccount, sold_both_auction_private_treaty_eventcount, sold_both_auction_private_treaty_geometricmeanprice, sold_both_auction_private_treaty_maximumprice, sold_both_auction_private_treaty_medianprice, sold_both_auction_private_treaty_minimumprice, sold_both_auction_private_treaty_position25price, sold_both_auction_private_treaty_position75price, sold_both_auction_private_treaty_pricecalcreccount, sold_both_auction_private_treaty_standarddeviationprice, sold_both_auction_private_treaty_totalprice, sold_private_treaty_averagedaysonmarket, sold_private_treaty_averagediscount, sold_private_treaty_daysonmarketrecordcount, sold_private_treaty_discountrecordcount, state, feature_code, feature_name
12,2020,"House",20601,0.6747664000000003,539,88,15,15,144,217,535,361,96,"31/12/2020",575.3729,380,410,440,460,480,495,500,520,540,550,570,595,600,640,650,695,720,750,820,2261,2261,558.2814000000002,2043,550,220,480,650,2261,146.2479,1300918,1017103,549000,640000,695000,750000,795000,825000,860000,890000,925000,950000,995000,1000000,1050000,1100000,1160000,1250000,1350000,1450000,1650000,783,1029,954930.1,3300000,950000,97000,795000,1160000,783,376132.4,796000000,null,0.027083330000000006,266,"Brunswick - Coburg","SA3_1620601",1091126,640000,703500,747500,800000,845000,887000,920000,955000,995000,1056000,1098000,1125000,1170000,1208000,1268000,1355000,1435000,1530000,1675000,743,747,1041040,3170000,1056000,385000,845000,1268000,743,346276,811000000,43,0.05048923,371,83,"VIC","20601","Brunswick - Coburg"
12,2020,"House",20602,0.7096774000000002,308,47,25,12,80,140,310,220,57,"31/12/2020",626.0658,345,430,480,500,530,550,550,575,595,600,625,650,650,680,700,750,795,850,935,1231,1231,602.7506,1600,600,240,530,700,1231,174.57479999999998,770687,1292778,700000,830000,900000,949000,975000,1000000,1070000,1100000,1150000,1200000,1270000,1300000,1385000,1450000,1500000,1600000,1699999,1800000,2100000,502,624,1220175,3950000,1200000,320000,975000,1500000,502,466525.8,649000000,null,0.023726239999999992,267,"Darebin - South","SA3_1620602",1403937,799000,900000,980000,1031500,1095610,1125000,1180000,1220000,1275000,1310000,1368000,1430000,1510000,1570000,1620000,1725000,1813000,1950000,2310000,456,457,1332930,4000000,1315000,520000,1095610,1620000,456,480095.6,640000000,63,0.05739634000000001,220,37,"VIC","20602","Darebin - South"
12,2020,"House",20603,0.6449275999999999,414,82,23,6,113,154,414,267,87,"31/12/2020",561.1754000000002,350,390,400,430,450,460,480,495,500,525,550,570,595,620,650,680,720,780,850,1465,1465,539.8117,1950,525,225,450,650,1465,166.6704,822122,1378916,550000,695000,755000,800000,860000,940000,990000,1050000,1150000,1200000,1280000,1300000,1399000,1450000,1550000,1665000,1900000,2100000,2800000,619,825,1185558,20000000,1200000,28750,860000,1550000,619,1111693,8.539999999999999E8,null,0.02149606,268,"Essendon","SA3_1620603",1370804,720000,785000,840000,895000,960000,1022000,1075000,1150000,1215000,1270000,1330000,1380000,1425000,1505000,1605000,1690000,1810000,2010000,2335000,572,576,1256096,10500000,1270000,283000,960000,1605000,572,701920.4,784000000,70,0.06799687000000003,317,80,"VIC","20603","Essendon"
12,2020,"House",20604,0.5769231,182,36,12,2,33,72,182,105,49,"31/12/2020",636.7852,315,360,400,430,460,490,500,530,550,580,600,640,675,700,750,800,875,990,1150,1774,1774,572.9188,4000,580,35,460,750,1774,301.7354999999999,1129657,1517498,367000,475000,560000,655000,750000,850000,900000,979000,1020000,1100000,1199000,1290000,1375000,1495000,1650000,1850000,2200000,2550000,3800000,409,523,1116721,20000000,1100000,15000,750000,1650000,409,1754380,621000000,null,0.02622609,269,"Melbourne City","SA3_1620604",1502760,530000,640000,730000,815000,880000,938000,980000,1036000,1100000,1150000,1203000,1280000,1350000,1475000,1575000,1800000,2100000,2815000,3800000,313,315,1220173,8350000,1150000,16000,880000,1575000,313,1223178,470000000,86,0.058031220000000015,195,71,"VIC","20604","Melbourne City"
12,2020,"House",20605,0.5637755000000002,389,99,17,7,74,147,392,221,90,"31/12/2020",712.9063,340,385,420,455,500,530,565,599,625,650,690,725,750,800,850,900,970,1100,1325,2122,2122,650.4011999999998,2825,650,11,500,850,2122,321.448,1512787,2002741,500000,780000,990000,1100000,1200000,1290000,1375000,1450000,1550000,1670000,1800000,1950000,2075000,2275000,2450000,2700000,2950000,3400000,4100000,728,919,1651397,13000000,1675000,30000,1200000,2450000,728,1412299,1460000000,null,0.019537570000000008,270,"Port Phillip","SA3_1620605",2012147,965000,1084000,1195000,1255000,1327000,1387500,1475000,1573000,1656000,1730000,1820000,1917000,2075000,2200000,2320000,2510000,2820000,3236000,3915000,611,623,1808362,10800000,1730000,440000,1327000,2320000,611,1100718,1230000000,57,0.07813738,370,67,"VIC","20605","Port Phillip"
12,2020,"House",20606,0.6044444000000002,224,43,14,4,32,104,225,136,55,"31/12/2020",760.0215,350,400,440,475,500,550,580,600,640,660,700,740,770,800,875,950,1010,1200,1500,1584,1584,682.3068,5000,660,36,500,875,1584,417.7724,1203874,3203381,550000,949950,1150000,1300000,1426425,1500000,1600000,1780000,1900000,2100000,2450000,2600000,2950000,3390000,4000000,4500000,5700000,6500000,8795000,593,724,2291738,35000000,2100000,30000,1426425,4000000,593,3173108,1900000000,null,0.01839228,271,"Stonnington - West","SA3_1620606",2825791,961000,1150000,1225000,1295000,1385000,1500000,1555000,1637000,1725000,1866000,2050000,2290000,2550000,2810000,3130000,3640000,4400000,5700000,8000000,457,461,2199741,22100000,1866000,502000,1385000,3130000,457,2629976,1290000000,69,0.09381187999999997,297,56,"VIC","20606","Stonnington - West"
12,2020,"House",20607,0.6325678000000001,477,90,15,13,92,211,479,303,100,"31/12/2020",698.0504,425,475,510,550,560,580,600,610,645,650,680,700,725,750,795,840,890,950,1100,2741,2741,668.3530000000001,2800,650,182,560,795,2741,222.1279,1913356,1457928,685000,800000,888000,949000,980000,1044750,1100000,1155000,1220000,1300000,1350000,1400000,1500000,1600000,1700000,1850000,2000000,2350000,2700000,667,924,1308542,10500000,1300000,115000,980000,1700000,667,793496.9,9.719999999999999E8,null,0.024671530000000007,272,"Yarra","SA3_1620607",1513099,840000,930000,983000,1035000,1082500,1145000,1200000,1256000,1310000,1370000,1420000,1500000,1560000,1620000,1725000,1863000,2000000,2300000,2700000,724,728,1407372,5445000,1370000,490000,1082500,1725000,724,644441.2,1100000000,57,0.05270747,364,89,"VIC","20607","Yarra"
12,2020,"House",20701,0.583815,863,210,37,23,179,326,865,505,169,"31/12/2020",765.1628999999998,395,435,470,500,530,560,595,620,650,695,730,755,800,850,895,950,1050,1200,1400,2566,2566,703.424,4200,695,180,530,895,2566,356.9528,1963408,2410612,945000,1250000,1380000,1480000,1550000,1650000,1700000,1800000,1875000,1995000,2100000,2200000,2350000,2500000,2700000,2990000,3390000,3895000,4700000,1646,2133,2064623,42000000,1995000,30000,1550000,2700000,1646,2026669,3.9699999999999995E9,null,0.018070000000000006,273,"Boroondara","SA3_1620701",2270104,1180000,1345000,1435000,1530000,1600000,1675000,1755000,1810000,1910000,2000000,2100000,2200000,2312500,2455000,2615000,2830000,3150000,3505000,4280000,1443,1460,2083582,9040000,2000000,575000,1600000,2615000,1443,1055432,3.2800000000000005E9,62,0.07327956000000002,993,175,"VIC","20701","Boroondara"
12,2020,"House",20702,0.5054945,444,117,13,17,80,150,455,230,119,"31/12/2020",580.828,395,420,440,450,470,490,500,520,540,550,570,590,600,640,650,690,720,770,850,1506,1507,561.6393,1995,550,150,470,650,1506,162.9646,874727,1294899,750000,850000,900000,950000,995686,1040000,1089000,1100000,1150000,1180000,1200000,1250000,1300000,1350000,1400000,1480000,1575000,1750000,2200000,1471,1699,1198551,14500000,1180000,2500,995686,1400000,1471,665855.2,1900000000,null,0.02363636,274,"Manningham - West","SA3_1620702",1269910,800000,905000,968000,1002000,1046000,1078000,1120000,1160000,1190000,1210000,1245000,1280000,1315000,1350000,1398000,1455000,1550000,1680000,1905000,873,879,1223096,4938000,1210000,495000,1046000,1398000,873,390262.9,1110000000,77,0.07134208,620,178,"VIC","20702","Manningham - West"
12,2020,"House",20703,0.6616415000000004,590,105,23,15,96,299,597,395,119,"31/12/2020",520.8372999999997,350,380,395,400,420,440,450,460,480,490,500,530,550,580,600,630,660,700,760,1844,1844,501.4416999999999,2420,490,44,420,600,1844,149.0948,960424,1277546,720000,800000,870000,900000,950000,1000000,1025000,1080000,1100000,1150000,1200000,1250000,1300000,1370000,1450000,1550000,1650000,1850000,2300000,1074,1390,1186682,7800000,1150000,138000,950000,1450000,1074,563407.8,1370000000,null,0.021259910000000007,275,"Whitehorse - West","SA3_1620703",1299260,800000,870000,917000,955000,993000,1043000,1080000,1111000,1160000,1198000,1250000,1300000,1350000,1408000,1470000,1565000,1653000,1825888,2155000,844,847,1235144,4520000,1198500,375000,993000,1470000,844,456621.2,1100000000,60,0.06469841,500,87,"VIC","20703","Whitehorse - West"
