datemonth, dateyear, propertycategorisation, sa32016code, auction_activity_auctionclearancerate, auction_activity_auctionlistedcount, auction_activity_auctionnotsoldcount, auction_activity_auctionpostponedcount, auction_activity_auctionsoldaftercount, auction_activity_auctionsoldpriorcount, auction_activity_auctionsoldunderhammercount, auction_activity_auctiontotalreported, auction_activity_auctiontotalsold, auction_activity_auctionwithdrawncount, enddate, for_rent_home_lease_averageprice, for_rent_home_lease_detailedposition05price, for_rent_home_lease_detailedposition10price, for_rent_home_lease_detailedposition15price, for_rent_home_lease_detailedposition20price, for_rent_home_lease_detailedposition25price, for_rent_home_lease_detailedposition30price, for_rent_home_lease_detailedposition35price, for_rent_home_lease_detailedposition40price, for_rent_home_lease_detailedposition45price, for_rent_home_lease_detailedposition50price, for_rent_home_lease_detailedposition55price, for_rent_home_lease_detailedposition60price, for_rent_home_lease_detailedposition65price, for_rent_home_lease_detailedposition70price, for_rent_home_lease_detailedposition75price, for_rent_home_lease_detailedposition80price, for_rent_home_lease_detailedposition85price, for_rent_home_lease_detailedposition90price, for_rent_home_lease_detailedposition95price, for_rent_home_lease_detailedpricecalcreccount, for_rent_home_lease_eventcount, for_rent_home_lease_geometricmeanprice, for_rent_home_lease_maximumprice, for_rent_home_lease_medianprice, for_rent_home_lease_minimumprice, for_rent_home_lease_position25price, for_rent_home_lease_position75price, for_rent_home_lease_pricecalcreccount, for_rent_home_lease_standarddeviationprice, for_rent_home_lease_totalprice, for_sale_both_auction_private_treaty_averageprice, for_sale_both_auction_private_treaty_detailedposition05price, for_sale_both_auction_private_treaty_detailedposition10price, for_sale_both_auction_private_treaty_detailedposition15price, for_sale_both_auction_private_treaty_detailedposition20price, for_sale_both_auction_private_treaty_detailedposition25price, for_sale_both_auction_private_treaty_detailedposition30price, for_sale_both_auction_private_treaty_detailedposition35price, for_sale_both_auction_private_treaty_detailedposition40price, for_sale_both_auction_private_treaty_detailedposition45price, for_sale_both_auction_private_treaty_detailedposition50price, for_sale_both_auction_private_treaty_detailedposition55price, for_sale_both_auction_private_treaty_detailedposition60price, for_sale_both_auction_private_treaty_detailedposition65price, for_sale_both_auction_private_treaty_detailedposition70price, for_sale_both_auction_private_treaty_detailedposition75price, for_sale_both_auction_private_treaty_detailedposition80price, for_sale_both_auction_private_treaty_detailedposition85price, for_sale_both_auction_private_treaty_detailedposition90price, for_sale_both_auction_private_treaty_detailedposition95price, for_sale_both_auction_private_treaty_detailedpricecalcreccount, for_sale_both_auction_private_treaty_eventcount, for_sale_both_auction_private_treaty_geometricmeanprice, for_sale_both_auction_private_treaty_maximumprice, for_sale_both_auction_private_treaty_medianprice, for_sale_both_auction_private_treaty_minimumprice, for_sale_both_auction_private_treaty_position25price, for_sale_both_auction_private_treaty_position75price, for_sale_both_auction_private_treaty_pricecalcreccount, for_sale_both_auction_private_treaty_standarddeviationprice, for_sale_both_auction_private_treaty_totalprice, gid, gross_rental_yield, sa32016id, sa32016name, sa32016pid, sold_both_auction_private_treaty_averageprice, sold_both_auction_private_treaty_detailedposition05price, sold_both_auction_private_treaty_detailedposition10price, sold_both_auction_private_treaty_detailedposition15price, sold_both_auction_private_treaty_detailedposition20price, sold_both_auction_private_treaty_detailedposition25price, sold_both_auction_private_treaty_detailedposition30price, sold_both_auction_private_treaty_detailedposition35price, sold_both_auction_private_treaty_detailedposition40price, sold_both_auction_private_treaty_detailedposition45price, sold_both_auction_private_treaty_detailedposition50price, sold_both_auction_private_treaty_detailedposition55price, sold_both_auction_private_treaty_detailedposition60price, sold_both_auction_private_treaty_detailedposition65price, sold_both_auction_private_treaty_detailedposition70price, sold_both_auction_private_treaty_detailedposition75price, sold_both_auction_private_treaty_detailedposition80price, sold_both_auction_private_treaty_detailedposition85price, sold_both_auction_private_treaty_detailedposition90price, sold_both_auction_private_treaty_detailedposition95price, sold_both_auction_private_treaty_detailedpricecalcreccount, sold_both_auction_private_treaty_eventcount, sold_both_auction_private_treaty_geometricmeanprice, sold_both_auction_private_treaty_maximumprice, sold_both_auction_private_treaty_medianprice, sold_both_auction_private_treaty_minimumprice, sold_both_auction_private_treaty_position25price, sold_both_auction_private_treaty_position75price, sold_both_auction_private_treaty_pricecalcreccount, sold_both_auction_private_treaty_standarddeviationprice, sold_both_auction_private_treaty_totalprice, sold_private_treaty_averagedaysonmarket, sold_private_treaty_averagediscount, sold_private_treaty_daysonmarketrecordcount, sold_private_treaty_discountrecordcount, state, feature_code, feature_name
1,2020,"House",20601,0.6522462000000002,600,194,10,12,84,308,601,392,24,"31/01/2020",579.7145,380,420,450,460,480,500,510,525,550,550,570,590,600,630,650,690,720,750,825,1972,1972,561.5915,4250,550,250,480,650,1972,171.1082,1143197,982705.2,520000,625000,680000,729500,768000,795000,825000,850000,880000,900000,950000,990000,1000000,1095000,1130000,1200000,1300000,1400000,1600000,578,898,924641.1,3200000,900000,270000,768000,1130000,578,367987.8,568000000,null,0.03010526,266,"Brunswick - Coburg","SA3_1620601",1018194,630000,685000,735000,770000,810000,840000,860000,895000,926000,950000,990000,1025000,1075000,1120000,1200000,1250000,1310000,1400000,1570000,771,775,974134.8,3150000,950000,278000,810000,1200000,771,323199.1,785000000,70,0.06804696,338,75,"VIC","20601","Brunswick - Coburg"
1,2020,"House",20602,0.6643026000000002,414,134,14,4,54,227,423,281,18,"31/01/2020",628.2596,370,450,495,510,530,550,560,580,595,610,630,650,650,680,700,750,795,850,920,1094,1094,607.8257,1400,610,270,530,700,1094,162.24200000000002,687316,1246511,700000,795000,835000,890000,925000,955000,1000000,1050000,1100000,1150000,1190000,1220000,1250000,1359000,1450000,1580000,1690000,1850000,2200000,412,616,1167219,4000000,1150000,290000,925000,1450000,412,489058.2,5.139999999999999E8,null,0.026543930000000007,267,"Darebin - South","SA3_1620602",1277901,720000,800000,862000,932500,978000,1020000,1060000,1100000,1152000,1195000,1265000,1303000,1350000,1415000,1480000,1566500,1680000,1825000,2035000,561,562,1206792,4465000,1195000,323000,978000,1480000,561,459944.5,717000000,94,0.07664623000000004,244,66,"VIC","20602","Darebin - South"
1,2020,"House",20603,0.6497976000000004,496,160,10,10,85,236,494,321,25,"31/01/2020",569.0037000000002,360,400,420,440,450,475,490,500,520,550,550,580,600,630,650,690,720,760,850,1335,1335,547.9331999999998,1600,550,195,450,650,1335,164.74299999999997,759620,1354547,550000,690000,770000,835000,890000,950000,990000,1010000,1100000,1169000,1250000,1320000,1400000,1450000,1550000,1650000,1800000,2200000,2750000,440,731,1189872,7000000,1169500,280000,890000,1550000,440,833537.6,596000000,null,0.02423728999999999,268,"Essendon","SA3_1620603",1297907,640000,765000,828000,875000,934000,970000,1005000,1073500,1115000,1180000,1240000,1305000,1360000,1420000,1500000,1590000,1680500,1825000,2210000,607,609,1187148,9020000,1180000,292000,934000,1500000,607,688070.6,788000000,75,0.0687575,272,64,"VIC","20603","Essendon"
1,2020,"House",20604,0.6828194000000003,228,65,6,6,26,129,227,155,14,"31/01/2020",673.0218,380,435,465,490,500,525,550,560,585,600,625,650,680,720,760,830,900,1000,1200,1375,1376,620.4786,4128,600,40,500,760,1375,294.6912999999999,925405,1427885,340000,430000,513000,569999,670000,780000,875000,959000,1000000,1100000,1200000,1300000,1370000,1470000,1650000,1900000,2200000,2800000,3700000,278,426,1057523,11000000,1100000,15000,670000,1650000,278,1277370,397000000,null,0.02680412,269,"Melbourne City","SA3_1620604",1428150,535000,690000,750000,800000,843000,895000,941000,995000,1080000,1158000,1250000,1300000,1357500,1454000,1600000,1786000,2005000,2750000,3500000,314,316,1217441,7600000,1164000,350000,843000,1600000,314,971020.8,4.4800000000000006E8,57,0.08003570000000003,140,37,"VIC","20604","Melbourne City"
1,2020,"House",20605,0.5904936,539,194,23,19,52,271,547,323,35,"31/01/2020",762.2755000000002,370,420,460,500,540,570,600,640,660,695,725,750,795,850,895,950,1050,1200,1400,1873,1873,701.5015999999998,3000,695,173,540,895,1873,341.2695,1427742,1877561,395000,599000,795000,950000,1050000,1145000,1280000,1360000,1450000,1550000,1685000,1800000,1958000,2150000,2445000,2650000,2887500,3150000,4350000,513,823,1494781,13000000,1550000,10000,1050000,2445000,513,1380129,9.629999999999999E8,null,0.02377632,270,"Port Phillip","SA3_1620605",1777194,613500,745000,888000,995000,1100000,1200000,1250000,1320000,1411000,1520000,1610000,1700000,1785000,1915000,2100000,2400000,2650000,3050000,3500000,737,743,1515327,12500000,1520000,191000,1100000,2100000,737,1161611,1310000000,63,0.07838611000000002,343,83,"VIC","20605","Port Phillip"
1,2020,"House",20606,0.6158537000000002,328,116,10,10,31,171,328,202,13,"31/01/2020",823.9785,400,450,495,525,550,590,620,650,670,700,740,770,800,870,900,1000,1150,1300,1695,1348,1348,739.4491999999998,6000,700,230,550,900,1348,475.3784,1110723,3549064,450000,580000,929000,1150000,1375000,1540000,1750000,2050000,2250000,2500000,2690000,2980000,3350000,3900000,4500000,5495000,6300000,8000000,11000000,453,665,2350664,27000000,2500000,30000,1375000,4500000,453,3506057,1610000000,null,0.02056497000000001,271,"Stonnington - West","SA3_1620606",2398839,620000,895000,1100000,1200000,1265000,1351950,1445000,1540000,1620000,1770000,1910000,2040000,2320000,2590000,2850000,3295000,3850000,4700000,6300000,517,523,1909463,13400000,1770000,335000,1265000,2850000,517,1891545,1240000000,73,0.09287117,259,66,"VIC","20606","Stonnington - West"
1,2020,"House",20607,0.6867863000000001,607,182,9,11,60,361,613,421,22,"31/01/2020",713.0829,450,500,530,550,580,600,620,640,650,670,695,710,750,760,800,850,900,980,1100,2352,2352,684.9674999999997,2600,670,182,580,800,2352,219.5332,1677171,1417088,520000,800000,850000,899000,950000,1000000,1095000,1150000,1200000,1260000,1323000,1400000,1460000,1500000,1625000,1750000,1950000,2250000,2700000,437,812,1244048,10500000,1260000,100000,950000,1625000,437,861629.9,619000000,null,0.026697320000000007,272,"Yarra","SA3_1620607",1414651,795000,860000,925000,980000,1040000,1100000,1155000,1200000,1257000,1305000,1355250,1420000,1487000,1550000,1645000,1745000,1906000,2100000,2430000,750,752,1322806,4625000,1305000,335000,1040000,1645000,750,557579.3,1060000000,71,0.09499471000000002,326,64,"VIC","20607","Yarra"
1,2020,"House",20701,0.6723439000000002,1224,358,21,30,163,666,1233,829,48,"31/01/2020",784.1542,400,450,490,520,550,580,600,650,675,700,750,780,800,850,900,980,1099,1200,1500,2452,2453,721.1980000000002,4500,700,200,550,900,2452,362.6993,1922746,2487402,879000,1200000,1350000,1450000,1525000,1600000,1700000,1800000,1895000,2000000,2180000,2300000,2430000,2600000,2850000,3100000,3550000,4300000,5500000,1258,2113,2057733,40000000,2000000,1325,1525000,2850000,1258,1975537,3130000000,null,0.019157890000000007,273,"Boroondara","SA3_1620701",2189315,931500,1194000,1310000,1429000,1500600,1580000,1650000,1725000,1800000,1900000,2000000,2120000,2287500,2410000,2550000,2789000,3060000,3500000,4350000,1758,1769,1963667,10200000,1900000,252000,1500600,2550000,1758,1138142,3.8499999999999995E9,71,0.10748110000000002,944,157,"VIC","20701","Boroondara"
1,2020,"House",20702,0.6699577000000001,688,195,22,22,120,355,709,475,38,"31/01/2020",577.7609,395,420,440,450,470,490,500,520,540,550,570,590,600,630,650,690,700,760,850,1694,1694,560.7895000000002,1500,550,98,470,650,1694,147.7841,978727,1284589,750000,830000,890000,919000,960000,999000,1050000,1098000,1120000,1150000,1200000,1250000,1295000,1350000,1400000,1488000,1555000,1750000,2200000,1135,1628,1191337,14500000,1150000,345000,960000,1400000,1135,691150.3,1460000000,null,0.02434042,274,"Manningham - West","SA3_1620702",1217096,771000,860000,910000,950000,985000,1028000,1061000,1100000,1136500,1175000,1200000,1230000,1270000,1300000,1340000,1400000,1460000,1600000,1886000,1122,1130,1171945,3580000,1175000,520000,985000,1340000,1122,364724.7,1370000000,94,0.09781360000000001,642,181,"VIC","20702","Manningham - West"
1,2020,"House",20703,0.7290930999999999,836,207,23,18,96,523,849,619,35,"31/01/2020",534.6564,360,390,405,420,430,450,455,470,490,500,520,550,560,590,610,650,680,720,780,1816,1816,514.5349,1800,500,140,430,610,1816,154.9092,970936,1261031,690000,780000,838000,890000,900000,950000,995000,1040000,1080000,1150000,1175000,1200000,1270000,1330000,1400000,1580000,1695000,1880000,2400000,798,1422,1156668,5000000,1150000,100000,900000,1400000,798,584539.6,1010000000,null,0.022907490000000006,275,"Whitehorse - West","SA3_1620703",1231911,730000,825000,882500,920000,950000,980000,1015000,1050800,1100000,1135000,1180000,1225000,1285000,1330000,1391000,1500000,1620000,1760000,2020000,1116,1118,1169945,4250000,1135000,285000,950000,1391000,1116,432275,1370000000,71,0.09293639999999996,560,111,"VIC","20703","Whitehorse - West"
