datemonth, dateyear, propertycategorisation, sa32016code, auction_activity_auctionclearancerate, auction_activity_auctionlistedcount, auction_activity_auctionnotsoldcount, auction_activity_auctionpostponedcount, auction_activity_auctionsoldaftercount, auction_activity_auctionsoldpriorcount, auction_activity_auctionsoldunderhammercount, auction_activity_auctiontotalreported, auction_activity_auctiontotalsold, auction_activity_auctionwithdrawncount, enddate, for_rent_home_lease_averageprice, for_rent_home_lease_detailedposition05price, for_rent_home_lease_detailedposition10price, for_rent_home_lease_detailedposition15price, for_rent_home_lease_detailedposition20price, for_rent_home_lease_detailedposition25price, for_rent_home_lease_detailedposition30price, for_rent_home_lease_detailedposition35price, for_rent_home_lease_detailedposition40price, for_rent_home_lease_detailedposition45price, for_rent_home_lease_detailedposition50price, for_rent_home_lease_detailedposition55price, for_rent_home_lease_detailedposition60price, for_rent_home_lease_detailedposition65price, for_rent_home_lease_detailedposition70price, for_rent_home_lease_detailedposition75price, for_rent_home_lease_detailedposition80price, for_rent_home_lease_detailedposition85price, for_rent_home_lease_detailedposition90price, for_rent_home_lease_detailedposition95price, for_rent_home_lease_detailedpricecalcreccount, for_rent_home_lease_eventcount, for_rent_home_lease_geometricmeanprice, for_rent_home_lease_maximumprice, for_rent_home_lease_medianprice, for_rent_home_lease_minimumprice, for_rent_home_lease_position25price, for_rent_home_lease_position75price, for_rent_home_lease_pricecalcreccount, for_rent_home_lease_standarddeviationprice, for_rent_home_lease_totalprice, for_sale_both_auction_private_treaty_averageprice, for_sale_both_auction_private_treaty_detailedposition05price, for_sale_both_auction_private_treaty_detailedposition10price, for_sale_both_auction_private_treaty_detailedposition15price, for_sale_both_auction_private_treaty_detailedposition20price, for_sale_both_auction_private_treaty_detailedposition25price, for_sale_both_auction_private_treaty_detailedposition30price, for_sale_both_auction_private_treaty_detailedposition35price, for_sale_both_auction_private_treaty_detailedposition40price, for_sale_both_auction_private_treaty_detailedposition45price, for_sale_both_auction_private_treaty_detailedposition50price, for_sale_both_auction_private_treaty_detailedposition55price, for_sale_both_auction_private_treaty_detailedposition60price, for_sale_both_auction_private_treaty_detailedposition65price, for_sale_both_auction_private_treaty_detailedposition70price, for_sale_both_auction_private_treaty_detailedposition75price, for_sale_both_auction_private_treaty_detailedposition80price, for_sale_both_auction_private_treaty_detailedposition85price, for_sale_both_auction_private_treaty_detailedposition90price, for_sale_both_auction_private_treaty_detailedposition95price, for_sale_both_auction_private_treaty_detailedpricecalcreccount, for_sale_both_auction_private_treaty_eventcount, for_sale_both_auction_private_treaty_geometricmeanprice, for_sale_both_auction_private_treaty_maximumprice, for_sale_both_auction_private_treaty_medianprice, for_sale_both_auction_private_treaty_minimumprice, for_sale_both_auction_private_treaty_position25price, for_sale_both_auction_private_treaty_position75price, for_sale_both_auction_private_treaty_pricecalcreccount, for_sale_both_auction_private_treaty_standarddeviationprice, for_sale_both_auction_private_treaty_totalprice, gid, gross_rental_yield, sa32016id, sa32016name, sa32016pid, sold_both_auction_private_treaty_averageprice, sold_both_auction_private_treaty_detailedposition05price, sold_both_auction_private_treaty_detailedposition10price, sold_both_auction_private_treaty_detailedposition15price, sold_both_auction_private_treaty_detailedposition20price, sold_both_auction_private_treaty_detailedposition25price, sold_both_auction_private_treaty_detailedposition30price, sold_both_auction_private_treaty_detailedposition35price, sold_both_auction_private_treaty_detailedposition40price, sold_both_auction_private_treaty_detailedposition45price, sold_both_auction_private_treaty_detailedposition50price, sold_both_auction_private_treaty_detailedposition55price, sold_both_auction_private_treaty_detailedposition60price, sold_both_auction_private_treaty_detailedposition65price, sold_both_auction_private_treaty_detailedposition70price, sold_both_auction_private_treaty_detailedposition75price, sold_both_auction_private_treaty_detailedposition80price, sold_both_auction_private_treaty_detailedposition85price, sold_both_auction_private_treaty_detailedposition90price, sold_both_auction_private_treaty_detailedposition95price, sold_both_auction_private_treaty_detailedpricecalcreccount, sold_both_auction_private_treaty_eventcount, sold_both_auction_private_treaty_geometricmeanprice, sold_both_auction_private_treaty_maximumprice, sold_both_auction_private_treaty_medianprice, sold_both_auction_private_treaty_minimumprice, sold_both_auction_private_treaty_position25price, sold_both_auction_private_treaty_position75price, sold_both_auction_private_treaty_pricecalcreccount, sold_both_auction_private_treaty_standarddeviationprice, sold_both_auction_private_treaty_totalprice, sold_private_treaty_averagedaysonmarket, sold_private_treaty_averagediscount, sold_private_treaty_daysonmarketrecordcount, sold_private_treaty_discountrecordcount, state, feature_code, feature_name
7,2020,"House",20601,0.6939890999999999,558,105,9,10,124,257,549,381,68,"31/07/2020",580.1308,390,420,445,460,480,495,500,525,540,550,570,590,600,630,650,695,730,760,850,2087,2087,561.8854,5000,550,250,480,650,2087,173.447,1210733,1014611,520000,630500,690000,750000,790000,825000,850000,875000,900000,950000,990000,1000000,1050000,1100000,1150000,1250000,1300000,1470000,1695000,653,973,951903.9,3500000,950000,280000,790000,1150000,653,388838.5,663000000,null,0.027766990000000005,266,"Brunswick - Coburg","SA3_1620601",1077357,645000,720000,767000,815000,850000,890000,918000,950000,985000,1030000,1077500,1112000,1155000,1200000,1250000,1310000,1375000,1463000,1625000,737,739,1030862,3170000,1030000,385000,850000,1250000,737,335634.2,794000000,55,0.06017853,312,72,"VIC","20601","Brunswick - Coburg"
7,2020,"House",20602,0.7219251000000002,373,68,15,10,66,204,374,270,47,"31/07/2020",626.2043000000002,350,430,480,500,530,550,560,580,600,610,630,650,650,680,700,750,795,850,940,1175,1175,603.7728000000002,1500,610,240,530,700,1175,169.31959999999998,735790,1298636,729000,800000,879000,909000,950000,990000,1045000,1100000,1150000,1199000,1249000,1300000,1400000,1480000,1550000,1627500,1750000,1850000,2200000,456,658,1220869,3850000,1199000,320000,950000,1550000,456,485215.2,592000000,null,0.02458915,267,"Darebin - South","SA3_1620602",1368508,762000,850000,949000,990000,1050000,1095610,1150000,1180000,1240000,1290000,1335000,1400000,1456000,1521000,1585000,1660000,1775000,1960000,2308000,507,510,1296135,4000000,1290000,520000,1050000,1585000,507,482326.7,694000000,97,0.07149222000000004,196,52,"VIC","20602","Darebin - South"
7,2020,"House",20603,0.6598361,486,108,11,7,110,212,488,322,72,"31/07/2020",568.5688,360,395,415,440,450,475,490,500,520,550,560,580,600,630,650,690,720,770,850,1359,1359,547.7606,1600,550,225,450,650,1359,162.65640000000005,772685,1464867,600000,700000,800000,842500,900000,970000,1025000,1100000,1172500,1250000,1300000,1365000,1425000,1500000,1600000,1780000,1950000,2250000,2900000,564,837,1239955,20000000,1250000,28750,900000,1600000,564,1286113,826000000,null,0.02325203,268,"Essendon","SA3_1620603",1323187,707000,785000,835000,900000,946000,985000,1030000,1080000,1175000,1230000,1280000,1350000,1400000,1460000,1520000,1650000,1715000,1940000,2300000,601,602,1222695,9020000,1230000,326000,946000,1520000,601,625020.3,795000000,73,0.06452011,282,66,"VIC","20603","Essendon"
7,2020,"House",20604,0.6214953000000003,214,47,5,1,37,96,214,133,40,"31/07/2020",659.6401,350,400,440,465,490,500,530,550,580,600,620,650,680,720,750,800,900,1000,1200,1559,1559,599.2531,4000,600,40,490,750,1559,305.6776000000001,1028379,1530861,360000,475000,570000,700000,800000,900000,960000,1005000,1100000,1199000,1260000,1329000,1375000,1495000,1657500,1860000,2100000,2600000,3700000,343,489,1138305,19000000,1199000,15000,800000,1657500,343,1602876,525000000,null,0.02600000000000001,269,"Melbourne City","SA3_1620604",1465098,530000,690000,770000,840000,902500,954999,1000000,1081500,1150000,1200000,1280000,1317000,1375000,1490000,1600000,1800000,2005000,2750000,3500000,315,316,1234183,8000000,1200000,16000,902500,1600000,315,1037896,4.619999999999999E8,77,0.06780910999999998,162,50,"VIC","20604","Melbourne City"
7,2020,"House",20605,0.5711423000000001,500,139,11,13,67,218,499,285,81,"31/07/2020",747.0111999999998,350,400,450,495,525,560,595,625,650,680,720,750,790,830,870,945,1000,1150,1400,2056,2056,684.4431999999998,3000,680,14,525,870,2056,335.1007,1535855,2008890,465000,780000,975000,1095000,1200000,1298000,1390000,1485000,1550000,1650000,1800000,1995000,2100000,2300000,2500000,2725000,2940000,3400000,4500000,656,932,1654645,13000000,1654500,30000,1200000,2500000,656,1373652,1320000000,null,0.021300130000000007,270,"Port Phillip","SA3_1620605",1969301,895000,995000,1111950,1205000,1270000,1345000,1410000,1515000,1600000,1660000,1735000,1842000,2000000,2155000,2325000,2535000,2850000,3216000,3800000,680,689,1741218,1.1700000000000002E7,1660084,347000,1270000,2325000,680,1166205,1340000000,55,0.08198852,345,80,"VIC","20605","Port Phillip"
7,2020,"House",20606,0.5974440999999998,315,88,9,7,37,150,313,187,44,"31/07/2020",803.7803000000002,385,435,480,510,550,590,600,640,660,700,730,750,800,850,900,990,1100,1300,1600,1516,1516,723.9640999999998,4606,700,36,550,900,1516,434.1830999999999,1218531,3309232,490000,945000,1175000,1350000,1475000,1550000,1690000,1890000,2047500,2300000,2500000,2750000,3150000,3500000,4200000,5000000,6000000,7200000,9000000,527,727,2368558,24000000,2300000,30000,1475000,4200000,527,3002793,1.7400000000000002E9,null,0.019413330000000013,271,"Stonnington - West","SA3_1620606",2685246,950000,1150000,1225000,1295000,1362500,1455000,1550000,1632500,1705000,1875000,2035000,2212500,2500000,2700000,3000000,3425000,4100000,5500000,7155000,487,492,2138868,18300000,1875000,360000,1362500,3000000,487,2317211,1310000000,63,0.08615664000000003,271,56,"VIC","20606","Stonnington - West"
7,2020,"House",20607,0.6858108,592,126,7,9,85,321,592,406,81,"31/07/2020",709.1483000000002,440,495,525,550,570,590,600,625,650,670,695,700,750,750,800,850,900,975,1100,2502,2502,679.3051999999998,2800,670,182,570,800,2502,227.3792,1774289,1456247,685000,835000,890000,950000,995000,1040000,1100000,1150000,1200000,1280000,1345000,1400000,1495000,1575000,1680000,1800000,1999000,2350000,2750000,567,942,1296807,10500000,1280000,100000,995000,1680000,567,829990.8,826000000,null,0.02582654,272,"Yarra","SA3_1620607",1475851,850000,920000,990000,1040000,1080000,1140000,1185000,1243000,1287500,1348000,1400000,1460000,1545000,1605000,1700000,1825000,1950000,2200000,2560000,788,791,1386563,4700000,1349000,510000,1080000,1700000,788,569239.3,1.1600000000000002E9,60,0.06841610000000002,326,76,"VIC","20607","Yarra"
7,2020,"House",20701,0.6416276000000004,1271,329,28,24,221,599,1278,820,151,"31/07/2020",777.2485,400,450,490,520,550,580,600,650,670,700,750,780,800,850,900,960,1095,1200,1400,2632,2632,717.2724000000002,4200,700,180,550,900,2632,352.9604,2045718,2496925,980000,1250000,1395000,1495000,1590000,1675000,1750000,1800000,1900000,2000000,2185000,2300000,2450000,2600000,2850000,3000000,3500000,4000000,5000000,1497,2315,2119863,42000000,2000000,1325,1590000,2850000,1497,2124955,3740000000,null,0.018185910000000013,273,"Boroondara","SA3_1620701",2308728,1160000,1330000,1450000,1533000,1605000,1680000,1757000,1825000,1911000,2000100,2120000,2260000,2381000,2505000,2680000,2900000,3150000,3570000,4400000,1720,1732,2103712,10200000,2001550,430000,1605000,2680000,1720,1129545,3.9699999999999995E9,56,0.08896782999999997,972,144,"VIC","20701","Boroondara"
7,2020,"House",20702,0.6036670999999999,695,184,24,26,127,301,709,428,105,"31/07/2020",579.4360999999998,400,420,445,450,470,490,500,520,540,550,570,590,600,630,650,680,720,775,850,1619,1619,561.3028999999998,1995,550,145,470,650,1619,156.12800000000001,938107,1299467,750000,850000,900000,950000,999000,1050000,1090000,1100000,1150000,1190000,1200000,1260000,1300000,1350000,1400000,1475847,1550000,1750000,2200000,1366,1828,1202274,14500000,1190100,2500,999000,1400000,1366,671120.4,1.7800000000000002E9,null,0.02325203,274,"Manningham - West","SA3_1620702",1277851,825000,925000,970000,1022000,1060000,1100000,1145000,1181000,1201000,1230000,1260000,1295000,1320000,1360000,1400000,1450000,1535000,1650500,1905000,1044,1046,1234877,5030000,1230000,510000,1060000,1400000,1044,375239.8,1330000000,79,0.06891059,608,162,"VIC","20702","Manningham - West"
7,2020,"House",20703,0.7171128999999997,852,157,13,21,125,491,859,616,107,"31/07/2020",532.4327,360,390,400,420,430,450,450,470,485,500,520,550,560,590,610,650,675,700,780,1902,1902,513.014,1800,500,44,430,610,1902,152.51559999999998,1012687,1302588,700000,800000,860000,900000,950000,997500,1030000,1075000,1100000,1150000,1200000,1250000,1300000,1370000,1450000,1575000,1700000,1900000,2400000,939,1546,1191332,15100000,1150000,120000,950000,1450000,939,748903,1220000000,null,0.021666670000000006,275,"Whitehorse - West","SA3_1620703",1294001,820000,895500,931500,976000,1008888,1052000,1090000,1125000,1168900,1200000,1241000,1295000,1332500,1389000,1450000,1565000,1666000,1800000,2100000,1034,1040,1235229,4250000,1200000,285000,1008888,1450000,1034,429261.7,1340000000,56,0.06762408000000003,516,82,"VIC","20703","Whitehorse - West"
