datemonth, dateyear, propertycategorisation, sa32016code, auction_activity_auctionclearancerate, auction_activity_auctionlistedcount, auction_activity_auctionnotsoldcount, auction_activity_auctionpostponedcount, auction_activity_auctionsoldaftercount, auction_activity_auctionsoldpriorcount, auction_activity_auctionsoldunderhammercount, auction_activity_auctiontotalreported, auction_activity_auctiontotalsold, auction_activity_auctionwithdrawncount, enddate, for_rent_home_lease_averageprice, for_rent_home_lease_detailedposition05price, for_rent_home_lease_detailedposition10price, for_rent_home_lease_detailedposition15price, for_rent_home_lease_detailedposition20price, for_rent_home_lease_detailedposition25price, for_rent_home_lease_detailedposition30price, for_rent_home_lease_detailedposition35price, for_rent_home_lease_detailedposition40price, for_rent_home_lease_detailedposition45price, for_rent_home_lease_detailedposition50price, for_rent_home_lease_detailedposition55price, for_rent_home_lease_detailedposition60price, for_rent_home_lease_detailedposition65price, for_rent_home_lease_detailedposition70price, for_rent_home_lease_detailedposition75price, for_rent_home_lease_detailedposition80price, for_rent_home_lease_detailedposition85price, for_rent_home_lease_detailedposition90price, for_rent_home_lease_detailedposition95price, for_rent_home_lease_detailedpricecalcreccount, for_rent_home_lease_eventcount, for_rent_home_lease_geometricmeanprice, for_rent_home_lease_maximumprice, for_rent_home_lease_medianprice, for_rent_home_lease_minimumprice, for_rent_home_lease_position25price, for_rent_home_lease_position75price, for_rent_home_lease_pricecalcreccount, for_rent_home_lease_standarddeviationprice, for_rent_home_lease_totalprice, for_sale_both_auction_private_treaty_averageprice, for_sale_both_auction_private_treaty_detailedposition05price, for_sale_both_auction_private_treaty_detailedposition10price, for_sale_both_auction_private_treaty_detailedposition15price, for_sale_both_auction_private_treaty_detailedposition20price, for_sale_both_auction_private_treaty_detailedposition25price, for_sale_both_auction_private_treaty_detailedposition30price, for_sale_both_auction_private_treaty_detailedposition35price, for_sale_both_auction_private_treaty_detailedposition40price, for_sale_both_auction_private_treaty_detailedposition45price, for_sale_both_auction_private_treaty_detailedposition50price, for_sale_both_auction_private_treaty_detailedposition55price, for_sale_both_auction_private_treaty_detailedposition60price, for_sale_both_auction_private_treaty_detailedposition65price, for_sale_both_auction_private_treaty_detailedposition70price, for_sale_both_auction_private_treaty_detailedposition75price, for_sale_both_auction_private_treaty_detailedposition80price, for_sale_both_auction_private_treaty_detailedposition85price, for_sale_both_auction_private_treaty_detailedposition90price, for_sale_both_auction_private_treaty_detailedposition95price, for_sale_both_auction_private_treaty_detailedpricecalcreccount, for_sale_both_auction_private_treaty_eventcount, for_sale_both_auction_private_treaty_geometricmeanprice, for_sale_both_auction_private_treaty_maximumprice, for_sale_both_auction_private_treaty_medianprice, for_sale_both_auction_private_treaty_minimumprice, for_sale_both_auction_private_treaty_position25price, for_sale_both_auction_private_treaty_position75price, for_sale_both_auction_private_treaty_pricecalcreccount, for_sale_both_auction_private_treaty_standarddeviationprice, for_sale_both_auction_private_treaty_totalprice, gid, gross_rental_yield, sa32016id, sa32016name, sa32016pid, sold_both_auction_private_treaty_averageprice, sold_both_auction_private_treaty_detailedposition05price, sold_both_auction_private_treaty_detailedposition10price, sold_both_auction_private_treaty_detailedposition15price, sold_both_auction_private_treaty_detailedposition20price, sold_both_auction_private_treaty_detailedposition25price, sold_both_auction_private_treaty_detailedposition30price, sold_both_auction_private_treaty_detailedposition35price, sold_both_auction_private_treaty_detailedposition40price, sold_both_auction_private_treaty_detailedposition45price, sold_both_auction_private_treaty_detailedposition50price, sold_both_auction_private_treaty_detailedposition55price, sold_both_auction_private_treaty_detailedposition60price, sold_both_auction_private_treaty_detailedposition65price, sold_both_auction_private_treaty_detailedposition70price, sold_both_auction_private_treaty_detailedposition75price, sold_both_auction_private_treaty_detailedposition80price, sold_both_auction_private_treaty_detailedposition85price, sold_both_auction_private_treaty_detailedposition90price, sold_both_auction_private_treaty_detailedposition95price, sold_both_auction_private_treaty_detailedpricecalcreccount, sold_both_auction_private_treaty_eventcount, sold_both_auction_private_treaty_geometricmeanprice, sold_both_auction_private_treaty_maximumprice, sold_both_auction_private_treaty_medianprice, sold_both_auction_private_treaty_minimumprice, sold_both_auction_private_treaty_position25price, sold_both_auction_private_treaty_position75price, sold_both_auction_private_treaty_pricecalcreccount, sold_both_auction_private_treaty_standarddeviationprice, sold_both_auction_private_treaty_totalprice, sold_private_treaty_averagedaysonmarket, sold_private_treaty_averagediscount, sold_private_treaty_daysonmarketrecordcount, sold_private_treaty_discountrecordcount, state, feature_code, feature_name
10,2020,"House",20601,0.6829268000000003,459,81,15,11,118,190,451,308,75,"31/10/2020",577.0541,380,410,440,455,480,495,500,520,540,550,570,590,600,640,650,690,720,750,850,2106,2106,558.4333,6000,550,250,480,650,2106,184.98430000000005,1215276,1021086,549000,650000,698000,750000,795000,825000,850000,885000,915500,950000,997000,1000000,1075000,1100000,1160000,1250000,1300000,1450000,1650000,702,952,960493.1,4050000,950000,280000,795000,1160000,702,388183,717000000,null,0.026993870000000007,266,"Brunswick - Coburg","SA3_1620601",1083234,640000,715000,760000,810000,850000,897000,925000,965000,1001000,1059000,1095000,1123000,1153000,1200000,1250000,1308000,1390000,1475000,1625000,660,661,1036213,3170000,1059500,385000,850000,1250000,660,338843.3,715000000,49,0.05727049,321,70,"VIC","20601","Brunswick - Coburg"
10,2020,"House",20602,0.7138158000000002,307,49,20,10,60,157,304,217,50,"31/10/2020",624.591,350,435,480,500,530,550,565,580,600,600,630,650,650,680,700,750,790,845,900,1176,1176,603.0491,1500,605,240,530,700,1176,164.41,734519,1292549,700000,800000,879000,919000,950000,1000000,1050000,1100000,1150000,1200000,1270000,1300000,1400000,1480000,1570000,1650000,1700000,1820000,2200000,477,636,1216717,3850000,1200000,320000,950000,1570000,477,470937.7,617000000,null,0.024387600000000006,267,"Darebin - South","SA3_1620602",1373241,753000,850000,947000,990000,1041000,1100000,1151000,1190000,1242000,1290000,1350000,1400000,1480000,1543000,1600000,1690000,1780000,1950000,2205000,441,444,1299231,4000000,1290000,486000,1041000,1600000,441,482328.7,606000000,81,0.07679684000000006,198,42,"VIC","20602","Darebin - South"
10,2020,"House",20603,0.6560975000000002,411,78,18,7,104,165,410,269,78,"31/10/2020",567.7752,360,390,410,440,450,475,490,500,515,540,555,580,600,630,650,690,720,780,850,1397,1397,546.5194,1950,540,225,450,650,1397,166.9702,793182,1398850,570000,699000,789000,830000,880000,950000,1000000,1070000,1150000,1225000,1290000,1325000,1400000,1470000,1575000,1700000,1900000,2200000,2835000,573,813,1202664,20000000,1225000,28750,880000,1575000,573,1137909,802000000,null,0.022463999999999998,268,"Essendon","SA3_1620603",1326113,685000,777500,810000,875000,934000,994000,1050000,1100000,1190000,1250000,1290000,1350000,1400000,1455000,1550000,1650000,1750000,1942000,2285000,558,559,1220646,10500000,1250000,326000,934000,1550000,558,679042.3,740000000,68,0.06530438,286,67,"VIC","20603","Essendon"
10,2020,"House",20604,0.5636364,165,35,9,0,31,62,165,93,43,"31/10/2020",644.6174,340,380,415,450,475,500,520,545,560,590,610,650,680,710,750,800,890,990,1150,1631,1631,585.2288000000002,4000,590,40,475,750,1631,287.751,1051371,1494873,360000,495000,565000,680000,750000,850000,920000,985000,1049000,1144500,1200000,1295000,1375000,1495000,1650000,1895250,2200000,2600000,3700000,365,486,1126919,19000000,1144500,15000,750000,1650000,365,1520312,546000000,null,0.026222219999999994,269,"Melbourne City","SA3_1620604",1458428,530000,643500,740000,780000,875000,935000,980000,1040000,1106500,1170000,1215000,1300000,1340000,1415000,1540000,1720500,1970000,2530000,3500000,270,270,1200481,8350000,1170000,16000,875000,1540000,270,1170500,394000000,86,0.061175400000000005,151,52,"VIC","20604","Melbourne City"
10,2020,"House",20605,0.5483028999999998,386,104,10,8,64,146,383,210,81,"31/10/2020",732.8599999999998,350,395,440,475,510,550,585,600,640,660,700,750,775,815,850,910,995,1150,1350,2071,2071,669.15,2825,660,14,510,850,2071,335.2888,1517753,2027024,519500,795000,990000,1100000,1200000,1300000,1400000,1500000,1600000,1700000,1850000,1988000,2100000,2350000,2500000,2700000,2975000,3410000,4200000,683,915,1674472,13000000,1700000,30000,1200000,2500000,683,1388697,1380000000,null,0.019895650000000008,270,"Port Phillip","SA3_1620605",2040032,937500,1080000,1185000,1258000,1343000,1400000,1475000,1570000,1660000,1720000,1810000,1900000,2100000,2235000,2425000,2600000,2965000,3340000,4070000,602,609,1822429,9100000,1725000,440000,1343000,2425000,602,1113648,1230000000,64,0.07844739999999996,350,81,"VIC","20605","Port Phillip"
10,2020,"House",20606,0.5714286000000002,226,62,10,2,30,98,224,128,47,"31/10/2020",781.8853,370,415,450,495,530,560,600,620,650,680,700,750,790,830,895,950,1050,1250,1595,1525,1525,702.6085,4606,680,36,530,895,1525,427.8864,1192375,3345137,495000,930000,1140000,1300000,1426425,1540000,1650000,1800000,1999900,2195000,2495000,2700000,3100000,3500000,4100000,5000000,6000000,7300000,10000000,574,718,2350425,24000000,2197500,30000,1426425,4100000,574,3212069,1920000000,null,0.019113510000000007,271,"Stonnington - West","SA3_1620606",2855505,925000,1165000,1225000,1295000,1385000,1455000,1540000,1600000,1690000,1850000,1951000,2212500,2515000,2775000,3175000,3640000,4400000,6000000,8000000,425,429,2187687,19000000,1850000,360000,1385000,3175000,425,2727505,1210000000,68,0.09091458999999998,266,51,"VIC","20606","Stonnington - West"
10,2020,"House",20607,0.6308725000000003,448,96,8,7,76,206,447,282,88,"31/10/2020",702.9893000000002,425,480,520,550,560,580,600,620,650,655,690,700,735,750,795,840,895,960,1100,2607,2607,672.5441999999998,2800,655,182,560,795,2607,227.6806,1832693,1468589,675000,820000,900000,950000,1000000,1050000,1100000,1150000,1200000,1300000,1350000,1400000,1480000,1595000,1700000,1850000,2000000,2400000,2750000,596,870,1310078,10500000,1300000,100000,1000000,1700000,596,840230.8,875000000,null,0.02516439000000001,272,"Yarra","SA3_1620607",1493802,860000,935000,990000,1040000,1080000,1140000,1200000,1250000,1310000,1352000,1415000,1495000,1552000,1620000,1725000,1850000,2000000,2250000,2600000,652,655,1399812,4660000,1353500,510000,1080000,1725000,652,587549.8,9.739999999999999E8,59,0.05794043,293,69,"VIC","20607","Yarra"
10,2020,"House",20701,0.5826180000000001,919,249,27,21,168,375,932,543,162,"31/10/2020",770.2173,400,445,480,500,540,570,600,630,650,695,740,760,800,850,895,950,1050,1200,1400,2586,2586,708.8135,4200,695,180,540,895,2586,360.2266999999999,1991782,2448216,945000,1250000,1395000,1498000,1575000,1650000,1700000,1800000,1900000,2000000,2100000,2250000,2400000,2570000,2800000,3000000,3400000,3900000,4900000,1564,2168,2095515,42000000,2000000,30000,1575000,2800000,1564,2057292,3.8299999999999995E9,null,0.017966690000000007,273,"Boroondara","SA3_1620701",2306883,1170000,1345000,1460000,1550980,1608000,1680000,1770000,1825000,1910000,2010000,2125000,2258000,2375000,2505000,2700000,2908000,3200000,3605000,4320000,1402,1408,2109455,9138000,2011500,430000,1608000,2700000,1402,1093569,3230000000,57,0.07525371000000003,914,150,"VIC","20701","Boroondara"
10,2020,"House",20702,0.5303326999999997,499,139,22,17,88,183,511,271,110,"31/10/2020",580.8411999999996,400,420,445,455,475,495,500,520,540,550,570,590,600,630,650,685,720,760,850,1493,1493,562.3931,1995,550,150,475,650,1493,159.07059999999998,867196,1306213,756800,850000,920000,960000,1000000,1050000,1099000,1100000,1150000,1198000,1210000,1270000,1300000,1360000,1400000,1490000,1580000,1750000,2200000,1413,1737,1208867,14500000,1198000,2500,1000000,1400000,1413,670611.7,1850000000,null,0.02325203,274,"Manningham - West","SA3_1620702",1276012,830000,920000,968000,1017000,1050000,1087000,1138000,1180000,1200000,1230000,1250800,1285000,1315000,1350000,1400000,1455000,1550000,1652000,1905000,855,856,1231999,5030000,1230000,510000,1050000,1400000,855,382803.7,1090000000,77,0.07293084000000002,559,154,"VIC","20702","Manningham - West"
10,2020,"House",20703,0.6732824000000003,649,121,16,16,106,335,655,441,116,"31/10/2020",528.0094,350,385,400,410,430,440,450,470,480,495,510,540,550,580,600,640,670,700,780,1814,1814,507.8012999999999,2420,495,44,430,600,1814,156.27679999999998,957809,1293468,730000,800000,880000,920000,958000,1000000,1050000,1090000,1100000,1150000,1200000,1250000,1300000,1380000,1450000,1550000,1680000,1900000,2400000,989,1415,1200517,7800000,1150000,138000,958000,1450000,989,583952.6,1280000000,null,0.021450000000000007,275,"Whitehorse - West","SA3_1620703",1293598,819050,892000,930000,970000,1000000,1050000,1088000,1120000,1161888,1200000,1250000,1300000,1339000,1391000,1450000,1530000,1636000,1800000,2135000,848,852,1233510,4025000,1200000,285000,1000000,1450000,848,436097.7,1100000000,56,0.06615278000000002,467,82,"VIC","20703","Whitehorse - West"
